"Original Text","Initial","Machine translation","Better translation","Best translation"
"ゲーム実況に挑戦！","Taking on the Game!","","",""
"開かれた展望","A Clear Conscious","","",""
"お昼寝タイム","Nap Time","","",""
"ライブ開催……？","Holding Live ......?","","",""
"素敵な誤算","A Nice Miscalculation","","",""
"ふたり一緒なら","If We're Together","","",""
"ふれあい　ソファ争奪戦？","Connections: Battle for the Couch?","","",""
"ふれあい　好きな味は○○味","Connections: My Favorite Flavor Is  ____.","","",""
"ふれあい　おすすめの本","Connections: Recommended Books","","",""
"ふれあい　ご褒美プリーズ","Connections: Rewards Please","","",""
"ふれあい　ふたりの共通点","Connections: What They Have in Common","","",""
"ふれあい　コンビニでお買い物","Connections: Convenience Store Shopping","","",""
"ふれあい　クレーンでゲット","Connections: Getting Things from Crane Games","","",""
"ふれあい　誰のモノマネ？","Connections: Who Are You Impersonating?","","",""
"明日から頑張れば……","If you work hard tomorrow ......","","",""
"迷ったときは背を押して","When in doubt, push back.","","",""
"頼りがいのある、ほっとけない人","A person who is dependable and cannot be left alone","","",""
"ず～っとハピハピ♪","I'll always be happy happy","","",""
"頑張った証","Proof of your hard work","","",""
"楽しい毎日のために","For a happy everyday","","",""
"熱いのがお好き","I Like It Hot","","",""
"フィーリングでも結果オーライ？","Do you like the results of feeling?","","",""
"これからの未来","The future","","",""
"ふたりの力","The power of the two of us","","",""
"将来はもっともっと♪","The future will be more than ♪","","",""
"凱旋","Triumphant return","","",""
"歌の力","The Power of Song","","",""
"ふたりだけの新しい扉","A new door just for the two of us","","",""
"魅力的な笑顔で","With a Charming Smile","","",""
"少しずつでも進んで","Moving forward, little by little","","",""
"安心する場所","A place where we feel safe","","",""
"楽しい毎日","Happy days","","",""
"理由","The Reason","","",""
"ふたりのお茶会","A tea party for the two of us","","",""
"ショーウィンドウ","Show Window","","",""
"私の夢","My dream","","",""
"ファンが喜ぶ仕事","A job that makes my fans happy","","",""
"笑顔","Smile","","",""
"海の向こう","Beyond the Sea","","",""
"可愛い子には旅をさせろ","Let a pretty girl travel","","",""
"彼方への思い","Thoughts on the Beyond","","",""
"レッスンの成果","Results of lessons","","",""
"道","The Road","","",""
"海へ","To the Sea","","",""
"ふれあい　気になるあの人","Connections: That Person Who Cares","","",""
"ふれあい　……あれ？","Connections: ...Huh?","","",""
"ふれあい　アイドルに必要なもの","Connections: What Idols Need","","",""
"ふれあい　ドキドキさせるには","Connections: What Makes You Excited","","",""
"ふれあい　気持ちの切り替え方","Connections: How to Change the Mood","","",""
"ふれあい　おすすめのメニューは？","Connections: What Is Recommended from the Menu?","","",""
"ふれあい　どのゲームで遊ぼう？","Connections: Which Game to Play?","","",""
"ふれあい　行きたいところ","Connections: Where Do You Want to Go?","","",""
"彼方の夢へ","To a dream beyond","","",""
"戦いは終わらない","The battle never ends","","",""
"キラキラ☆","Glitter Stars","","",""
"キラキラのもっともっと先へ！","More glitter, more glitter, more glitter!","","",""
"素晴らしき日々","Wonderful days","","",""
"持ち物には名前を","Naming Your Belongings","","",""
"最高の協力関係","The best cooperation","","",""
"信頼できるアドバイザー","A trusted advisor","","",""
"あの日の約束","The promise of that day","","",""
"動画投稿のお手伝い","Help with video submissions","","",""
"ちぐはぐパートナー","Flawed Partners","","",""
"アイドルの輝き　その１","The Sparkle of Idols: Part 1","","",""
"アイドルの輝き　その２","The Sparkle of Idols: Part 2","","",""
"アイドルの輝き　その３","The Sparkle of Idols: Part 3","","",""
"アイドルの輝き　その４","The Sparkle of Idols: Part 4","","",""
"みんなと一緒に　その１","Together with Everyone: Part 1","","",""
"みんなと一緒に　その２","Together with Everyone: Part 2","","",""
"みんなと一緒に　その３","Together with Everyone: Part 3","","",""
"みんなと一緒に　その４","Together with Everyone: Part 4","","",""
"新しい私たち　その１","The New Us: Part 1","","",""
"新しい私たち　その２","The New Us: Part 2","","",""
"新しい私たち　その３","The New Us: Part 3","","",""
"新しい私たち　その４","The New Us: Part 4","","",""
"蝶が羽ばたくとき　その１","When Butterflies Flap Their Wings: Part 1","","",""
"蝶が羽ばたくとき　その２","When Butterflies Flap Their Wings: Part 2","","",""
"蝶が羽ばたくとき　その３","When Butterflies Flap Their Wings: Part 3","","",""
"蝶が羽ばたくとき　その４","When Butterflies Flap Their Wings: Part 4","","",""
"仲間と織り成す物語　その１","Weaving a Story with Friends: Part 1","","",""
"仲間と織り成す物語　その２","Weaving a Story with Friends: Part 2","","",""
"仲間と織り成す物語　その３","Weaving a Story with Friends: Part 3","","",""
"仲間と織り成す物語　その４","Weaving a Story with Friends: Part 4","","",""
"いつか大空へ……　その１","Someday to the Skies... : Part 1","","",""
"いつか大空へ……　その２","Someday to the Skies... : Part 2","","",""
"いつか大空へ……　その３","Someday to the Skies... : Part 3","","",""
"いつか大空へ……　その４","Someday to the Skies... : Part 4","","",""
"『るみなすじゃぱん47』開始","Luminous Japan Start","","",""
"『るみなすじゃぱん47』終了","Luminous Japan End","","",""
"北東エリア　開始","Northeastern Area Start","","",""
"北東エリア　終了","Northeastern Area End","","",""
"青森　アイドル大使・任命","Aomori: Idol Ambassador Appointment","","",""
"青森　ステージ前","Aomori: Stagefront","","",""
"青森　アイドル大使・報告","Aomori: Idol Ambassador Report","","",""
"秋田　アイドル大使・任命","Akita: Idol Ambassador Appointment","","",""
"秋田　ステージ前","Akita: Stagefront","","",""
"秋田　アイドル大使・報告","Akita: Idol Ambassador Report","","",""
"山形　アイドル大使・任命","Yamagata: Idol Ambassador Appointment","","",""
"山形　ステージ前","Yamagata: Stagefront","","",""
"山形　アイドル大使・報告","Yamagata: Idol Ambassador Report","","",""
"北海道　アイドル大使・任命","Hokkaido: Idol Ambassador Appointment","","",""
"北海道　ステージ前","Hokkaido: Stagefront","","",""
"北海道　ご当地の休日","Hokkaido: Local Holiday","","",""
"北海道　アイドル大使・報告","Hokkaido: Idol Ambassador Report","","",""
"岩手　アイドル大使・任命","Iwate: Idol Ambassador Appointment","","",""
"岩手　ステージ前","Iwate: Stagefront","","",""
"岩手　アイドル大使・報告","Iwate: Idol Ambassador Report","","",""
"福島　アイドル大使・任命","Fukushima: Idol Ambassador Appointment","","",""
"福島　ステージ前","Fukushima: Stagefront","","",""
"福島　アイドル大使・報告","Fukushima: Idol Ambassador Report","","",""
"茨城　アイドル大使・任命","Ibaraki: Idol Ambassador Appointment","","",""
"茨城　ステージ前","Ibaraki: Stagefront","","",""
"茨城　アイドル大使・報告","Ibaraki: Idol Ambassador Report","","",""
"宮城　アイドル大使・任命","Miyagi: Idol Ambassador Appointment","","",""
"宮城　ステージ前","Miyagi: Stagefront","","",""
"宮城　ご当地の休日","Miyagi: Local Holiday","","",""
"宮城　アイドル大使・報告","Miyagi: Idol Ambassador Report","","",""
"南エリア　開始","Southern Area Start","","",""
"南エリア　終了","Southern Area End","","",""
"大分　アイドル大使・任命","Oita: Idol Ambassador Appointment","","",""
"大分　ステージ前","Oita: Stagefront","","",""
"大分　アイドル大使・報告","Oita: Idol Ambassador Report","","",""
"熊本　アイドル大使・任命","Kumamoto: Idol Ambassador Appointment","","",""
"熊本　ステージ前","Kumamoto: Stagefront","","",""
"熊本　アイドル大使・報告","Kumamoto: Idol Ambassador Report","","",""
"宮崎　アイドル大使・任命","Miyazaki: Idol Ambassador Appointment","","",""
"宮崎　ステージ前","Miyazaki: Stagefront","","",""
"宮崎　アイドル大使・報告","Miyazaki: Idol Ambassador Report","","",""
"福岡　アイドル大使・任命","Fukuoka: Idol Ambassador Appointment","","",""
"福岡　ステージ前","Fukuoka: Stagefront","","",""
"福岡　ご当地の休日","Fukushima: Local Holiday","","",""
"福岡　アイドル大使・報告","Fukuoka: Idol Ambassador Report","","",""
"佐賀　アイドル大使・任命","Saga: Idol Ambassador Appointment","","",""
"佐賀　ステージ前","Saga: Stagefront","","",""
"佐賀　アイドル大使・報告","Saga: Idol Ambassador Report","","",""
"鹿児島　アイドル大使・任命","Kagoshima: Idol Ambassador Appointment","","",""
"鹿児島　ステージ前","Kagoshima: Stagefront","","",""
"鹿児島　アイドル大使・報告","Kagoshima: Idol Ambassador Report","","",""
"沖縄　アイドル大使・任命","Okinawa: Idol Ambassador Appointment","","",""
"沖縄　ステージ前","Okinawa: Stagefront","","",""
"沖縄　アイドル大使・報告","Okinawa: Idol Ambassador Report","","",""
"長崎　アイドル大使・任命","Nagasaki: Idol Ambassador Appointment","","",""
"長崎　ステージ前","Nagasaki: Stagefront","","",""
"長崎　ご当地の休日","Nagasaki: Local Holiday","","",""
"長崎　アイドル大使・報告","Nagasaki: Idol Ambassador Report","","",""
"上方エリア　開始","Kansai Area Start","","",""
"上方エリア　終了","Kansai Area End","","",""
"奈良　アイドル大使・任命","Nara: Idol Ambassador Appointment","","",""
"奈良　ステージ前","Nara: Stagefront","","",""
"奈良　アイドル大使・報告","Nara: Idol Ambassador Report","","",""
"和歌山　アイドル大使・任命","Wakayama: Idol Ambassador Appointment","","",""
"和歌山　ステージ前","Wakayama: Stagefront","","",""
"和歌山　アイドル大使・報告","Wakayama: Idol Ambassador Report","","",""
"三重　アイドル大使・任命","Mie: Idol Ambassador Appointment","","",""
"三重　ステージ前","Mie: Stagefront","","",""
"三重　アイドル大使・報告","Mie: Idol Ambassador Report","","",""
"大阪　アイドル大使・任命","Osaka: Idol Ambassador Appointment","","",""
"大阪　ステージ前","Osaka: Stagefront","","",""
"大阪　ご当地の休日","Osaka: Local Holiday","","",""
"大阪　アイドル大使・報告","Osaka: Idol Ambassador Report","","",""
"滋賀　アイドル大使・任命","Shiga: Idol Ambassador Appointment","","",""
"滋賀　ステージ前","Shiga: Stagefront","","",""
"滋賀　アイドル大使・報告","Shiga: Idol Ambassador Report","","",""
"兵庫　アイドル大使・任命","Hyogo: Idol Ambassador Appointment","","",""
"兵庫　ステージ前","Hyogo: Stagefront","","",""
"兵庫　アイドル大使・報告","Hyogo: Idol Ambassador Report","","",""
"岡山　アイドル大使・任命","Okayama: Idol Ambassador Appointment","","",""
"岡山　ステージ前","Okayama: Stagefront","","",""
"岡山　アイドル大使・報告","Okayama: Idol Ambassador Report","","",""
"京都　アイドル大使・任命","Kyoto: Idol Ambassador Appointment","","",""
"京都　ステージ前","Kyoto: Stagefront","","",""
"京都　ご当地の休日","Kyoto: Local Holiday","","",""
"京都　アイドル大使・報告","Kyoto: Idol Ambassador Report","","",""
"西エリア　開始","Western Area Start","","",""
"西エリア　終了","Western Area End","","",""
"鳥取　アイドル大使・任命","Tottori: Idol Ambassador Appointment","","",""
"鳥取　ステージ前","Tottori: Stagefront","","",""
"鳥取　アイドル大使・報告","Tottori: Idol Ambassador Report","","",""
"島根　アイドル大使・任命","Shimane: Idol Ambassador Appointment","","",""
"島根　ステージ前","Shimane: Stagefront","","",""
"島根　アイドル大使・報告","Shimane: Idol Ambassador Report","","",""
"山口　アイドル大使・任命","Yamaguchi: Idol Ambassador Appointment","","",""
"山口　ステージ前","Yamaguchi: Stagefront","","",""
"山口　アイドル大使・報告","Yamaguchi: Idol Ambassador Report","","",""
"広島　アイドル大使・任命","Hiroshima: Idol Ambassador Appointment","","",""
"広島　ステージ前","Hiroshima: Stagefront","","",""
"広島　ご当地の休日","Hiroshima: Local Holiday","","",""
"広島　アイドル大使・報告","Hiroshima: Idol Ambassador Report","","",""
"高知　アイドル大使・任命","Kochi: Idol Ambassador Appointment","","",""
"高知　ステージ前","Kochi: Stagefront","","",""
"高知　アイドル大使・報告","Kochi: Idol Ambassador Report","","",""
"徳島　アイドル大使・任命","Tokushima: Idol Ambassador Appointment","","",""
"徳島　ステージ前","Tokushima: Stagefront","","",""
"徳島　アイドル大使・報告","Tokushima: Idol Ambassador Report","","",""
"香川　アイドル大使・任命","Kagawa: Idol Ambassador Appointment","","",""
"香川　ステージ前","Kagawa: Stagefront","","",""
"香川　アイドル大使・報告","Kagawa: Idol Ambassador Report","","",""
"愛媛　アイドル大使・任命","Ehime: Idol Ambassador Appointment","","",""
"愛媛　ステージ前","Ehime: Stagefront","","",""
"愛媛　ご当地の休日","Ehime: Local Holiday","","",""
"愛媛　アイドル大使・報告","Ehime: Idol Ambassador Report","","",""
"中央エリア　開始","Central Area Start","","",""
"中央エリア　終了","Central Area End","","",""
"新潟　アイドル大使・任命","Niigata: Idol Ambassador Appointment","","",""
"新潟　ステージ前","Niigata: Stagefront","","",""
"新潟　アイドル大使・報告","Niigata: Idol Ambassador Report","","",""
"長野　アイドル大使・任命","Nagano: Idol Ambassador Appointment","","",""
"長野　ステージ前","Nagano: Stagefront","","",""
"長野　アイドル大使・報告","Nagano: Idol Ambassador Report","","",""
"静岡　アイドル大使・任命","Shizuoka: Idol Ambassador Appointment","","",""
"静岡　ステージ前","Shizuoka: Stagefront","","",""
"静岡　アイドル大使・報告","Shizuoka: Idol Ambassador Report","","",""
"愛知　アイドル大使・任命","Aichi: Idol Ambassador Appointment","","",""
"愛知　ステージ前","Aichi: Stagefront","","",""
"愛知　ご当地の休日","Aichi: Local Holiday","","",""
"愛知　アイドル大使・報告","Aichi: Idol Ambassador Report","","",""
"岐阜　アイドル大使・任命","Gifu: Idol Ambassador Appointment","","",""
"岐阜　ステージ前","Gifu: Stagefront","","",""
"岐阜　アイドル大使・報告","Gifu: Idol Ambassador Report","","",""
"福井　アイドル大使・任命","Fukui: Idol Ambassador Appointment","","",""
"福井　ステージ前","Fukui: Stagefront","","",""
"福井　アイドル大使・報告","Fukui: Idol Ambassador Report","","",""
"富山　アイドル大使・任命","Toyama: Idol Ambassador Appointment","","",""
"富山　ステージ前","Toyama: Stagefront","","",""
"富山　アイドル大使・報告","Toyama: Idol Ambassador Report","","",""
"石川　アイドル大使・任命","Ishikawa: Idol Ambassador Appointment","","",""
"石川　ステージ前","Ishikawa: Stagefront","","",""
"石川　ご当地の休日","Ishikawa: Local Holiday","","",""
"石川　アイドル大使・報告","Ishikawa: Idol Ambassador Report","","",""
"首都エリア　開始","Capital Area Start","","",""
"首都エリア　終了","Capital Area End","","",""
"群馬　アイドル大使・任命","Gunma: Idol Ambassador Appointment","","",""
"群馬　ステージ前","Gunma: Stagefront","","",""
"群馬　アイドル大使・報告","Gunma: Idol Ambassador Report","","",""
"神奈川　アイドル大使・任命","Kanagawa: Idol Ambassador Appointment","","",""
"神奈川　ステージ前","Kanagawa: Stagefront","","",""
"神奈川　アイドル大使・報告","Kanagawa: Idol Ambassador Report","","",""
"山梨　アイドル大使・任命","Yamanashi: Idol Ambassador Appointment","","",""
"山梨　ステージ前","Yamanashi: Stagefront","","",""
"山梨　アイドル大使・報告","Yamanashi: Idol Ambassador Report","","",""
"東京Ａ　アイドル大使・任命","Tokyo A: Idol Ambassador Appointment","","",""
"東京Ａ　ステージ前","Tokyo A: Stagefront","","",""
"東京Ａ　ご当地の休日","Tokyo A: Local Holiday","","",""
"東京Ａ　アイドル大使・報告","Tokyo A: Idol Ambassador Report","","",""
"千葉　アイドル大使・任命","Chiba: Idol Ambassador Appointment","","",""
"千葉　ステージ前","Chiba: Stagefront","","",""
"千葉　アイドル大使・報告","Chiba: Idol Ambassador Report","","",""
"栃木　アイドル大使・任命","Tochigi: Idol Ambassador Appointment","","",""
"栃木　ステージ前","Tochigi: Stagefront","","",""
"栃木　アイドル大使・報告","Tochigi: Idol Ambassador Report","","",""
"埼玉　アイドル大使・任命","Saitama: Idol Ambassador Appointment","","",""
"埼玉　ステージ前","Saitama: Stagefront","","",""
"埼玉　アイドル大使・報告","Saitama: Idol Ambassador Report","","",""
"東京Ｂ　アイドル大使・任命","Tokyo B: Idol Ambassador Appointment","","",""
"東京Ｂ　ステージ前","Tokyo B: Stagefront","","",""
"東京Ｂ　ご当地の休日","Tokyo B: Local Holiday","","",""
"東京Ｂ　アイドル大使・報告","Tokyo B: Idol Ambassador Report","","",""
"映画を見に行こう！","Let's go see a movie!","","",""
"おにぎりを作ろう！","Let's make rice balls!","","",""
"ＣＤを買いに行こう！","Let's go buy a CD!","","",""
"特売セールに行こう！","Let's go to a special sale!","","",""
"オススメの本を探しに行こう！","Let's go find a good book!","","",""
"体を動かそう！","Let's move our bodies!","","",""
"肝試しをしよう！","Let's test our mettle!","","",""
"近くの神社に行こう！","Let's go to a nearby shrine!","","",""
"ボウリングをしよう！","Let's go bowling!","","",""
"食べ歩きに出かけよう！","Let's go out to eat!","","",""
"デイキャンプをしよう！","Let's go day camping!","","",""
"占いグッズを買いに行こう！","Let's go buy fortune telling goods!","","",""
"アイドルの魅力を語ろう！","Let's talk about the charms of idols!","","",""
"ゲームで遊ぼう！","Let's play a game!","","",""
"ＶＲ体験をしよう！","Let's experience VR!","","",""
"遊園地に行こう！","Let's go to an amusement park!","","",""
"アクセサリーを見に行こう！","Let's go see some accessories!","","",""
"メイド喫茶に行こう！","Let's go to a maid cafe!","","",""
"カラオケに行こう！","Let's go to karaoke!","","",""
"室内スポーツをしよう！","Let's play indoor sports!","","",""
"ハンバーガーを食べに行こう！","Let's go eat hamburgers!","","",""
"散策に出かけよう！","Let's go for a walk!","","",""
"ビュッフェに行こう！","Let's go to a buffet!","","",""
"グッズを買いに行こう！","Let's go shopping for merchandise!","","",""
"美術館に行こう！","Let's go to a museum!","","",""
"事務所の周りを探検しよう！","Let's explore around the office!","","",""
"プールで遊ぼう！","Let's play in the pool!","","",""
"図書館に行こう！","Let's go to the library!","","",""
"新しい服を見に行こう！","Let's go look at some new clothes!","","",""
"いよいよデビュー！","Finally, our debut!","","",""
"ひねもす５月の、のたりかな","Hinemosu May's Nodoka","","",""
"水無月の発見","Discovery of Mizunashi","","",""
"夏を盛り上げよう！","Let's get excited about summer!","","",""
"真夏の昼下がり","Midsummer Afternoon","","",""
"再起……これからが本番！","Recurrence ...... is just the beginning!","","",""
"ハロウィンって楽しい","Halloween is fun!","","",""
"いよいよ最終選考会","Finally, the Final Audition!","","",""
"わたしたちの願い","Our Wish","","",""
"自然な関係","Natural Relationship","","",""
"新しい事務所","New office","","",""
"お土産の牛乳","Milk as a souvenir","","",""
"大人の女性の魅力","The charm of adult women","","",""
"ウサミン講座","Usamin Lecture","","",""
"１４歳のアイドルたち","The 14-year-old idols","","",""
"誰にみてもらいたい？","Who would you like to be seen by?","","",""
"メイドレッスン","Maid Lesson","","",""
"のんびりタイム","Relaxing Time","","",""
"ウワサのあんみつ","Rumor's Anmitsu","","",""
"カリスマＪＫ講座","Charismatic JK Lecture","","",""
"ウサミン星探索ツアー","Usamin Star Exploration Tour","","",""
"みんなでお茶を","Having tea with everyone","","",""
"きらり流あいさつの魅力","The charm of Kirari-style greetings","","",""
"あずさ捜索隊","Azusa Search Party","","",""
"少女漫画のある風景","Scenes from a Shoujo Manga","","",""
"ＳＮＳ映えの自撮りとは？","What is a SNS-effective selfie?","","",""
"旅行の計画","Planning a Trip","","",""
"亜美と真美の新衣装計画","Ami and Mami's New Outfit Plans","","",""
"お祭りっていいですね","Festivals are great!","","",""
"和服パーティー","Japanese Clothes Party","","",""
"四字熟語マスター登場！","The Four Letter Word Master!","","",""
"激辛料理とアイドルたち","Idols and Super Spicy Food","","",""
"双海姉妹と大崎姉妹","The Futami and Osaki Sisters","","",""
"助けて、律子さん！","Help me, Ritsuko-san!","","",""
"アイドルモノマネチャレンジ","Idol Imitation Challenge","","",""
"ゲーム四方山トーク","Game Four-Way Talk","","",""
"蘭子の魅力","Ranko's Charm","","",""
"高槻家の家庭菜園","Takatsuki family's vegetable garden","","",""
"家族とおそろい♪","Family and matching ♪","","",""
"３分間","Three minutes","","",""
"お土産パーティー","Souvenir Party","","",""
"好きな飲み物トーク","Favorite drink talk","","",""
"みんなとおそろい♪","Matching with others","","",""
"合間にできる趣味","Hobbies to do in between","","",""
"ライバル","Rivalry","","",""
"盆栽最高！","Bonsai at its best!","","",""
"みんなでお掃除？","Cleaning with everyone?","","",""
"アイドル流レッスン","Idol-style lessons","","",""
"懐かしいやり取り","Nostalgic exchange","","",""
"全力サポート！","Full support!","","",""
"魅力はどこ？","Where's the charm?","","",""
"春香の手作りクッキー♪","Haruka's homemade cookies♪","","",""
"今も昔も、見守っていて","Watching over us now and then","","",""
"みんなの個性を活かして","Making the most of everyone's individuality","","",""
"成長と足りないところ","Growth and lack of growth","","",""
"わがままの日","A day of selfishness","","",""
"みんなの人気者","Everyone's favorite person","","",""
"頼れるあなた","Dependable You","","",""
"ふれあい　プロデューサーの英語力","Connections: Producer's English Proficiency","","",""
"ふれあい　どのお菓子を作ろう？","Connections: Which Sweets Shall We Make?","","",""
"ふれあい　ミニライブについて","Connections: About Mini Lives","","",""
"ふれあい　カラオケに行く人","Connections: People Who Go Karaoke","","",""
"ふれあい　お裁縫のコツ","Connections: Sewing Tips","","",""
"ふれあい　じゃんけんで勝負","Connections: Rock-paper-scissors Match","","",""
"ふれあい　クイズに挑戦！","Connections: A Quiz Challenge!","","",""
"大切なこと","What's important?","","",""
"楽しいことたくさん","Lots of fun!","","",""
"ゴホウビデート☆","Gohobi Date☆!","","",""
"ふたりと子猫","Two and a kitten","","",""
"ルミナスのお母さん……？","Luminous mother ......?","","",""
"素敵な差し入れ","Lovely food delivery","","",""
"最高の自分","The best me","","",""
"サイコーのステージ♪","The best stage","","",""
"変わるもの、変わらないもの","What changes, what doesn't change","","",""
"ふれあい　美希にゾッコン……？","I'm crazy about Miki......?","","",""
"ふれあい　みんなのすごいところ","The amazing thing about everyone","","",""
"ふれあい　鍛えるなら？","How to train?","","",""
"ふれあい　おにぎりに大事なのは","Connections: What's Important for Onigiri","","",""
"ふれあい　ねぇ、ハニー？","Connections: Hey, Honey?","","",""
"新しい活動への意気込み","Enthusiasm for new activities","","",""
"仲良くなる方法","How to get along","","",""
"仲間の意味","What does it mean to be a friend?","","",""
"自分にできること","What you can do","","",""
"話題作りのために","To create a topic of conversation","","",""
"ショッピング中に見つけたもの","What I found while shopping","","",""
"仲間との交流","Interacting with your peers","","",""
"刺激し合う関係","Relationships that inspire each other","","",""
"みんなでゲーム！","Games together!","","",""
"新しい挑戦","New challenges","","",""
"仲間のためにできること","What I can do for my friends","","",""
"みんなと一緒に","Together with everyone","","",""
"ふれあい　歌への想い","Thoughts on singing","","",""
"ふれあい　次のレッスンは？","What's the next lesson?","","",""
"ふれあい　尊敬している人","Share Who do you admire?","","",""
"ふれあい　オフは大切","The importance of time off","","",""
"ふれあい　アイドルに必要なこと","What is necessary for an idol","","",""
"ご褒美♪","Reward","","",""
"ピカピカお掃除","Cleaning up","","",""
"今日の夕ご飯","Today's dinner","","",""
"すごいところは？","What's the best part?","","",""
"『もやし栽培キット』","The bean sprout growing kit.","","",""
"『せんぱい』を目指して","I'm trying to become a ""senpai"".","","",""
"突然の訪問","A surprise visit","","",""
"みんなに差し入れ","Bringing in food for everyone","","",""
"もっと『せんぱい』になるために","To be more senpai","","",""
"私にしか出来ないこと","What only I can do","","",""
"みんなでもやし祭り♪","A bean sprout festival with everyone","","",""
"私なりの『せんぱい』","My own style of senpai","","",""
"ふれあい　年下の気になるあの子","Affection: The younger girl I'm interested in","","",""
"ふれあい　挑戦したいお仕事","The job I want to try","","",""
"ふれあい　夕飯のお買いもの","Shopping for dinner","","",""
"ふれあい　家族へのお土産","Souvenirs for the family","","",""
"ふれあい　事務所のお掃除","Cleaning the office","","",""
"１年間の距離","Distance in a year","","",""
"コラム『天使の小部屋』","Column ""Angel's Small Room""","","",""
"ダメダメな私","I'm No Good","","",""
"マイスコップ、大捜索","My Shovel, the Great Search","","",""
"ワンワン・パニック！","Wan Wan Panic!","","",""
"やっぱりダメダメな私……","I'm Still No Good. ......","","",""
"一人前になるため","To become a full-fledged person","","",""
"みんながいるから","Because Everyone is Here","","",""
"ふたりの王子様","The Two Princes","","",""
"コラムの危機","Column Crisis","","",""
"ひとりじゃないから","Because I'm not alone","","",""
"届けたかった思い","I Wanted to Deliver My Thoughts","","",""
"ふれあい　気になるあの子は……","Fureai The girl I'm interested in......","","",""
"ふれあい　苦手を克服したい！","Fureai I want to overcome my weakness!","","",""
"ふれあい　トークを披露するなら","Fureai If you want to perform a talk","","",""
"ふれあい　海外で暮らしたら？","Fureai What if I live abroad?","","",""
"ふれあい　今飲みたいもの","Fureai What do you want to drink now?","","",""
"ふれあい　お好みの飲み物は？","Fureai What's your favorite drink?","","",""
"思い出の一冊","Book of Memories","","",""
"かわいい？かっこいい？","Cute? Cool?","","",""
"アイドルとしての華","Flower as an idol","","",""
"お姫様になりたい！","I want to be a princess!","","",""
"お似合いの衣装は？","What's your favorite outfit?","","",""
"あれ、見てください！","Oh, look at that!","","",""
"これが女子会だ！","It's a girls' night out!","","",""
"『女の子』っぽくなりたいんです！","I want to look like a girl!","","",""
"お姫様への一歩","One step closer to becoming a princess!","","",""
"選ばれたのは……","The chosen one is ......","","",""
"やっぱり王子様","I knew it was a prince.","","",""
"ヒロインは、誰？","Who is the heroine?","","",""
"プリンセス","A princess.","","",""
"エスコートは貴方に","Escort is for you!","","",""
"ふれあい　苦手な『アレ』","Fureai: What's your weakness?","","",""
"ふれあい　どんな洋服を着よう？","Affection What kind of clothes should I wear?","","",""
"ふれあい　見習いたいあの子","Love The girl you want to learn from","","",""
"ふれあい　一緒にトレーニング！","Love Training with you!","","",""
"ふれあい　ライブで大事なこと","Fuzzy What's important at a live concert?","","",""
"シシュンキの女の子","Pre-teen Girl","","",""
"あま～いアイスをご所望","I Want Swe~eet Ice Cream.","","",""
"シシュンキの悩み","Troubles with Puberty","","",""
"ハンコーキ真っ只中？","In the midst of hankooking?","","",""
"フリマと怪しい人形","A flea market and a mysterious doll","","",""
"ふたりの考えた『愛』","Their idea of love","","",""
"恋ってなんなのさー！","What's love all about?","","",""
"盆栽と恋について","On Bonsai and Love","","",""
"元気が一番！！","I'm the Most Energetic!","","",""
"シシュンキを見守って","Watching over Puberty","","",""
