"Original Text","Initial","Machine translation","Better translation","Best translation"
"あなたの歌唱力……もっと見せてください","","Show me more of your singing ability","",""
"あなたの舞い姿……惹きつけられますね","","unk>I'm captivated by how you dance<mmensely, Your Highness... I can see it in your eyes.」","",""
"あなたの美しさ……大輪の花のようだ","","Your beauty... It's like a large flower","",""
"センター、あなたの出番ですよ","Center, it's your turn.","","",""
"あなた、もっとアピールなさい","You there, I need more appeals.","","",""
"私のラッキーナンバー、２番はどうです？","How are you faring, my lucky number 2?","","",""
"私のラッキーナンバー、３番はどうです？","How are you faring, my lucky number 3?","","",""
"私のラッキーナンバー、４番はどうです？","How are you faring, my lucky number 4?","","",""
"私のラッキーナンバー、５番はどうです？","How are you faring, my lucky number 5?","","",""
"はじめますわ。合格は上位{CLEAR_RANK}組までよ","","Let's begin. You can pass up to the top {CLEAR_RANK} class!","",""
"そこまで！さあ、最後に笑うのは誰かしら？","","That's enough! Now, who will be the last to laugh?","",""
"私のリクエスト、応えられて？","","Are you able to fulfill my request?","",""
"少しは見所があるみたいね","","Looks like you've got a few things to see","",""
"ふぅ……ガッカリさせないでくれる？","","*sigh*... Can you not disappoint me?","",""
"ここは貴方の独壇場、もっと魅せなさい？","","This is your one and only chance. Enchant me more, okay?","",""
"貴方の歌声、もう少し聴かせてくれる？","","Can I hear you sing a little more?","",""
"貴方の舞踏、もう少し見させてくれる？","","Can I watch you dance a little longer?","",""
"貴方の美貌、もう少し咲かせてくれる？","","Can you make your beauty bloom a little more?","",""
"センター、準備はよくて？見ているわよ","","Center, are you ready? I'm watching","",""
"貴方、アピールが足りないわ。本気を出して","","You don’t have enough appeal. Go all out","",""
"今日の気分は２番……そう、貴方のことよ","","I feel like number two today... Yes, it's about you","",""
"今日の気分は３番……そう、貴方のことよ","","I feel like number three today... Yes, it's about you","",""
"今日の気分は４番……そう、貴方のことよ","","I feel like number four today... Yes, it's about you","",""
"今日の気分は５番……そう、貴方のことよ","","I feel like number five today... Yes, it's about you","",""
"上位{CLEAR_RANK}組までが合格だ。死力を尽くせ","","Up to the top {CLEAR_RANK} class will pass. Give it your all!","",""
"終わりだ。物足りないな……こんなものか？","","It's over. Not enough... Is this it?","",""
"俺の指示通りに動いてみせろ","","I want you to follow my instructions","",""
"少しはやるようだな？","","Looks like you're doing a little bit of work, huh?","",""
"ふん……話にならん","","Hmph... This is pointless","",""
"いい気合いだ。もっとみせてみろ","","That's some spirit. Show me more","",""
"ボーカルは及第点だ。もっとないのか？","","The vocalist gets a passing grade. Don't you have more?","",""
"ダンスは及第点だ。もっとないのか？","","Dancing is a passing grade. Don't you have more?","",""
"ビジュアルは及第点だ。もっとないのか？","","Visuals are a passing grade. Don't you have any more?","",""
"センター、本気を出してみろ","","Center, get serious","",""
"そこ、アピールが足りないぞ","","That's not enough appeal","",""
"２番、動けるか？……みせてみろ","","Number two, can you move? ...Show me","",""
"３番、動けるか？……みせてみろ","","Number three, can you move? ...Show me","",""
"４番、動けるか？……みせてみろ","","Number four, can you move? ...Show me","",""
"５番、動けるか？……みせてみろ","","Number five, can you move? ...Show me","",""
"最終審査をはじめる。合格は上位{CLEAR_RANK}組までだ","","We're starting the final screening. You can only pass to top {CLEAR_RANK} groups","",""
"終わりだ。最終審査に相応しい戦いだった","","It's over. That was a good fight for the final screening process","",""
"さあ、俺の指示についてこれるか！？","","Now, can you keep up with my instructions?!","",""
"素晴らしい……素晴らしいぞっ！","","Wonderful... Fantastic!","",""
"少し期待をしすぎたか……","","Maybe I got my hopes up a little too high..","",""
"いいテンションだ……！どこまでいける！？","","You're in such high spirits...! How far can you go?","",""
"心が震える……！なんという歌唱力だ！","","My heart is trembling...! What a singing ability","",""
"胸が弾む……！なんて軽快なダンスだ！","","My chest is bouncing...! What a light dance","",""
"目を奪われる……！圧倒的なビジュアルだ！","","My eyes are drawn to it...! It’s an overwhelming visual","",""
"センター！お前はこんなものじゃないだろ？","","Center! You're not like this, are you?","",""
"アピールが足らないぞ！宝の持ち腐れだ！","","You don't have enough appeal! This is a treasure trove","",""
"２番の調子はどうだ？もっと見せてくれ！","","How's number two? Show me more!","",""
"３番の調子はどうだ？もっと見せてくれ！","","How's number three? Show me more!","",""
"４番の調子はどうだ？もっと見せてくれ！","","How's number four? Show me more!","",""
"５番の調子はどうだ？もっと見せてくれ！","","How's number five? Show me more!","",""
"幸せの笑顔届けます！","Delivering Happy Smiles!","","",""
"みんなに素敵な時間を","Having a Good Time with Everyone","","",""
"みんなの視線独り占め","Everyone's Point of Attention","","",""
"眠り姫の見る夢は……","The Dream of the Sleeping Princess is...","","",""
"約束の地に響く歌声","Singing Echoes in the Promised Land","","",""
"蒼き鳥の羽ばたき","Flapping of the Blue Bird","","",""
"キラメキ全開の元気！","Glittering Energy Unleashed!","","",""
"一緒にハイターッチ♪","Let's High-Five♪","","",""
"一歩を踏み出す勇気","Courage to Take the First Step","","",""
"ナミダの先にある笑顔","A Smile Beyond the Tears","","",""
"躍動ダンス&ステップ","Dynamic Dance & Step","","",""
"プリティパフォーマー","Pretty Performer","","",""
"真美☆ドリーミング","Mami☆Dreaming","","",""
"真美流おとなあぴーる","Mami-style Adult Appeal","","",""
"月下に佇む一輪の花","Lone Flower Beneath the Moon","","",""
"風と彩る花びらの舞","Windy & Colorful Petal Dance","","",""
"はいさい南国ダンス♪","Haisai Southern Dance♪","","",""
"常夏太陽テンション！","Endless Summer Solar Tension!","","",""
"気まぐれダイアモンド","Whimsical Diamond","","",""
"世界一アイドル宣言！","Self-proclaimed World's #1 Idol!","","",""
"亜美☆シャイニング","Ami☆Shining","","",""
"亜美流ぴゅああぴーる","Ami-style Pure Appeal","","",""
"慈愛の微笑み","Smiles of Kindness","","",""
"晴れ色な思い伝えます","Reminder of Sunny Colors","","",""
"パーフェクトブレイン","Perfect Brain","","",""
"いっぱいの魔法を君に","Give You a Lot of Magic","","",""
"光輝なる堕天の祝福","Brilliant Fallen Angel's Blessing","","",""
"ゲファレナーエンゲル","Gefallener Engel","","",""
"まいぺーすあぴーる","My Pace Appeal","","",""
"たまには本気出すかな","I'll Get Serious Every So Often","","",""
"ギャル★エモーション","Gyaru★Emotion","","",""
"トキメキ★マイハート","Tokimeki★My Heart","","",""
"きらりん☆すぱーくる","Kirarin☆Sparkle","","",""
"はぴはぴ☆まじっく","Happy Happy☆Magic","","",""
"シャイニングウサミン","Shining Usamin","","",""
"ウサミン星より愛を！","Love from Planet Usamin!","","",""
"高みへと臨む光の風","Wind of Light Facing The Heights","","",""
"心と心を結ぶ恋風","Wind of Love that Connects Hearts","","",""
"未来に届く満開の笑顔","Full Bloom Smile that Reaches the Future","","",""
"夢に向かってスマイル","Smiling Towards Her Dream","","",""
"静かなる決意の旋律","Melody of Silent Determination","","",""
"たった一つの歌","Just One Song","","",""
"きらめけ！羽ばたく翼","Glitter! Flapping Wings","","",""
"みんなわたしに夢中♪","Everyone is Crazy About Me♪","","",""
"不器用な想いと紬ぐ糸","Awkward Feelings with Tsumugi Threads","","",""
"素直な気持ち一歩ずつ","Step At a Time With Honest Feelings","","",""
"織り重なる調和の歌声","Singing That Weaves Harmony","","",""
"笑顔のアンサンブル","Ensemble of Smiles","","",""
"想いを伝える琴の葉","Conveying the Sounds of the Koto Leaves","","",""
"素直な気持ちを歌声に","Singing Honest Feelings","","",""
"まどろみジェミニ","Sleepy Gemini","","",""
"乱れ咲きブルースター","Abruptly Blooming Blue Star","","",""
"彩光のアルバ","Alba's Colors","","",""
"未開拓ジャーニー","Undeveloped Journey","","",""
"ルミナスフラッシュ！","Luminous Flash!","","",""
"ヒーローアピール！！","Hero Appeal!!","","",""
"はつらつジェミニ","Lively Gemini","","",""
"咲き誇るサルビア","Full Blooming Salvia","","",""
"七色光彩","Rainbow Glow","","",""
"凛として進む道","Dignified Path","","",""
"ウラオモテノハート","Two-faced Heart","","",""
"ミスティックパープル","Mystic Purple","","",""
"絢爛たる獅子の舞踏","Gorgeous Lion Dance","","",""
"至高に挑む王者の威風","Majestic King That Challenges the Best","","",""
"咲き誇れ星々の旋律","Melody of Blooming Stars","","",""
"世界に響け慈愛の歌声","Kind Singing That Echoes Worldwide","","",""
"純白無垢なる可能性","Possibility of Pure White Innocence","","",""
"紡がれた絆と歩む世界","World That Spins Through Bonds","","",""
"漆黒を舞う熱き想念","Passionate Ideas That Dance in Jet Black","Jet black dance inspiration","",""
"白夜を望む情熱の歌声","Passionite Singing That Overlooks the Midnight Sun","Passionate voice of white night","",""
"トリックオアトリート☆上位{CLEAR_RANK}組が合格ね♪","","Trick or treat ☆ The top {CLEAR_RANK} group passes♪","",""
"そこまで☆ハロウィンの栄冠は誰の手に！？","","That's enough ☆ Whose hand is the glory of Halloween?!","",""
"お願い☆あたしの言う通りに動いて♪","","Please ☆ Do as I say♪","",""
"さっすが☆あとでキャンディあげる♪","","As expected ☆ I'll give you some candy later♪","",""
"ドンマイ☆あとでイタズラしてあげる♪","","Don't worry about it☆ I will tease you later♪","",""
"きゃはっ☆キミ、テンション高いね♪","","Kyaha☆ You're so excited♪","",""
"うきゃっ☆ボーカルとってもいい感じ♪","","Ukyah☆ The vocalist is really good♪","",""
"うきゃっ☆ダンスとってもいい感じ♪","","Ukyah☆ The dance is really good♪","",""
"うきゃっ☆ビジュアルとってもいい感じ♪","","Ukyah☆ The visuals are really good♪","",""
"おーいっ☆センター！生きてるか―！","","Hey, Center! Are you alive?","",""
"ありゃっ☆キミ、もっとアピールしなきゃ！","","Oh my☆ You need to show off more!","",""
"じゃーんっ☆抽選の結果、２番が当選です♪","","Ta-dah☆ As a result of the lottery, number 2 is elected♪","",""
"じゃーんっ☆抽選の結果、３番が当選です♪","","Ta-dah☆ As a result of the lottery, number 3 is elected♪","",""
"じゃーんっ☆抽選の結果、４番が当選です♪","","Ta-dah☆ As a result of the lottery, number 4 is elected♪","",""
"じゃーんっ☆抽選の結果、５番が当選です♪","","Ta-dah☆ As a result of the lottery, number 5 is elected♪","",""
"審査スタート☆上位{CLEAR_RANK}組までが合格だよ♪","","Examining Start☆ Up to the top {CLEAR_RANK} class will pass♪","",""
"そこまで☆勝利の栄冠は誰の手に！？","","That's enough ☆ Whose hand is the crown of victory?!","",""
"さっすが☆ミッション大成功、だね♪","","That's the mission for you. It was a huge success♪","",""
"ドンマイ☆失敗しても明日があるさ♪","","Don't worry☆ Even if you fail, there will be tomorrow♪","",""
"ルミナスＶＳディアマント。審査開始シマス","","Luminous vs. Diamanto, begin the examination","Luminous vs Diamant. The judging will begin.",""
"審査終了シマス。審査結果集計中…………","","Examining complete. The results are tallying..","Judging is completed. Compiling result...",""
"アピールミッション、審査開始……","","Commencing appeal mission review..","",""
"アピールミッションノ成功ヲ確認……","","Confirming success of the appeal mission..","",""
"アピールミッションノ失敗ヲ確認……","","Confirming failure of appeal mission..","",""
"テンションガ高イ、アイドルヲ検知……","","High spirited Idol detected..","",""
"ボーカルスペックノ高イ、アイドルヲ検知","","High specs vocalist detected","High-spec vocalist detected",""
"ダンススペックノ高イ、アイドルヲ検知","","The dance specs are high, idol detected","High-spec dancer detected",""
"ビジュアルスペックノ高イ、アイドルヲ検知","","Idol detected with high visual specs","High-spec visual idol detected",""
"センターノ、アイドルニ注目……","","Centerno, attention to idols..","Focus the attention to the center...",""
"アピールガタラナイ、アイドルニ注目……","","There's no appeal, just attention to the 2nd idol..","",""
"ランダム抽出……２番ノアイドルニ注目……","","Random sampling... Idol No. 2 attention, please!","",""
"ランダム抽出……３番ノアイドルニ注目……","","Random sampling... Idol No. 3 attention, please!","",""
"ランダム抽出……４番ノアイドルニ注目……","","Random sampling... Idol No. 4 attention, please!","",""
"ランダム抽出……５番ノアイドルニ注目……","","Random sampling... Idol No. 5 attention, please!","",""
"審査開始シマス。勝利条件：上位{CLEAR_RANK}組マデ","","Commencing examination. Conditions: reach {CLEAR_RANK}","",""
"上位{CLEAR_RANK}組までが合格ってことで、ヨロシク！","","Even the top {CLEAR_RANK} class passes, so I'm counting on you!","",""
"はい、おわり。みんな、ぶっちゃけどうよ？","","Okay, that's it. Let me tell you guys something..","Okay, that's it. Let's be frank, everyone, shall we?",""
"ほんじゃま、俺の指示通りにヨロシク！","","Well then, do as I tell you!","",""
"うんうん、いいねー！いいじゃない！","","Yeah, that's great! That sounds good, keep it up!","",""
"あちゃ～。見てらんないね、こりゃ","","Oh man. I can't bear to watch this?","",""
"お、そこのキミ！元気だねぇ！いいよいいよ","","Hey, you there! You're full of energy, keep it up!","",""
"あの子、歌うまいねぇ……どこの子よ？","","She's not going to sing... What kind of girl is she?","She's a good singer. ...... Where is she from?",""
"あの子、ダンスうまいねぇ……どこの子よ？","","She's so good at dancing... What kind of girl is she?","That girl is a good dancer. ... Where is she from?",""
"あの子、華があるねぇ……どこの子よ？","","She's gorgeous... What kind of girl is she?","That girl is so gorgeous. ...Where is she from?",""
"どう？センターのキミ、いけそう？","","What do you think, Center? Think it'll work out for ya","Hey center? can you do it?",""
"キミ、隠れてないで、もっとアピールして！","","Stop hiding and appeal to me more!","",""
"今日の気分は２番かな。どう、いけちゃう？","","I guess today's mood is number 2. What do you think?","",""
"今日の気分は３番かな。どう、いけちゃう？","","I guess today's mood is number 3. What do you think?","",""
"今日の気分は４番かな。どう、いけちゃう？","","I feel like number 4 today. What do you think?","",""
"今日の気分は５番かな。どう、いけちゃう？","","I feel like number 5 today. What do you think?","",""
"上位{CLEAR_RANK}組までが合格……いけるわね？","","To the top {CLEAR_RANK}... Can you do that?","Can you made it to the top {CLEAR_RANK}?",""
"はい、お疲れ様。……楽しい時間だったわ","","Yes, thank you for your hard work. ...It was fun!","",""
"私の手のひらの上で、踊ってみせて","","Dance in the palm of my hand","",""
"あら、驚いたわ。うまく踊ってみせるものね","","Oh, what a surprise. I'll show you how well it dances!","Oh, I'm surprised. You dance well.",""
"無様なものね……出直してらっしゃい","","What an uncouth thing to do... Come back later","You're a disgrace. ... please come back latter!",""
"元気な子がいるわね。若い頃を思い出すわ","","What a lively girl. It reminds me of when I was young","",""
"歌唱力なら貴方ね。いいわ、続けて","","You're the best singer I know. All right, keep it up","",""
"ダンスなら貴方ね。いいわ、続けて","","If you're looking for a dance, it must be yours. All right then go on","You're the one for dancing. Okay, go on.",""
"画面映えなら貴方ね。いいわ、続けて","","If it's on the screen, then you. Go ahead and continue","You're the one for appeal. Okay, go on.",""
"センター、貴方は何ができるのかしら？","","Center, what can you do?","",""
"臆病な子ね……もっとアピールなさい","","You're such a coward... Show me more","",""
"個人的には２番の子が気になるかしら？","","Personally, I wonder if you're interested in the second girl?","Personally, I'm interested in no. 2",""
"個人的には３番の子が気になるかしら？","","Personally, I wonder if you're interested in the third girl?","Personally, I'm interested in no. 3",""
"個人的には４番の子が気になるかしら？","","Personally, I wonder if you're interested in the fourth girl?","Personally, I'm interested in no. 4",""
"個人的には５番の子が気になるかしら？","","Personally, I wonder if you're interested in the fifth girl?","Personally, I'm interested in no. 5",""
"さあ、はじめよう！上位{CLEAR_RANK}組までが合格だ！","","Come on, let's get started! Even the top {CLEAR_RANK} class will pass","Let's get started! Only the top {CLEAR_RANK} groups will pass!",""
"そこまでだ！うん、とてもいい勝負だった！","","That's enough! Yes, it was a very good match","",""
"俺の指示通り、動いてみてくれ！","","Just follow my instructions and try moving!","",""
"さすがだ！いいセンスをしているね","","Impressive! You've got good taste","",""
"残念だったね。でも、次のチャンスがあるさ","","Too bad. But you'll have another chance to do it for me, I guess?","What a pity. But, there is next chance.",""
"元気なアイドルだ！こっちも元気になるよ","","She's an energetic idol! I feel better too","",""
"すごい歌唱力だ。とても魅力的だね！","","You've got quite the singing ability. Very attractive!","",""
"すごいダンスだ。躍動感に満ちてるね！","","What an amazing dance. It's full of energy!","",""
"すごいビジュアルだ。なかなかの逸材だね","","Wow, that's some visual. You have quite the knack for this","",""
"センター、君の実力を見せてくれるかい？","","Center, show me what you're made of","",""
"少しアピールが足りないかな？できるかい？","","Isn't that a little lacking in appeal? Can you do it?","",""
"ここで注目すべきは２番かもしれないね……","","The most important thing here might be number two...","",""
"ここで注目すべきは３番かもしれないね……","","I think we should focus on number three here...","",""
"ここで注目すべきは４番かもしれないね……","","I think we should focus on number four here..","",""
"ここで注目すべきは５番かもしれないね……","","The most important thing here might be number five..","",""
"はじめるとしよう。上位{CLEAR_RANK}組までが合格だ","","Let's begin. Even the top {CLEAR_RANK} class passes","Let's begin. The passing grade is up to {CLEAR_RANK}th place.",""
"未来の扉は開かれた。勝利者に祝福にあれ","","The door to the future is open. Blessed be thy victor","",""
"ここは仮面舞踏会……思うままに舞うといい","","This is a masquerade ball... Dance as you please","",""
"素晴らしい。ボクの見込み通りだ","","Splendid. Just as I expected","",""
"……少し期待をしすぎたかな？","","...Maybe I got my hopes up a little too high?","",""
"キミ、楽しんでいるね。注目させてもらおう","","You're having fun. Let me draw your attention, shall we?","You're having fun, aren't you? You got my attention",""
"魅力的な歌声だ。評価に値する","","Charming singing voice. Worth appreciating","",""
"活発的なダンスだ。目を見張るものがある","","It's an active dance. I have something remarkable in my eyes, you know?","It's a lively dance. Remarkable.",""
"圧倒的なビジュアルだ。惹きつけられる","","Overwhelming visuals. I'm captivated","It's an overwhelming visual. Captivating.",""
"センターはユニットの華だ。期待しよう","","The center is the flower of our unit. Let's hope so, shall we?","The center is the flower of the unit. Let's hope for the best.",""
"キミ、アピールが足りてないようだが？","","You don't seem to have appealed enough","",""
"２番のキミ、出番だ。実力を見せてもらおう","Number 2, you're up. Let's see what you can do","","",""
"３番のキミ、出番だ。実力を見せてもらおう","Number 3, you're up. Let's see what you can do","","",""
"４番のキミ、出番だ。実力を見せてもらおう","Number 4, you're up. Let's see what you can do","","",""
"５番のキミ、出番だ。実力を見せてもらおう","Number 5, you're up. Let's see what you can do","","",""
"<appeal_def>ユニゾンアピール開始時に</>
<appeal_def>全員のVo.スキルブーストを{0}％上げる</>","<appeal_def>At the start of the Unison Appeal,</>
<appeal_def>increase everyone's Vo. skill boost by {0}%.</> ","","",""
"<appeal_def>ユニゾンアピール開始時に</>
<appeal_def>全員のDa.スキルブーストを{0}％上げる</>","<appeal_def>At the start of a Unison Appeal,</>
<appeal_def>increase everyone's Da. Skill Boost by {0}%.</> ","","",""
"<appeal_def>ユニゾンアピール終了時に</>
<appeal_def>自分のテンションを{0}％上げる</>","<appeal_def>At the end of a Unison Appeal,</>
<appeal_def>increase the idol's tension by {0}%.</> ","","",""
"<appeal_def>ユニゾンアピール開始から{0}秒間</>
<appeal_def>能力リクエストをVo.に変える</>","<appeal_def>At the start of a Unison Appeal,</>
<appeal_def>change the appeal type to Vo. for {0} seconds.</> ","","",""
"<appeal_def>ユニゾンアピール開始から{0}秒間</>
<appeal_def>能力リクエストをDa.に変える</>","<appeal_def>At the start of a Unison Appeal,</>
<appeal_def>change the appeal type to Da. for {0} seconds.</> ","","",""
"<appeal_def>ユニゾンコンプリート達成時に</>
<appeal_def>全員のテンションを{0}％上げる</>","<appeal_def>Achieving Unison Complete will</>
<appeal_def>increase everyone's tension by {0}%.</> ","","",""
"<appeal_def>ユニゾンアピール終了時に</>
<appeal_def>ユニットのシンクロゲージを{0}％増やす</>","<appeal_def>At the end of a Unison Appeal,</>
<appeal_def>increase the Synchro Gauge by {0}%.</> ","","",""
"<appeal_def>ユニゾンコンプリート達成時に</>
<appeal_def>ユニットの思い出を{0}増やす</>","<appeal_def>Achieving Unison Complete will</>
<appeal_def>increase available memories by {0}.</> ","","",""
"<appeal_def>ユニゾンアピールが発生している間</>
<appeal_def>自分のテンションを{0}％上げる</>","<appeal_def>During a Unison Appeal,</>
<appeal_def>increase the idol's tension by {0}%.</> ","","",""
