"（もし、あのときに戻れるなら……）","(If I could go back to that time...)","","","(If I could go back to that time...)"
"「４/１」","April 3","","","「4/1」"
"「４/１０」","April 10","","","「4/10」"
"なんてな……って、あれ？","What... what's this?","","","What.. Wait, huh?"
"い、意識が……遠のいて……いく……","M-my consciousness is... drifting... far away...","","","I-I'm... losing consciousness..."
"「４/１７」","April 17","","","「4/17」"
"「４/２４」","April 24","","","「4/24」"
"「５/１」","May 1","","","「5/1」"
"「５/８」","May 8","","","「5/8」"
"「５/１５」","May 22","","","「5/15」"
"「５/２２」","May 22","","","「5/22」"
"「６/２」","June 5","","","「6/2」"
"「６/１２」","June 12","","","「6/12」"
"「６/１９」","June 19","","","「6/19」"
"「６/２６」","June 26","","","「6/26」"
"「７/３」","July 3","","","「7/3」"
"「７/１０」","July 10","","","「7/10」"
"「７/１７」","July 17","","","「7/17」"
"「７/２４」","July 24","","","「7/24」"
"「８/１」","August 1","","","「8/1」"
"「８/７」","August 7","","","「8/7」"
"「８/１４」","August 14","","","「8/14」"
"「８/２１」","August 21","","","「8/21」"
"「９/１」","September 1","","","「9/1」"
"「９/１１」","September 11","","","「9/11」"
"「９/１８」","September 18","","","「9/18」"
"「９/２５」","September 25","","","「9/25」"
"「１０/２」","October 2","","","「10/2」"
"「１０/９」","October 9","","","「10/9」"
"「１０/１６」","October 16","","","「10/16」"
"「１０/２３」","October 23","","","「10/23」"
"「１０/３０」","October 30","","","「10/30」"
"「１１/１３」","November 13","","","「11/13」"
"「１１/２０」","November 20","","","「11/20」"
"「１１/２７」","November 27","","","「11/27」"
"「１２/１」","December 1","","","「12/1」"
"「１２/１１」","December 11","","","「12/11」"
"「１２/１８」","December 18","","","「12/18」"
"「１２/２５」","December 25","","","「12/25」"
