"さて、１２月の『クリスタルウィンター』まで
６ヶ月を切ったわけだが……","Now then, it's less than six months until the Crystal Winter in December..","Now, until ""Crystal Winter"" in December.
So less than 6 months to go. ......","Now then, it's less than six months until
the Crystal Winter in December..","Now, we have less than six months until
December's 'Crystal Winter'..."
"心白の能力は把握できました。彼女には、
見たものを、すぐに自分のものとする力があります","I have a grasp of Kohaku's ability. She has the power to immediately make what she see her own","I was able to figure out what mind white is capable of, for her,
I have the ability to take what I see and immediately make it my own.","I have a grasp of Kohaku's ability. She has the
power to immediately make what she sees her own",""
"今はその力を磨いてもらいつつ、
普段の様子からヒントを探っているのですが……","Right now, I'm trying to find a hint based on how you usually act while honing your skills","Now we are having them hone that ability,
I'm looking for clues from the usual: ......","For now, I'm having them polish their skills and looking 
for hints from their everyday behavior.",""
"まだ、問題は分からない……か","We still don't know the problem, huh?","I still don't understand the problem. ...... or","We still don't know the problem, huh?",""
"はい……","Yes..","","Yes..","Yes......"
"ただ……問題の手掛かりは掴んだかもしれません","It's just... I think we might have a lead on the problem","But I think I may have a clue about the ...... problem.","It's just... I think we might have a lead on the problem",""
"ほう、それは一体なんだね？","Oh, so that's what it is?","Well, what the hell is that?","Oh, so that's what it is?",""
"心白は……他者と接する時に、
どこか身を引いているように感じます","Kohaku... When interacting with others, it feels like he's backing down","Mind white is ...... when interacting with others,
I feel like he's stepping aside somewhat.","Kohaku... When interacting with
others, it feels like he's backing down",""
"ルミナスでも、みんなと楽しそうにしていますが、
常に引いて見ている気がして……","Even in Luminous, she seemed to be having fun with everyone else but always felt like backing down and watching..","Although he seems to be enjoying himself with everyone at Luminous,
I feel like I'm always pulling back and looking at ......","Even in Luminous, she seemed to be having fun with
everyone else but always felt like backing down and watching from afar..","In Luminous, everyone seems to be having a good time,
but She always feels like only observing from a distance..."
"でも、それは彼女の性格……。
謙虚さや謙遜とは違うと感じるんです","But that's because of her personality... I feel it is different from modesty or humility","But that's her character .......
I just feel it's not the same as modesty or humility.","But that's because of her personality... I feel
it is different from modesty or humility","But that's just her personality... 
I feel like it's different from being humble or modest."
"その理由が何なのか、
そこに問題解決のヒントがあるはずです","There must be a hint there as to what the reason is","What is the reason for this?
That's where you'll find the solution to your problem.","There must be a hint there
as to what the reason is",""
"みんなといることで、はっきりする……。
解決に近づくのではないかと思っています","Being with everyone makes it clear. I believe we're getting closer to solving the problem at hand, if that is what you mean by 'decisions will be resolved in due time and no one else can help us out of this mess as well!","Being with everyone makes it clear. ......
I believe we are getting closer to a solution.","Being with everyone makes it clear. I believe we're getting closer to solving the problem at hand, if that is
what you mean by 'decisions will be resolved in due time and no one else can help us out of this mess as well!","Being with everyone might bring clarity...
I believe it could bring us closer to a solution."
"なるほど、もう少しで答えが見つかるかも
しれないね。ただし、時間は限られている……","I see. We might be able to find the answer soon, but our time is limited..","I see, I'm almost there, maybe I'll find the answer.
Maybe, but time is limited: ......","I see. We might be able to find the
answer soon, but our time is limited..",""
"そうだな。こんな時こそ、
天海君たちに相談してみてはどうだろう","Yeah. Why don't you talk to Amami-kun and the others at a time like this?","Yes, this is the time,
Why don't you talk to Amami and the others about it?","Yeah. Why don't you talk to Amami-kun
and the others at a time like this?",""
"それはいいですね！　次の新曲の歌唱メンバーを
決めようと思っていたので……","That sounds great! I was thinking of deciding on the members for our next song, so..","That's great, I'll get the next new singing member.
I was trying to decide. ......","That sounds great! I was thinking of
deciding on the members for our next song, so...",""
"レッスンや心白の件と一緒に
相談してみようと思います","I'd like to discuss it with you about the lessons and Kohaku","Along with the lessons and the heart white matter.
I will consult with them.","I'd like to discuss it with her
about the lessons, and Kohaku's matter too.",""
"彼女たちも、君に頼られると嬉しいだろう。それに、
アイドルの事はアイドルが一番分かるんじゃないかな","I'm sure they would be happy if you relied on them. Besides, idols are probably the best people to know about pop stars","They'll be glad to have you on their side,
I guess idols know best.","I'm sure they would be happy if you relied on them. Besides,
idols are probably the best people to know about idol stuff.",""
"まあ、深く考えすぎるのもよくない。
君らしくルミナスと向かい合ってみるといい！","Well, you shouldn't think too hard about it. You should face Luminous like yourself!","Well, it is not good to think too deeply.
Try to face Luminous as you would!","Well, you shouldn't think too hard about
it. You should face Luminous like you usually did!",""
"はいっ！","Yes!","","Yes!","Yes!"
"（『サマードルフィン』の突破と心白の問題の解決。
両方目指して頑張るぞ！）","(Let's break through Summer Dolphin and solve the problem of Kohaku. We have to aim for both!)","(Breakthrough of ""Summer Dolphin"" and resolution of the heart white issue.
I'm going for both!)","(I'll strive for both the breakthrough of 'Summer Dolphin'
and the resolution of Kohaku's issue!)",""
"今月末は『スターリットシーズン』における、
夏の祭典『サマードルフィン』が開催される","At the end of this month, there will be a summer festival called Summer Dolphin during Starlit Season","At the end of this month, the ""Starlit Season"" will be held,
Summer Festival ""Summer Dolphin"" will be held","At the end of this month, there will be a summer
festival called Summer Dolphin during Starlit Season",""
"『サマードルフィン』はフェス形式のステージ……。
つまり、競う相手がいるということだ","Summer Dolphin is a festival-style stage... In other words, there's someone to compete with","Summer Dolphin is a festival-style stage at .......
Which means you have someone to compete with.","Summer Dolphin is a festival-style stage... In
other words, there's someone to compete with",""
"まずは、ファンを増やして『サマードルフィン』に、
出場できるよう頑張っていこう！","First, let's increase the number of fans and do our best to enter Summer Dolphin!","First, to ""Summer Dolphin"" with more fans,
Let's do our best to compete!","First, let's increase the number of fans
and do our best to enter Summer Dolphin!",""
"はいっ！
頑張っていきましょう！","Yes! Let's do our best","Yes!
Let's do our best!","Yes!
Let's do our best","Yes!
Let's do our best"
"……そういえば、『サマードルフィン』って、
ディアマントも出場するんだよね","...Come to think of it, ‘Summer Dolphin' also participates in Diamant","...... I was thinking of ""Summer Dolphin"",
Diamant is going to compete, too.","...Come to think of it, ‘Summer
Dolphin' also participates in Diamant","...Come to think of it, Diamant also participate
in Summer Dolphin"
"レオレオに、プリンプリンに、あややかぁ……。
フッフッフ……相手にとって不足はない！","Leo, pudding and Ayaka... Heheh. There's no shortage of opponents!","Leo Leo, Pudding Pudding, and Ayayayayayayayayayayayayayayayayayayayayayayayayayayayay .......
Hmph ...... there is no shortage of opponents!","Leo, pudding and Ayaka... Heheh.
There's no shortage of opponents!","Leo-leo, Purin-purin, and Ayaya... Heh heh...
There's no shortage of opponents!"
"んっふっふ～。超せくしーアイドル真美の実力が
あれば、イチコロだかんね♪","Heheh~ With the power of a super-sexy idol like Mami, I'll never be able to beat you♪","The power of the super Sekkushi idol Mami.
If there were, I'd be all over it.","Heheh~ With the power of a super-sexy idol
like Mami, I'll never be able to beat you♪","Hehe~ With the incredible talents of the 
super sexy idol Mami, victory will be a piece of cake~♪"
"でも玲音さんと詩花ちゃんだよね。うぅぅ……
なんだか、とっても不安になってきた……","But it's Leon and Shika-chan, right? Ugh... I feel really uneasy now","But it's Leon and Shika. ugh ......
I'm getting very anxious ......","But it's Leon and Shika-chan,
right? Ugh... I feel really uneasy now",""
"雪歩ちゃん、大丈夫よ。私たちだって、
レッスンやライブを頑張っているんだから","Don't worry, Yukiho-chan. We do our best with the lessons and live performances as well""","Don't worry, Snowy, we'll be fine,
You're working hard on your lessons and gigs.","Don't worry, Yukiho-chan. We do our best with
the lessons and live performances as well",""
"そうなの！　それに、ミキたちはミキたちの
やれることをやればいいって思うな♪","That's right! Besides, Miki and the others should do what they can♪","Yes! Besides, Miki and her friends are Miki's friends.
Don't think you can do what you can do.","That's right! Besides, Miki and the
others should do what they can♪",""
"フェス形式だ、組み合わせによっては競うことも
あるかもな。できれば今は避けたい相手だが……","It's a festival format. Depending on the pairing, we might even have to compete with them... I would rather avoid that opponent for now if possible","It's festival style, depending on the combination, you can even compete.
Maybe there is...hopefully not someone I'd like to avoid right now. ......","It's a festival format. Depending on the pairing, 
we might even have to compete with them... 
I would rather avoid that for now if possible",""
"それと、もうひとつニュースがある。
社長の手配で、来月、夏合宿を予定しているぞ！","Also, there's one more piece of news. The president has arranged for a summer training camp next month!","And there is one more piece of news.
The president has arranged for a summer camp next month!","Also, there's one more piece of news. The president
has arranged for a summer training camp next month!",""
"ホントですか！？
みんなで合宿なんて、すっごく楽しそう～♪","Really?! Training camp with everyone sounds like a lot of fun~","Really?
A training camp with everyone sounds like a lot of fun~!","Really?! Training camp with
everyone sounds like a lot of fun~",""
"Ｐちゃん、とってもハピハピなニュースだにぃ☆
きらりんも合宿、楽しみだゆっ☆","P-chan, this is really happy news☆ I'm looking forward to the training camp too♪","P-chan, I have very happy news!
Kirari is looking forward to the camp!","P-chan, this is really happy news☆ I'm
looking forward to the training camp too♪",""
"合宿……！　海とか、学校でやるんでしょうか！？
スッゴく楽しみですー！","A training camp...! Are we going to do something like the beach at school? I'm so excited for it","I wonder if the camp ...... will be at the beach or at the school!
I'm really looking forward to it!","A training camp...! Are we going to do something
like go to the beach like we did at school? I'm so excited!",""
"うっうーっ！　
やる気がぐんぐんわいてきましたー！","Ugh, I'm so pumped up!","Uh-oh!
I'm feeling very motivated!","Uuuuuー!
I'm so pumped up!",""
"詳細は、追って連絡するとして……。
まずは、『サマードルフィン』を成功させないとな","I'll give you the details later... First, we need to make Summer Dolphin a success","Please contact ...... for more details as they become available.
First, we need to make ""Summer Dolphin"" a success.","I'll give you the details later... 
First, we need to make Summer Dolphin a success",""
"フフ、プロデューサーの言う通り。
それで、今月はどうするんだい？","Haha. It's just as Producer said... So, what are you going to do this month?","Huh, Producer is right.
So what are you going to do this month?","Haha. It's just as Producer said...
So, what are you going to do this month?",""
"以前、完成が遅れていた新曲、
それがようやく完成したんだ","It was a new song that had been delayed before, and it's finally finished","A new song that had previously been delayed in completion,
That's finally done.","It was a new song that had been
delayed before, and it's finally finished",""
"５月の時の楽曲……でしたっけ？
完成したんですね","The song from May... was it? It's complete","Was it the music ...... in May?
You've completed it.","The song from May...
was it? It's complete",""
"新曲っ！　どんな曲ですか？
あたし、聞いてみたいですーっ！","A new song! What kind of music is it? I'd like to hear one","A new song! What kind of song is it?
I would love to hear about it!","A new song! What kind of music
is it? I'd like to hear one",""
"ああ、早速聞いてくれ","Yeah, listen to me already","Yeah, listen to me real quick.","Yeah, listen to me already",""
"とてもいい曲でしたね。
アップテンポで、元気があって……","It was a very nice song. Up-tempo, energetic..","It was a very nice song.
It's up-tempo, energetic and ......","It was a very nice song.
Up-tempo, energetic..",""
"誰に歌ってもらうのがいいかしら……。
やっぱり、元気いっぱいな、やよいちゃん？","I wonder who should sing for me... You really are full of energy, Yayoi-chan","Who should we ask to sing for us? .......
After all, you are full of energy, Yayoi?","I wonder who should sing for me... You
really are full of energy, Yayoi-chan",""
"私ですか？　はい！
選んでもらえるなら、いーっぱいがんばりますっ！","Me? Yes! I'll do my best if you choose me","Is it me? Yes!
If you choose me, I will do my best!","Me? Yes! I'll do my
best if you choose me",""
"はいはーい！
今回こそ、わたしがいいと思いまーす♪","Okay, okay! This time for sure I think it's fine♪","Yes, yes, yes!
This time, I think I'll be the one...","Okay, okay! This time for
sure I think it's fine♪","Okay, okay!
I think it's fine♪"
"フフ、こういう楽曲だからこそ聞いてみたい
メンバーもいるね","Haha. It's precisely because of this song that I want to hear it from other members as well, right?","Huh, it's this kind of music that I want to hear.
You have some members.","Haha. It's precisely because of this song that I want
to hear it from other members as well, right?","Haha. That's why I'd like
to hear some of your songs"
"例えば、どんなメンバーかな？","For example, what kind of members are they?","For example, what kind of member?","For example, what kind of members are they?",""
"私は歌織を推薦するよ","I recommend Kaori","I nominate Utaori.","I recommend Kaori",""
"わ、私！？","M-Me?!","Wow, me!","M-Me?!",""
"この曲を聞いた時、
真っ先に歌織の顔が浮かんだんだ……ダメかな？","When I heard this song, Makoto's face came to mind first... Is that okay?","When I heard this song,
The first thing that came to mind was the face of the songstress. ...... No?","When I heard this song, Kaori's face
came to mind first... Is that okay?",""
"そんな風に言われたら……。
はい、私にやらせてください！","If you say it like that... Yes, please let me!","If you hear me say it like that, please contact me at .......
Yes, let me do it!","If you say it like that...
Then, please let me do it!",""
"いいと思う★　なんていうか、ギャップ？
逆にこの曲、すっごいハマりそう！","I think it's great! ★ How do you put this... gap between us? This song, on the other hand. It feels so good!!","I think it's good ★ What a gap?
On the contrary, this song is going to be soooo addictive!","I think it's great! ★ How do you put this... gap
between us? This song, on the other hand. It feels so good!!",""
"あ。だったらアタシは心白ちゃんも、
どんなパフォーマンスをするか見てみたいな♪","Ah. In that case, I want to see what kind of performance Kohaku-chan will put on too♪","Oh, then, I'd like to have a heart white one, too,
I'd like to see how they perform.Â","Ah. In that case, I want to see what kind of
performance Kohaku-chan will put on too♪",""
"ステージに立つ心白ちゃん、私も見てみたいですぅ","I want to see Kohaku-chan on stage, too","I would love to see you on stage, Shinbaku!","I want to see Kohaku-chan on stage, too",""
"えっ……。
あの……","Huh? Um..","What? .......
That ......","Huh?
Um..",""
"それじゃあさ、いっそ
雪歩ちゃんも一緒に歌っちゃえば？","Then why don't you sing with us, Yukiho-chan?","Well, then, let's just go ahead and do it.
Why don't you sing along, Snowy?","Then why don't you sing
with us, Yukiho-chan?",""
"わ、私ですかぁ～！？","M-Me?!","Wow, is it me!","M-Me?!",""
"はい、いいと思います。
私もおふたりの活躍を見てみたいです","Yes, I think it's a good idea. It would be nice to see the two of you perform well together too","Yes, I think it is good.
I too would like to see the two of you in action.","Yes, I think it's a good idea. It would be nice
to see the two of you perform well together too",""
"心白さんと雪歩さんがこの曲を歌うの、
聞いてみたいです！","I want to hear Kohaku and Yukiho sing this song!","Shinbaku and Yukiho sing this song,
I would like to hear about it!","I want to hear Kohaku
and Yukiho sing this song!",""
"……うう、大丈夫かな","...Ugh, I wonder if she'll be okay","...... ugh, I hope it's ok.","...Ugh, I wonder if she'll be okay",""
"あはっ♪　こういう個性的な楽曲は、
ギャップがある方が面白いって思うな☆","Aha♪ I think it's more fun to have a gap between unique songs like this☆","Haha ♪ These unique songs,
Don't think it's more interesting when there is a gap.","Aha♪ I think it's more fun to have a
gap between unique songs like this☆",""
"みんな、新曲のことで、
イメージを膨らませてもらったみたいだな","Everyone seems to have gotten a lot of ideas about the new song","Guys, about the new song,
Sounds like you've got an image to work with.","Everyone seems to have gotten a
lot of ideas about the new song",""
"新曲のコンセプトは、
夏らしさを感じさせる元気と明るさなんだ","The concept of the new song is cheerful and energetic, just like summer","What is the concept of the new song?
It's all about energy and brightness with a summery feel.","The concept of the new song is
cheerful and energetic, just like summer",""
"みんなが言うように、
元気な子がいてもいいし、意外な子がいてもいい","As everyone says, it's fine to have a healthy girl or an unexpected one","As everyone says,
You can have a healthy child, or an unexpected one.","As everyone says, it's fine to have
a healthy girl or an unexpected one",""
"色々な個性が混ざり合って、
この楽曲をどう表現するかが、面白さだと思うよ","I think it's interesting how many different personalities come together to form this song","A mixture of various personalities,
I think the fun is in how you describe this music.","I think it's interesting how many different personalities
come together to form this song",""
"以上を踏まえて、今回の楽曲を歌うメンバーだが……","With that in mind, the members who will be singing this song..","Based on the above, the members who will be singing this song, but ......","With that in mind, the members who will be singing this song are...",""
"雪歩、やよい、亜美、真美、美希、翼、歌織さん、
美嘉、きらり、果穂、心白の１１人だ","Yukiho, Yayoi and Ami. Mimics Miki Tsubasa Kaori-san... Mika Kirari (glare), kaboh or Kohaku! Eleven of them","Yukiho, Yayoi, Ami, Mami, Miki, Tsubasa, and Kaori,
Mika, Kirari, Kaho, and Shinbaku, eleven of them.","Yukiho, Yayoi and Ami. Mimics Miki Tsubasa Kaori-san...
Mika Kirari (glare), kaboh or Kohaku! Eleven of them","Yukiho, Yayoi, Ami, Mami, Miki, Tsubasa,
Kaori-san, Mika, Kirari, Kaho, and Kohaku"
"えへへっ、ほんとに選ばれちゃった♪
今回は、いーっぱい目立っちゃおーっと♪","Hehe, you really did choose me♪ I'm going to stand out a lot this time~","Hehehe, I really got picked!
This time, let's show off!","Hehe, you really did choose me♪ 
I'm going to stand out a lot this time~",""
"あたしも歌えるみたいですーっ！
心白さん、一緒にがんばりましょう！","I can sing too! Kohaku-san, let's do our best together","I think I can sing too!
Mr. Shinbaku, let's do our best together!","I will sing too! 
Kohaku-san, let's do our best together",""
"は……はい","Y-Yes","is ...... yes","Y-Yes",""
"やった★
雪歩ちゃんも一緒だね♪","Yay! ★ Yukiho-chan's with you, too♪","Yay★
Snowy is with you...","Yay! ★ 
Yukiho-chan's too♪",""
"う、うん……。
選ばれたからには頑張りますぅ！","Y-Yeah... I'll do my best, since you chose me!","Umm, yeah. .......
I'll do my best now that I've been selected!","Y-Yeah... 
I'll do my best, since I have been chosen!",""
"あはっ☆
みんなとライブ、楽しみなの！","Aha☆ I'm looking forward to the concert with everyone!","ahaha*
I'm looking forward to live with you guys!","Aha☆ 
I'm looking forward to the concert with everyone!",""
"それと……『サマードルフィン』に向けて、
楽曲のレッスンに関して考えがある……","Also... I have an idea about the song lessons for 'Summer Dolphin'","And for ...... ""Summer Dolphin"",
I have an idea about the music lesson: ......","Also... I have an idea about the
song lessons for 'Summer Dolphin'",""
"春香たちが中心になって、
レッスンに取り組んでほしいんだ","I want Haruka and the others to focus on their lessons","Haruka and her colleagues took the lead,
I want you to work on your lessons.","I want Haruka and the
others to help them on their lessons",""
"わ、私たち、ですか？　それは構わないんですけど、
どうしてなんでしょうか？","Wh-Who are we? I don't mind, but why would you do that..","Wow, we? That's fine,
Why is that?","Wh-Who are we? I don't mind,
but why would you do that..","W-We? I don't mind the slightest, but why?"
"春香たちの経験が、ルミナスに活かせればいいと
考えたんだ","I figured that Haruka and the others' experience would help Luminous make good use of it","I hope Haruka and her team's experience can be applied to Luminous.
I thought about it.","I figured that Haruka and the others' experience
would help Luminous make good use of it",""
"今月はフェス形式、ディアマントも出場している。
あたる可能性はあるし、できることはやっておきたい","This month's festival is a special event, and Diamant will be participating as well. I want to do what we can while it still has the chance of winning this year..","This month, the festival format and Diamant are also competing.
There's a chance we'll hit it, and we want to do what we can.","This month's festival is a special event, and Diamant will be participating as well.
I want to do what we can while it still has the chance of winning this year..","This month's event is in festival format, and Diament
is also participating. There's a chance of winning,
so we want to do everything we can to prepare."
"なるほどね。全力のルミナスを披露したいって
プロデューサーの気持ち、分かるかも★","I see. Maybe you can understand Producer's desire to show off his full power ★","I see...they want to show off their full luminous power.
I think I know how Producer feels.","I see. Maybe you can understand Producer's
desire to show off his full power ★","I see. I can understand the feeling of wanting to showcase
the full power of Luminous."
"めっちゃいいねっ！　春香ちゃんたちに
教えてもらえるの、すっごく心強いな！","It's so nice! I feel reassured that Haruka-chan and the others are teaching me this","Very nice! Haruka and her friends!
It's very reassuring to know that!","It's so nice! I feel reassured that Haruka-chan
and the others are teaching me this",""
"よし、決まりだな！　みんな、頑張って
『サマードルフィン』を目指すぞ！","All right, that settles it! Everyone'll do their best to reach Summer Dolphin","Okay, it's settled! Good luck, everyone!
Let's go for the ""Summer Dolphin""!","All right, that settles it! Everyone'll
do their best to reach Summer Dolphin",""
"さて、それじゃあ、レッスンに関しても
今後の方針を決めておこう","Now then, let's decide on our next course of action regarding the lessons","Now, then, as for the lesson.
Let's set a course of action for the future.","Now then, let's decide on our next
course of action regarding the lessons",""
"プロデューサー。
ぐるーぷに分かれて練習するのは、いかがでしょうか","Producer. Why don't we split up into groups and practice?","Producer.
How about dividing into groups and practicing in groups?","Producer. Why don't we split
up into groups and practice?",""
"なるほど……その場合は、例えば
貴音たちが、それぞれのグループで指導する形か","I see... In that case, Takane and the others will be instructing each other as a group","I see. ...... In that case, for example
You and your group will be leading your own groups.","I see... In that case, Takane and the
others will be instructing each other as a group",""
"うんうん、ナイスアイディアだよね。
自分、誰とレッスンやろうかなー？","Yeah, that's a great idea. Who should I take lessons with?","Yeah, yeah, it's a nice idea.
I wonder who I should do the lesson with?","Yeah, that's a great idea.
Who should I take lessons with?",""
"ボクはどうしよう。ダンスなら、
少しはサポートできると思うけど……","What should I do? If it's a dance, then we can provide some support..","What about me, I can dance,
I'm sure we can support you a little. ......","What should I do? If it's a dance,
then we can provide some support..",""
"んっふっふ～、亜美たちが指導を手伝うんだって。
どんなことを教えてあげようかな～？","Hehe, Ami and the others said they're going to help guide you. What should I teach them?","Hmmm...Ami and her friends are going to help teach.
What can I tell you about it?","Hehe, Ami and the others said they're going
to help guide you. What should I teach them?",""
"イタズラの方法とか……ものまねの極意とか……♪","Like how to play a prank... or the ultimate goal of imitating it~","How to play pranks and ...... the art of imitation and ......♪","Like how to play a prank... or the ultimate goal of imitating it~","Like the methods of mischief... or 
the secrets technique of impersonation... ♪"
"こら、あんたたち！
真面目にやらないとダメでしょ！？","Hey, you guys! You have to save face Makoto!!","Hey, you guys!
You have to take it seriously!","Hey, you guys! You have
to save face Makoto!!","Hey, you guys! You need to take this seriously, okay!?"
"うあうあ～、律っちゃんが怒った～！","Uwaaah, Ritsucchan's mad!","Uhhhhhhhh, Ritsu-chan got angry!","Uwaaah, Ritsucchan's mad!",""
"……グループ分けか……。
ちょうど相談したいこともあるからな……","Group assignments, huh...? I just have something to discuss with you","...... grouping or .......
I just have some things I'd like to discuss with you: ......","Group assignments, huh...? I just
have something to discuss with you",""
"春香、千早、伊織、貴音、それと律子。
奥の社長室まで来てくれ","Haruka, Chihaya. Iori and Takane... And Ritsuko! Please come to the president's office in back of here","Haruka, Chihaya, Iori, Takane, and Ritsuko.
Come to the president's office in the back.","Haruka, Chihaya. Iori and Takane... And Ritsuko!
Please come to the president's office",""
"今月末のステージには、なんとしても出場したい。
春香たちの力を貸してくれ","I want to perform on stage at the end of this month no matter what. Please lend me your strength, Haruka","I want to compete on stage at the end of this month at all costs.
Haruka and the others need your help.","I want to perform on stage at the end of this month
no matter what. Please lend me your strength, Haruka",""
"もちろんです！　私たちでよければ何でもします！","Of course! We'll do anything if you want us to","Of course! We will do anything if it's okay with us!","Of course! We'll do anything if you want us to",""
"メンバーみんなで作っていくのが、
ルミナスだと思って、少し遠慮してましたが……","“I thought Luminous would be the one to make it with all of our members, so I held back a little...”","The members all make it together,
I thought it was luminous and was a little reserved. ......","I thought Luminous would be the one to make it with
all of our members, so I held back a little...",""
"プロデューサー殿のお望みとあれば
ここからは存分に、お手伝いしますよ♪","If that's what you want, Mr. Producer... I can help out to the best of my ability! ♪","If that's what Producer wants...
We'll help you from here...to the best of our ability.","If that's what you want, Mr. Producer... 
I can help out to the best of my ability! ♪",""
"相変わらず、心強いな律子。大舞台での
フェス形式も初めてだ、タフなイベントになると思う","As always, you're reassuring Ritsuko. This is the first time we have a festival on such an important stage; I think it will be tough for us to hold one","As usual, Ritsuko, you are reassuring, on the big stage.
And this is the first time we've had a festival format, it's going to be a tough event.","As always, you're reassuring Ritsuko. This is the first time we have a
festival on such an important stage; I think it will be tough for us to hold one","As always, you're reliable, Ritsuko. It's our first time
participating in a big stage festival format,
so I think it'll be a tough event."
"にひひっ♪　そんなの余裕よ！
こんな時は、私の力がないとダメってことね","Hehe♪ That's nothing to worry about! You need my help at times like these, huh?」""","Nahihihihi♪ I can afford it!
I guess that means you're going to need my help in a situation like this.","Hehe♪ That's nothing to worry about! You
need my help at times like these, huh?」","Nihihi♪ That's so easy! At times
like this, you need my help"
