"（今日は春香の提案で、
映画を見に行くことになった……）","","(Haruka's suggestion today,
(We're going to the movies: ......)","","(Today was Haruka's suggestion, so they went to go 
see a movie...)",""
"こ、こんなに大勢の人たちがひしめき合って……。
すごい迫力ですね……","","This, such a large crowd of people crowded into .......
It's very powerful. ......","","S-so many people crowded in one place...
What an impact...",""
"うっきゃー！　やよいちゃん、すーっごくパワーが
みなぎってるにぃ！　きらりんも、頑張るよぉ～♪","","Yayoi-chan, you have so much power!
I'm so excited! I'm going to do my best, Kirari!","","Ukya! Yayoi-chan, what amazing power! 
Kirarin's gonna try her best too~♪",""
"わぁっ！　色んなものが売ってます！
スッゴくワクワクしてきましたー！","","Wow! All kinds of things are for sale!
I am so excited!","","Whoa! What a variety! 
I'm really excited!",""
"上手に買うコツとかってあるのかな？
やよいちゃん、よかったら教えて～☆","","Do you have any tips on how to buy well?
Yayoi, let me know if you want to know~☆☆☆.","","Anyone have tips for snagging deals?
Yayoi-chan, please teach me~",""
"お、お客さん……いっぱい……。
特売……早い者勝ち……て、甜花も、頑張る！","","Oh, customers ...... full of .......
Special sales...... early birds win,...... and beet flowers, too, do their best!","","S-so many... people...
Bargains... first come first served... T-Tenka will do her best!",""
"た、高槻さん……特売って、こんなにたくさんの人が
殺到するものなんですか？","","Takatsuki-san ...... special sale, so many people!
Is it something that floods in?","","T-Takatsuki-san... Are sales usually crowded
to this level?",""
"はい！　でもいつもと比べると、
今日はちょっと少ないかなーって","","Yes! But compared to usual,
I was thinking maybe a little less today.","","Yep! But compared to the usual,
today's a little less...",""
"これ以上に大勢の人が……！","","Many more than this can be found at ......!","","Even more people than this is...!",""
"すごい……熱気……
ゲームのイベントみたい……","","Awesome ...... hot ......
Looks like a game event: ......","","What a... heated atmosphere...
It's like a gaming convention...",""
"紬さんも甜花さんも、欲しいものを見つけたら
しっかり手に取って、絶対に離さないでくださいね！","","If you find what you want, both Tsumugi and Tetuka...
Take it firmly in your hand and never let it go!","","Tsumugi-san and Tenka-san, if you see anything you want,
you have to grab it firmly and never let go!",""
"う、うん……！","","Umm, yeah. ......!","","Y-Yeah...!",""
"よーしっ！　紬さん、甜花さん！
張り切っていきましょー！","","Yo, Tsumugi and Tetuka!
Let's get going!","","Alright! Tsumugi-san, Tenka-san! 
Let's get to it!",""
"ん……！
甜花……突撃……！","","N. ......!
Beet flower ...... assault ......!","","Yes...!
Tenka... moving out...!",""
"て、甜花さん、そんなに急ぐと危ないですよ……。
高槻さんまで！　お、置いていかないでください！","","Te, Beet Hana, it's dangerous to be in such a hurry. ......
Even Takatsuki-san! Oh, please don't leave me!","","T-Tenka-san, rushing like that is dangerous...
Takatsuki-san too! D-don't leave me behind!",""
"（３人とも、ともに特売を体験したことで、
より結束が深められたみたいだな！）","","(All three, having experienced the special sale together,
(Looks like we're more united!)","","(The three experienced a sale together and 
deepened their bonds!)",""
"（今日は雪歩の提案で、
本屋に行くことになった……）","","(Today, at the suggestion of a snowflake,
(I'm going to the bookstore: ......)","","(Today, by Yukiho's suggestion, 
they went to a bookstore...)",""
"色々な本があるね……。
みんなは、気になる本ってあるかな？","","You have a variety of books at .......
Do you guys have any books you are interested in?","","So many books....
Everyone, are there any books that caught your interest?",""
"ええと、『全日本不思議キャラ一覧』ですか……。
ふふっ、ちょっとだけ気になります","","Well, is it the ""List of All Japanese Wonder Characters"" .......
Hmmm... I'm just a little curious.","","Umm, ""Catalogue of Japan's Strange Characters""...
I'm a little bit curious",""
"ミキは……あ！　おにぎりの本なの！　へぇ……
ミキが知らないおにぎりがいっぱいで、面白いの♪","","Miki is ...... Oh! It's a book about onigiri! Hehe ......
There are so many onigiri that Miki doesn't know about, it's funny.Â","","Miki's... Ah! An onigiri book! Ooh...
So many variants of onigiri I never knew, how interesting!",""
"ピピッ、ウサミン星から電波を受信！　実は
ここに超有名声優アイドルのサイン本がっ……！","","Beep, I'm receiving a radio signal from the planet Usamin! Actually...
Here is a book signed by a very famous voice-over idol: ......!","","Beep, receiving message from Planet Usamin! There's actually 
an autographed book from a super famous idol here....!",""
"あれ？　このファッション雑誌、リニューアル
したんだ。ネイル特集か……いいカンジじゃん★","","Huh? This fashion magazine was renewed.
I did, I've got a nail art feature on .........looks great!","","Eh? This fashion magazine has a new issue. 
A featured article on nails... quite nice★",""
"あっ、これ……！
ゲーム雑誌の……最新刊……！","","Oh, here it is: ......!
The latest issue of the gaming magazine ...... is available at ......!","","Ah, this...!
The latest edition... of a game magazine...!",""
"ねぇ、雪歩ちゃん！　この雑誌に載ってる服、
心白ちゃんに似合うと思うんだけど、どうかな？","","Hey, Snowy! The clothes in this magazine,
I think it would look good on Shinbaku.","","Hey, Yukiho-chan! I think the clothes on this magazine, 
really suit Kohaku-chan. What do you think?",""
"あ、本当だ。心白ちゃんの雰囲気に合っていて、
よく似合うと思うよ","","Oh, it's true, it fits with the atmosphere of Shinbaku-chan,
I think they look good together.","","Oh, wow. It matches Kohaku's aura.
It'll definitely suit her.",""
"私に、ですか？　ありがとうございます。
あ、このページの服、雪歩さんにピッタリですよ♪","","To me? Thank you very much.
Oh, the clothes on this page are perfect for you, Snowy!","","Mine, you say? Thank you. 
Ah, the clothes on this page fit Yukiho-san to a T♪",""
"ええっ！　そ、そんなことないと思うけど……
えへへ、似合う、かな？","","Eek! Well, I don't think so. ......
Ehehe, does it look good on me?","","Eeh?! I-I don't think so, but....
Ehehe, does it really?",""
"アタシもバッチリだと思うよ！　ねぇ、せっかく
だから、この後、みんなで服も見に行かない？","","I think it's perfect too!
So, why don't we all go look at clothes too, after this?","","I think it matches perfectly! Hey, while we're at it, 
Why don't we go look at clothes together after this?",""
"あ、いいかも……。
心白ちゃんはどう？","","Oh, that could be good. ......
How about you, Shinbaku?","","Ah, good idea...
Kohaku-chan, how about you?",""
"はい。せっかくの機会ですし、
ご一緒させていただきます！","","Yes, it's a great opportunity,
We will be happy to join you!","","Sure. It's a special occasion,
so let me tag along!",""
"それじゃ、行こっか。
美嘉ちゃんと心白ちゃんと一緒なんて、すごく楽しみ","","Let's go, then.
I'm so excited to be with Mika and Shinbaku!","","Well then, let's go!
I'm looking forward to going with Mika-chan and Kohaku-chan",""
"そうだ！　どうせなら、雪歩ちゃんにバッチリ似合う
新しいコーデも探してみよっか？","","That's right! If you're going to go for it, it would look perfect on Yukiho.
Shall we look for a new coordinator too?","","Oh, right! While we're at it, why don't we put
together an ensemble for Yukiho-chan?",""
"え、い、いいの……？
あの、それじゃ、お願いしますぅ～","","What, no, no... ......?
Well, then, please...","","Eh, i-is that alright....?
Um, in that case, please do~",""
"私も手伝います。ふたりで雪歩さんの新しい魅力を
引き出しましょう♪","","I'll help you, too, and we'll both help you find new charms for Yukiho-san.
Let's bring it out.Â","","I'll help too. Let's draw out a new facet of Yukiho's charm together♪","I'll help too. Let's draw out a new
facet of Yukiho's charm together♪"
"（その後、買い物を楽しんだ３人。
充実したオフを過ごしたようでなによりだ！）","","(The three of us then enjoyed shopping.
Glad to see you had a good time off!)","","(After that, the 3 enjoyed shopping together. They seemed 
to have had a good off-day!)",""
"（今日は真の提案で、
体を動かすことになった……）","","(Today with a true proposal,
(......) that got the body moving.","","(Today, by Makoto's suggestion,
they went exercising...)",""
"……準備運動終わりっと！　よーし、それじゃ
何から始めようか？　二人の意見を聞いてもいい？","","...... Preparation is over! All right, then!
Where do we start? Can I ask you both for your input?","","...And that's it for warm-up! Alright, 
where are we gonna start? You two got any ideas?",""
"ホットヨガなんてどうかしら？
スーパーセレブな伊織ちゃんに相応しいと思わない？","","How about hot yoga?
Don't you think it's appropriate for super-celebrity Iori?","","How about hot yoga?
Fits a super celebrity like Iori-chan, right?",""
"亜美、持ち上げるやつやってみたい！
んっふっふ～。目指せ、ムキムキレディだね♪","","Ami, I want to try the lifting thing!
Aim for the muscular lady....","","Ami wants to do the lifty thing! 
Nfufu~ I'm gonna become a swole lady♪",""
"不朽なる肉体を求める遥かなる旅路……
我は、ヘラクレスの試練へと挑まん！","","A far journey in search of an immortal body: ......
I challenge you to the trials of Hercules!","","The long journey to an immortal body awaits...
come! I shall take on Heracles' ordeals!",""
"（筋トレしたら、体力つくかな……）","","(I wonder if muscle training would help me get stronger. ......)","","(I wonder if muscle training will increase my stamina...)",""
"そうだねー。まずは軽く汗を流して……
それから、ピラティスとかヨガをやるのはどう？","","Yes - first a light sweatshirt and then ......
And what about doing pilates or yoga?","","Let's see... First let's get a bit of sweat going....
Then, how about pilates or yoga after?",""
"真さん！　走るのはどうですかっ？　ランニング
マシンなら、みなさん好きなペースで走れます！","","True! How about running? Running
With the machine, everyone can run at any pace they like!","","Makoto-san! How about running? If it's the treadmill, 
everyone can go at their preferred pace!",""
"そうね、ホットヨガなんてどうかしら？
アイドルは、内側からもキレイになるべきだわ","","Well, how about hot yoga?
Idols should be beautiful from the inside out.","","How about hot yoga?
An idol's beauty should start from within",""
"いいね！　伊織はヨガ、詳しいの？
ボク、あまりやったことなくて……","","Great! Iori is a yoga expert?
I've never done much ......","","Nice idea! Is Iori familiar with yoga?
I haven't really touched it before...",""
"フム……、
太古より伝承されし輪廻へ至る儀式、か……","","Hm. ......,
A ritual leading to reincarnation, handed down from time immemorial, or ......","","Hmm...
The ritual of samsara hailing from ancient tradition, huh...",""
"（私もヨガ、やってみたいです！）","","（I'd like to try yoga, too!)","","(I'd like to do some yoga too!)",""
"このスーパーセレブ伊織ちゃんに任せなさい！
それじゃ、さっそく始めましょう","","Leave it to this super celebrity Iori!
Well, then, let's get started.","","Just leave it to this super celebrity Iori-chan!
Let's get started immediately",""
"よしっ、バリバリ気合入ってきた！
二人とも、よろしくね！","","Okay, I'm getting into the spirit of the ballyhoo!
Nice to meet you both!","","Alright, I'm getting pumped! 
Come on, you two!",""
"いざ、儀式の始まり……。
同胞よ、心するがよい！","","Now the ritual begins. ......
Take heart, my fellow countrymen!","","The ritual begins...
My comrades, steel your hearts!",""
"（伊織ちゃん、真さん
よろしくお願いしますー！）","","(Iori, true)
(Best regards!!!!)","","(Let's do this, Iori-chan, Makoto-san!)","(Let's do this, Iori-chan,
Makoto-san!)"
"いやぁ、いい汗かいたよ！
それに、なんだかすごく体が軽いや！","","Well, I worked up a good sweat!
Besides, I feel very light!","","I really worked up a nice sweat! 
On top of that, my body feels really light!",""
"我が翼が重力の楔から解き放たれる……
ククク、今なら天高く神々の庭まで手が届きそうね！","","My wings are released from the wedge of gravity: ......
Kukuku, now I can reach the garden of the gods high in the sky!","","My wings have been freed from the chains of gravity...
Kukuku, now I can truly reach the heavens!",""
"（心も体も軽くなって、
すごくリフレッシュできましたー）","","(I feel lighter in mind and body,
It was very refreshing.)","","(My body and heart feel light, 
what a refreshing feeling)",""
"そうね、今度は別の子も誘いましょうか。
杏とか、いいんじゃないかしら？　にひひっ♪","","Yes, let's invite another girl this time.
Maybe an apricot would be a good choice.","","Right, let's invite some others next time. 
How about someone like Anzu? Nihihi♪",""
"（ヨガに挑戦した３人。
心身ともに充実したオフになったようだ！）","","(The three of us tried yoga.
(Sounds like you had a great off day, both physically and mentally!)","","(The three tried yoga.
An off-day that truly rested their bodies and souls!)",""
"（今日は真美の提案で、
肝試しツアーをすることになった……）","","(Mami's suggestion today,
(We're going to do a liver tour: ......)","","(Today, by Ami's suggestion,
They went on a test of courage...)",""
"んっふっふ～。『恐怖病院肝試しツアー』
はっじめるよー！　いざ、出発進行～♪","","The ""Fear Hospital Liver Test Tour
Let's get started! Let's get going!","","N-Fu-Fu~ Time to start the ""Scary Hospital Test of Courage Tour""!
Come, let's get going~♪",""
"こ、怖いよう……ひゃっ！？
い、今、首に何かが落ちて……も、もう嫌ですぅ～","","This is scary. ......Hyah!
I hate it when something falls on my neck and ...... now~!","","S-so scared.... Hya!? 
S-something just fell on my neck... N-no more~",""
"幽霊なんて、迷信よ。
ほら、真美、はやく行きましょ……！","","Ghosts are a superstition.
Come on, Mami, let's get going. ......","","Ghosts are just superstitions. 
Hey, Ami, hurry up and get moving...!",""
"ユーレイなんているわけないって！
って、あれ？　真美ちゃん、ど、どこ行ったの？","","There is no such thing as a Yurei!
What do you mean? Mami, where did you go?","","No way ghosts exist!
...Huh? Ami-chan, wh-where'd you go?",""
"幽霊かー。も、もし遭遇しちゃったら……。
絶対写真撮って、出版社に売りつけよう！","","Ghosts...but if you run into one, please contact .......
Definitely take pictures and sell them to the publishers!","","Ghosts, eh. I-if we really saw one....
We can take pictures and sell them to a publisher!",""
"出発進行！　です！
真美さんっ！　どんどん行きましょう！","","Let's go!
Mami! Let's keep going!","","Let's get going!
Ami-san! Let's keep up the pace!",""
"（みんな、オフを楽しく過ごしたようだな。
これでさらに団結力が養われたはずだ！）","","(Looks like everyone had a good time off.
(This should have fostered even more unity!)","","(Looks like everyone had a good time off.
Now we'll be able to unite even more!)",""
"果穂ちゃんは、
こういうホラー系って怖くないの？","","Kaho is,
Aren't these horror stories scary?","","Kaho-chan,
Are you not scared of these horror-style stuff?",""
"はい！　真美さんと美嘉さんと一緒で楽しいですっ！
美嘉さんは苦手なんですか？","","Yes! I'm having fun with Mami and Mika!
Are you not good at Mika?","","Yep! It's fun being with Ami-san and Mika-san!
Does Mika-san not like these things?",""
"アタシは普通かなー。それより、さっきから
真美ちゃんが妙に静かなのが気になるんだけど……","","I think I'm normal.
I'm not sure why Mami is being so strangely quiet: ......","","I'm kinda neutral on these. By the way, Ami's been really quiet
for the past few minutes...",""
"あれ……？　真美さーん！　どこですかーっ！
……うーん、どこに行っちゃったんでしょうか？","","Oh, ......? Mami, where are you?
...... Hmmm, where did it go?","","Huh....? Ami-saaan! Where are you?! 
....Hmmm, where could she have gone?",""
"……ふーん、なるほどね。ねぇ、果穂ちゃん。
逆にアタシらで、真美ちゃんを驚かせない？","","...... Hmmm, I see...hey, Kaho.
On the contrary, why don't we surprise Mami?","","....Oooh, I get it. Hey, Kaho-chan. 
How about we scare Ami-chan instead?",""
"……？　逆に……ですか……？","","Is it ......? On the contrary, is it ...... or ......?","","....? ""instead""...?",""
"真美ちゃん、アタシたちを驚かそうとしてる。
ほら、あっち見て","","Mami, you are trying to surprise us.
Here, look over there.","","Ami-chan is about to try and scare us. 
Look over there. ",""
"……あっ、ほんとですっ","","...... Oh, really!","","....Ah, she really is.",""
"だから逆に、ね♪","","So, on the contrary,Â","","So we will do it instead, get it?♪",""
"はいっ","","hello (on phone, replying to ""moshimoshi"")","","Okay!",""
"う～ら～め～し～や～！
う～ら～め～し～や～！！","","I~ra~me~ya~!
I~ra~me~ya~!","","I~ cUr~se~yOUuu~!
I~ cUr~se~yOUuu~!!",""
"……ってアリ？　なんで反応がないの？
……ねぇねぇ、みかぴょん、果穂ちん、大丈夫？","","Is ...... ants? Why no response?
...... Hey, hey, hey, Mika-pin, Kaho-chan, are you okay?","","....Wait huh? Why is there no response? 
....Hey hey, Mikapyon, Kaho-chin, ya'll okay?",""
"う～ら～め～し～や～！","","I~ra~me~ya~!","","I~ cUr~se~yOUuu~!",""
"うあうあ～っ！？　……はぁ……はぁ。
き、急に脅かすなんてひどいよ～！！","","Uhhhhhhh!!! ...... haha ...... haha.
Ki, it's terrible that you suddenly threatened me~!","","Uaaaauaaa~!? .....
S-scaring me like that is so cruel~!!",""
