"Original Text","Initial","Machine translation","Better translation","Best translation"
"このゲームはオートセーブ機能に対応しています。
オートセーブ中には、このアイコンが表示されますので
アプリケーションを終了させたり、本体の電源を切らないでください。","This game supports autosaving.
Please do not turn off the system or quit the application when this icon is displayed.","","This game supports autosaving. Please
do not turn off the system or quit the
application when this icon is displayed.",""
"同意しない","Decline","","",""
"同意する","Agree","","",""
"OK","","OK","",""
"閉じる","Close","","",""
"戻る","Back","","",""
"次へ","Next","","",""
"ズームイン","Zoom In","","",""
"ズームアウト","Zoom Out","","",""
"モデル上下移動","Move Model Up/Down","","",""
"モデル回転","Rotate Model","","",""
"カメラアングル移動","Move Camera","","",""
"カメラ初期化","Reset Camera","","",""
"カメラモード終了","Stop Camera Mode","","",""
"メニュー","Menu","","",""
"ログ選択","Log Select","","",""
"ボイス再生","Play Voice","","",""
"スキップ","Skip","","",""
"早送り","Fast Forward","","",""
"衣装飾りの表示切替","Toggle Ornaments","","",""
"アイドルユニットグレード","Idol Unit Grade","","",""
"称号変更","Title Change","","",""
"PARAM","","PARAM","",""
"SE再生","Sound Effects","","",""
"衣装設定","Set Outfits","","",""
"決定した
ステージの情報","Stage Info","","Stage
Info",""
"SCHEDULE","","SCHEDULE","",""
"TOPICS","","TOPICS","",""
"EVENT","","EVENT","",""
"C","","C","",""
"ALENDAR","","ALENDAR","",""
"{0}月活動予定","Schedule-{0}th Month ","","",""
"Sun","","Sun","",""
"Mon","","Mon","",""
"Tue","","Tue","",""
"Wed","","Wed","",""
"Thu","","Thu","",""
"Fri","","Fri","",""
"Sat","","Sat","",""
"CLEAR DATA","","CLEAR DATA","",""
"個別エンディング選択から再開する","Resume from Ending Selection","","",""
"クリアデータの引き継ぎプレイをする","Transfer Cleared Data","","",""
"コミュリスト","Commu List","","",""
"プレゼントリスト","Gift List","","",""
"クロスボード","Crossboard","","",""
"時期開放","Open Time","","",""
"LUMINOUS","","LUMINOUS","",""
"CROSS","","CROSS","",""
"親愛度","Bond","","",""
"ミッションクリア報酬","Mission Clear Reward","","",""
"コミュ全体進捗","Progress","","",""
"達成進捗","Achievement Progress","Progress","",""
" <mis_def> {0}月から開放</>","<mis_def>Unlocks on the {0}th month</>","","",""
"STARLIT DOME 完成予想図","STARLIT DOME Rendering","","",""
"開催","Date","","",""
"スターリットシーズンに関して","Reagarding Starlit Season","","",""
"スターリットシーズン最終イベントに関して","Regarding Starlit Season's Final Event","","",""
"{0}月開催","{0}Month","","",""
"『スターリットシーズン』の5つのステージ","Five Stages of ""Starlit Season""","","",""
"クリスタルウィンター","Crystal Winter","","",""
"サマードルフィン","Summer Dolphin","","",""
"スプリングナイト","Spring Night","","",""
"ハロウィンオータム","Halloween Autumn","","",""
"最終選考会","Final Audition","","",""
"イベント開催会場","Event Venue","","",""
"最終イベント","Final Event","","",""
"スターリットシーズン最終イベントについて","About Starlit Season's Final Event","","",""
"プロジェクトルミナス 月間目標","Project Luminous Monthly Goal","","",""
"月末ステージ","Monthly Stage","","",""
"今月の目標とするファン人数は…","Our target number of fans for this month is...","","",""
"人以上","fans","","",""
"選考ステージ","Selection Stage","","",""
"大会指定","SLS","","",""
"P指定","Orders","","",""
"締切（選考会出場）","Sel. Deadline","","",""
"締切（月末ステージ）","Monthly Deadline","","",""
"予測獲得ファン人数","Expected Fan Count","","",""
"月次：目標ファン人数","Monthly: Fan Goal","","",""
"週末ステージ","Weekend Stage","","",""
"スキップする","Skip","","",""
"コミュ終了","End Communication","","",""
"バックログを見る","View Backlog","","",""
"Perfect!!","","Perfect!!","",""
"Good!","","Good!","",""
"Normal","","Normal","",""
"Bad…","","Bad…","",""
"Extreme Clear!!","","Extreme Clear!!","",""
"Clear!","","Clear!","",""
"Failed","","Failed","",""
"Worst Failed…","","Worst Failed…","",""
"OMMU","","OMMU","",""
"STORY","","STORY","",""
"タッチ","Touch","","",""
"を押す","Press","","",""
"連打","Bombard","","",""
"を連打する","Repeatedly","","",""
"長押し","Long Press","","",""
"を長く押す","Press for a long time","","",""
"撫でる","Caress","","",""
"を移動","Move","","",""
"企画提案書
LUMINOUS TV番組出演依頼","Plan Proposal
LUMINOUS TV Appearance Request","","",""
"アイドルドキュメンタリー","Idol Documentary","","",""
"情熱！アイドル列伝！","Passion! Idol Biographies!","","",""
"新アイドル発見！アイドル㊙密着取材","Discover a new idol! Idol ㊙ Close Contact Coverage","","",""
"アイドルの日々を自分たちで取材＆撮影","Interviewing and Capturing the Daily Life of Idols On Our Own","","",""
"番組のハイライトは……","The highlight
of the show is......","","",""
"アイドル専門の歌番組","A concert dedicated to idols","","",""
"HELLO☆アイドルフューチャー","HELLO ☆ Future Idols","","",""
"出演オーディションへの挑戦","Trying out for an audition","","",""
"オーディション挑戦の全てを自分たちで取材＆撮影","Covering and Capturing the Audition Challenges on Our Own","","",""
"歌番組への出演挑戦","Singing Performance
Challenge","","",""
"２つの番組がリンクしたドキュメンタリー企画
宣伝効果も抜群！","A documentary project linking two programs.
Great publicity!","","",""
"団結コミュ","Unity COMMU","","",""
"参加者の選択","Participant Selection","","",""
"参加者候補","Invite","","",""
"提案者の選択","Suggestions","","",""
"{0}の提案","{0}'s","","",""
"推薦
理由","BIO","","",""
"推薦者","Referrer","","",""
"推薦代理者","Ext. Referrer","","",""
"スペシャルユニット選出資料①
メンバー候補推奨プロフィール","Special Unit Selection Document ①
Profiles of Recommended Candidates","","",""
"スペシャルユニット選出資料②
メンバー候補推奨プロフィール","Special Unit Selection Document ②
Profiles of Recommended Candidates","","",""
"スペシャルユニット選出資料③
メンバー候補推奨プロフィール","Special Unit Selection Document ③
Profiles of Recommended Candidates","","",""
"OPEN BONUS","","OPEN BONUS","",""
"BINGO BONUS","","BINGO BONUS","",""
"open","","Open","",""
"{0}個","{0}","","",""
"COMPLETE","","COMPLETE","",""
"BINGO!!","","BINGO!!","",""
"OPEN!!","","OPEN!!","",""
"登場アイドル","Featured Idols","","",""
"現在レベル / 開放条件","Level/Required","","",""
"メインストーリーの進行で開放","Unlock by progressing through the main story","","",""
"まだ観ていません","Has not been unlocked","","",""
"隣接するマスの開放で条件を表示","Open neighboring tiles to show conditions","","",""
"line","","Line","",""
"コミュ開放状況","COMMU Opened","","",""
"受取済","Received","","",""
"CHECK!","","CHECK!","",""
"ORDER CLEAR!!","","ORDER CLEAR!!","",""
"ORDER FAILED...","","ORDER FAILED...","",""
"ORDER!","","ORDER!","",""
"PRODUCER TASK","","PRODUCER TASK","",""
"PRODUCER TASK CLEAR!!","","PRODUCER TASK CLEAR!!","",""
"PRODUCER TASK FAILED...","","PRODUCER TASK FAILED...","",""
"PRODUCER TASK!","","PRODUCER TASK!","",""
"D","","D","",""
"AY","","AY","",""
"R","","R","",""
"ESULT","","ESULT","",""
"Good Night","","Good Night","",""
"SHOPPING","","SHOPPING","",""
"COOKING","","COOKING","",""
"CAKE SPONGE STAFF","SPONGE CAKE GROUP","","",""
"CREAM STAFF","CREAM GROUP","","",""
"FRUITS STAFF","FRUITS GROUP","","",""
"TOPPING STAFF","TOPPINGS GROUP","","",""
"SPONGE & CREAM STAFF","SPONGE & CREAM GROUP","","",""
"DECORATION STAFF","DECORATION GROUP","","",""
"第{0}話","Episode {0}","","",""
"ステージ参加アイドル","Participating Idols on Stage","","",""
"北東ブロック１","Northern Block 1","","",""
"北東ブロック２","Northern Block 2","","",""
"中央ブロック１","Central Block 1","","",""
"中央ブロック２","Central Block 2","","",""
"南ブロック１","Southern Block 1","","",""
"南ブロック２","Southern Block 2","","",""
"西ブロック１","Western Block 1","","",""
"西ブロック２","Western Block 2","","",""
"上方ブロック１","Kansai Block 1","","",""
"上方ブロック２","Kansai Block 2","","",""
"首都ブロック１","Capital Block 1","","",""
"首都ブロック２","Capital Block 2","","",""
"1stアイドル固定","Fixed Center Idol","","",""
"メンバー制限","Restricted Members","","",""
"都道府県選択","Select Prefecture","","",""
"エリア選択","Select Area","","",""
"ランキング","Ranking","","",""
"CLEAR","","CLEAR","",""
"STAGE","","STAGE","",""
"FINAL","","FINAL","",""
"AREA","","AREA","",""
"END","","END","",""
"ブロック１","Block 1","","",""
"ブロック２","Block 2","","",""
"ユニゾンアピール
ブースト","Unison Appeal
Boost","","",""
"ポジション：1st","Fixed Center","","",""
"Vo.","","Vo.","",""
"Da.","","Da.","",""
"Vi.","","Vi.","",""
"GRADE 1","","GRADE 1","",""
"GRADE 2","","GRADE 2","",""
"GRADE 3","","GRADE 3","",""
"翌日から編成可能","Can be organized the next day","","",""
"翌日から可能","Available on the next day","","",""
"・レッスン","・Lesson","","",""
"・営業","・Work","","",""
"・ステージ","・Stage","","",""
"・レッスン
・営業","・Lesson
・Work","","",""
"・レッスン
・ステージ","・Lesson
・Stage","","",""
"・営業
・ステージ","・Work
・Stage","","",""
"・レッスン
・営業
・ステージ","・Lesson
・Work
・Stage","","",""
"アイドルの活動設定","Idol Activity Settings","","",""
"UNIT EDIT","EDIT UNIT","","",""
"ユニットの編成","Organize Unit","","",""
"IDOL MANAGE","MANAGE IDOLS","","",""
"アイドルの情報確認","Review Idol Info","","",""
"COMMU","","COMMU","",""
"コミュの情報確認","Review COMMU","","",""
"MAIL","","MAIL","",""
"メールの確認","Review Messages","","",""
"MY NOTE","MY NOTES","","",""
"プロデューサーの情報確認","Review Producer Info","","",""
"今月の情報確認","Review This Month's Info","","",""
"DLCストーリーへ","Start DLC Story","","",""
"日本全国凱旋ステージへ","Perform on stages in Japan","","",""
"フリータイムの選択へ","Go to Free Time Selection","","",""
"LESSON","","LESSON","",""
"WORK","","WORK","",""
"GROUP WORK","","GROUP WORK","",""
"SPECIAL STAGE","","SPECIAL STAGE","",""
"SKILL BOARD","","SKILL BOARD","",""
"PROFILE","","PROFILE","",""
"STATUS LIST","","STATUS LIST","",""
"CONNECTION","CONNECTIONS","","",""
"ITEM LIST","","ITEM LIST","",""
"TUTORIAL","","TUTORIAL","",""
"CUSTOM","CUSTOMIZE","","",""
"本日の活動","Today's Activities","","",""
"目標ファン人数まで","Fan Goal Remaining","","",""
"人","人","","",""
"歌唱メンバー 活動日","Singers Activity Day","","",""
"オールメンバー 活動日","Members Activity Day","","",""
"クリスタルウィンターに備えよう！","Prepare for Crystal Winter!","","",""
"設定中","SET","","",""
"選択不可","Unavailable","","",""
"未開放","X","","",""
"外す","Remove","","",""
"未習得","Unacquired","","",""
"累計ファン人数","Total Fans","","",""
"次のアイドルユニットグレードまで","Fans Until Next Grade:","","",""
"万","","Man","",""
"IDOL UNIT GRADE","","IDOL UNIT GRADE","",""
"個数決定","Quantity Determination","","",""
"使用する","Use","","",""
"思い出","Memories","","",""
"スキルポイント","Skill Points","","",""
"パラメータ上限","Param. MAX","","",""
"年齢","AGE","","",""
"誕生日","BDAY","","",""
"血液型","BT","","",""
"身長","HGHT","","",""
"体重","WGHT","","",""
"BWH","BWH","","",""
"出身地","Origin","","",""
"趣味","Interests","","",""
"衣装着せ替え","Change Outfit","","",""
"歌唱楽曲","Songs","","",""
"ユニゾンアピール","Unison Appeal","","",""
"団結P","UnityP","","",""
"スキルリスト","Skill List","","",""
"Ex","","Ex","",""
"Po","","Po","",""
"Te","","Te","",""
"SKILL","","SKILL","",""
"習得数","Number of skills","","",""
"EXP","","EXP","",""
"これ以上は使用できません","Cannot be used","","",""
"使用可能アイテム未所持","None available","","",""
"使用数","#","","",""
"マニー不足","Low Money","","",""
"BEGINNER","BEGINNER","","",""
"EXPERT","EXPERT","","",""
"MASTER","MASTER","","",""
"REGULAR","STANDARD","","",""
"ルール説明","Rules","","",""
"消費","Cost","","",""
"レッスン効果","Lesson Effect","","",""
"AUTO","","AUTO","",""
"ライブ","Live","","",""
"フェス","Festival","","",""
"オーディション","Audition","","",""
"メドレー{0}","Medley {0}","","",""
"{0}トライアル","{0} Trial","","",""
"13人ライブ","13 Member Live","","",""
"CATALOG","","CATALOG","",""
"VOL.","","VOL.","",""
"購入済","Purchased","","",""
"体験版購入不可","Trial version not available for purchase","","",""
"PAGE","","PAGE","",""
"JPY","","JPY","",""
"通常版","Standard Edition","","",""
"デジタルデラックスエディション","Digital Deluxe Edition","","",""
"スクリーンショット","Screenshot","","",""
"セット","Set","","",""
"アイテム","Item","","",""
"その他","Other","","",""
"その他 2","Other 2","","",""
"その他 3","Other 3","","",""
"本日、このアイテムの使用はできません","This item is currently unavailable for use.","","",""
"行動回数","ACT. Left:","","",""
"行動回数制限なし","Unlimited actions","","",""
"ルミナス","Luminous","","",""
"ディアマント","Diamant","","",""
"関係者","Staff","","",""
"施設","Facility","","",""
"A few days later","","A few days later","",""
"BAD","","BAD","",""
"PERFECT","","PERFECT","",""
"GOOD","","GOOD","",""
"笑顔で！","Smile!","","",""
"せつなく！","Frown!","","",""
"遅い！","Too slow!","","",""
"以外で！"," ","","",""
"銃でバーン！","Pistol Pose!","","",""
"投げキッス！","Blow a kiss!","","",""
"下向いて！","Look down!","","",""
"左向いて！","Turn left!","","",""
"右向いて！","Turn right!","","",""
"上向いて！","Look up!","","",""
"続けて！","Keep going!","","",""
"何してんの？","What are you doing?","","",""
"ダメね！","No!","","",""
"笑顔","Anything but smiling!","","",""
"下","Look anywhere but down!","","",""
"左","Face anywhere but left!","","",""
"右","Face anywhere but right!","","",""
"可愛く","Anything but a cute wink!","","",""
"不敵","Anything but a bold smile!","","",""
"上","Look anywhere but up!","","",""
"いいね！","That's great!","","",""
"最高よ！","You're the best!","","",""
"ステキ！","Superb!","","",""
"飛び跳ねて！","Jump!","","",""
"可愛く！","Cute wink!","","",""
"不敵に！","Bold smile!","","",""
"違う、そうじゃない","No, that seems wrong.","","",""
"いいわ、その調子！","That's good, keep it up!","","",""
"それでは、レッスンスタート！","Alright, let's start the lesson!","","",""
"BREATH","BREATH","","",""
"POSE","POSE","","",""
"FACE","FACE","","",""
"残り","Remain","","",""
"組","Groups","","",""
"STAGE 1","STAGE 1","","",""
"STAGE 2","STAGE 2","","",""
"STAGE 3","STAGE 3","","",""
"SOLO","SOLO","","",""
"DUO","DUO","","",""
"TRIO","TRIO","","",""
"QUARTET","QUARTET","","",""
"QUINTET","QUINTET","","",""
"SONG SETTING","","SONG SETTING","",""
"IDOL","","IDOL","",""
"作詞","Lyrics","","",""
"作曲","COMP.","","",""
"ここで、アピール音の変更ができるわよ","You can change the appeal sound effects.","","",""
"ステージのアピール音を変更できます","You can change the appeal sound effects on stage.","","",""
"詳細","Details","","",""
"拡大","Expand","","",""
"レッスン場の模様替えができますよ！","You can redecorate the lesson room!","","",""
"Ｐちゃん、ポスターの変更ができるよ！","You can change the poster on the wall, P-chan!","","",""
"WALL PAPER","WALLPAPER","","",""
"T-SHIRT","","T-SHIRT","",""
"POSTER","","POSTER","",""
"APPEAL SE","","APPEAL SE","",""
"TALK WINDOW","TEXT WINDOW","","",""
"レッスン時のTシャツが変えられるで","You can change T-shirts worn during lessons.","","",""
"レッスン時のTシャツを変更できます","You can change the T-shirt used during lessons.","","",""
"会話ウィンドウのデザインを変更できる","You can change the appearance of the dialogue window.","","",""
"P STATUS","","P STATUS","",""
"P SKILL","P-SKILL","","",""
"RECORD","","RECORD","",""
"STYLE SELECT","","STYLE SELECT","",""
"名前入力","Name Entry","","",""
"決定して次へ","Continue","","",""
"プロデューサー名を入力してください","Please enter a producer name","","",""
"ユニット名を入力してください","Please enter a unit name","","",""
"選択肢切替（左）","Switch Options (Left)","","",""
"選択肢切替（右）","Switch Options (Right)","","",""
"選択肢（左）","Choices (Left)","","",""
"ウィンドウ","Windowed","","",""
"フルスクリーン","Fullscreen","","",""
"仮想フルスクリーン","Borderless Fullscreen","","",""
"可変","Variable","","",""
"低","Low","","",""
"中","Medium","","",""
"高","High","","",""
"レイトレース","Raytraced","","",""
"OFF","OFF","","",""
"ON","ON","","",""
"近","Near","","",""
"遠","Far","","",""
"DirectX11","DirectX 11","","",""
"DirectX12","DirectX 12","","",""
"画面解像度","Screen Resolution","","",""
"スクリーンモード","Screen Mode","","",""
"最大フレームレート","Max Framerate","","",""
"アンチエイリアス品質","Anti-Aliasing Quality","","",""
"内部解像度","Supersampling (%)","","",""
"シャドウ品質","Shadow Quality","","",""
"垂直同期(VSync)","Vertical Sync (VSync)","","",""
"被写界深度品質","Depth of Field Quality","","",""
"LOD距離","LOD Distance","","",""
"リフレクション","Reflections","","",""
"DirectXバージョン","DirectX Version","","",""
"決定","Select","","",""
"キャンセル","Cancel","","",""
"カーソル移動（上）","Cursor Navigation (Up)","","",""
"カーソル移動（下）","Cursor Navigation (Down)","","",""
"カーソル移動（左）","Cursor Navigation (Left)","","",""
"カーソル移動（右）","Cursor Navigation (Right)","","",""
"タブ切替（左）","Switch Tabs (Left)","","",""
"タブ切替（右）","Switch Tabs (Right)","","",""
"カメラ移動/モデル移動","Camera/Model Movement","","",""
"システムメニューを開く","System Menu","","",""
"アイテム/ステージスタート","Item/Stage Start","","",""
"メニューを開く","Open Menu","","",""
"台詞送り","Dialogue Feed","","",""
"選択肢（上）","Choices (Above)","","",""
"選択肢（下）","Choices (Below)","","",""
"UI非表示","Hide UI","","",""
"↑","↑","","",""
"→","→","","",""
"←","←","","",""
"↓","↓","","",""
"決めポーズ１","Pose 1","","",""
"決めポーズ２","Pose 2","","",""
"決めポーズ３","Pose 3","","",""
"決めポーズ４","Pose 4","","",""
"表情指示１","Expression 1","","",""
"表情指示２","Expression 2","","",""
"表情指示３","Expression 3","","",""
"表情指示４","Expression 4","","",""
"ポーズ指示１","Pose instruction 1","","",""
"ポーズ指示２","Pose instruction 2","","",""
"ポーズ指示３","Pose instruction 3","","",""
"ポーズ指示４","Pose instruction 4","","",""
"特別な演技指示１","Special acting instructions 1","","",""
"特別な演技指示２","Special acting instructions 2","","",""
"発声１","Vocalization 1","","",""
"発声２","Vocalization 2","","",""
"発声３","Vocalization 3","","",""
"発声４","Vocalization 4","","",""
"ブレス１","Breath 1","","",""
"ブレス２","Breath 2","","",""
"音階変化 上","Scale Up","","",""
"音階変化 下","Scale Down","","",""
"1st（5人編成時）","1st (When using Quintet)","","",""
"2nd（5人編成時）","2nd (When using Quintet)","","",""
"3rd（5人編成時）","3rd (When using Quintet)","","",""
"4th（5人編成時）","4th (When using Quintet)","","",""
"5th（5人編成時）","5th (When using Quintet)","","",""
"ユニゾンアピール使用アイドル変更→","Change idol for Unison Appeal→","","",""
"ユニゾンアピール使用アイドル変更←","Change idol for Unison Appeal←","","",""
"ユニゾンチャージ","Unison Charge","","",""
"クライマックスアピール","Climax Appeal","","",""
"思い出アピール","Memory Appeal","","",""
"ユニゾンチャージを減らす","Reduce Unison Charge","","",""
"ターゲット切替↑/カーソル移動↑","Target Switch ↑/Move Cursor ↑","","",""
"ターゲット切替↓/カーソル移動↓","Target Switch ↓/Move Cursor ↓","","",""
"ターゲット切替←/カーソル移動←","Target Switch ←/Move Cursor ←","","",""
"ターゲット切替→/カーソル移動→","Target Switch →/Move Cursor →","","",""
"位置リセット","Reset Position","","",""
"ロール/ズームリセット","Reset Roll/Zoom","","",""
"フォトモード終了ダイアログ","Exit Photo Mode","","",""
"高解像度モード","High Resolution Mode","","",""
"カメラ操作切替/タブ切替（左）","Camera Operation/Tab Switching (Left)","","",""
"効果・フレーム切替/初期値に戻す","Switch Frame or Effect/Reset Settings","","",""
"設定メニュー呼び出し/閉じる","Open/Close Settings","","",""
"ガイドON/OFF/決定","Enable/Disable Guide","","",""
"カメラモード切替/閉じる","Switch Camera Mode/Close","","",""
"カメラ切替↑（UP CAM/CAM1)","Camera switch↑（UP CAM/CAM1)","","",""
"カメラ切替↓（LONG CAM/CAM4)","Camera switch↓（LONG CAM/CAM4)","","",""
"カメラ切替←（MID CAM/CAM2)","Camera switch←（MID CAM/CAM2)","","",""
"カメラ切替→（AUTO CAM/CAM3)","Camera switch→（AUTO CAM/CAM3)","","",""
"1stアイドル注目（5人編成時）","1st Idol Spotlight","","",""
"2ndアイドル注目（5人編成時）","2nd Idol Spotlight","","",""
"3rdアイドル注目（5人編成時）","3rd Idol Spotlight","","",""
"4thアイドル注目（5人編成時）","4th Idol Spotlight","","",""
"5thアイドル注目（5人編成時）","5th Idol Spotlight","","",""
"予約（カメラ切替時アイドル注目）/解除","Enable/Disable Camera Controls","","",""
"アングル↑","Angle ↑","","",""
"アングル↓","Angle ↓","","",""
"アングル←","Angle ←","","",""
"アングル→","Angle →","","",""
"フォトモード","Photo Mode","","",""
"PAUSE","Pause","","",""
"カメラモード切替","Switch Camera Mode","","",""
"ユニゾンアピール使用アイドル変更","Switch Idol for Unison Appeal","","",""
"（ホールド）CUSTOM　SETTING1","(Hold) CUSTOM SETTING 1","","",""
"（ホールド）CUSTOM　SETTING2","(Hold) CUSTOM SETTING 2","","",""
"CUSTOM発動1（SETTING1 SET1）","","CUSTOM activated 1 (STTTING1 SET1)","",""
"CUSTOM発動2（SETTING1 SET2）","","Cast CUSTOM 2 (STTTING 1 SET2)","",""
"CUSTOM発動3（SETTING1 SET3）","","CUSTOM Activated 3 (STTTING1 SET3)","",""
"CUSTOM発動4（SETTING1 SET4）","","CUSTOM Activated 4 (STTTING1 SET4)","",""
"CUSTOM発動5（SETTING2 SET5）","","CUSTOM activated 5 (STTTING2 SET5)","",""
"CUSTOM発動6（SETTING2 SET6）","","CUSTOM activated 6 (STTTING2 SET6)","",""
"CUSTOM発動7（SETTING2 SET7）","","CUSTOM activated 7 (STTTING2 SET7)","",""
"CUSTOM発動8（SETTING2 SET8）","","CUSTOM activated 8 (STTTING2 SET8)","",""
"画面の解像度を設定します。","Changes the screen resolution.","","",""
"画面をフルスクリーンにするかウインドウにするかを設定します。","Changes the display mode.","","",""
"1秒間に絵を描画する際の最大回数を設定します。","Limits the maximum framerate.","","",""
"アンチエイリアスの品質を設定します。","Changes the anti-aliasing quality.","","",""
"内部解像度を設定します。","Changes the internal resolution to be higher for better anti-aliasing.","","",""
"影の品質を設定します。","Changes the shadow quality.","","",""
"垂直同期(VSync)の有効無効を設定します。","Changes whether Vertical Sync (VSync) is enabled or not.","","",""
"被写界深度の品質を設定します。","Changes Depth of Field quality.","","",""
"LevelOfDetailがかかる距離を設定します。","Changes the distance Level of Detail models will be applied.","","",""
"映り込みの品質を設定します。","Changes reflection quality.","","",""
"使用するDirectXのバージョンを設定します。","Changes the DirectX version to be used.","","",""
"COMMON","COMMON","","",""
"S4U","S4U","","",""
"PHOTO","PHOTO","","",""
"Vo.
LESSON","Voice
LESSONS","","",""
"Da.
LESSON","Dance
LESSONS","","",""
"Vi.
LESSON","Acting
LESSONS","","",""
"音に合わせて{0}を押してください。
10回入力後に設定が設定されます。","Press {0} in rhythm with the sound.
The timings will be adjusted after 10 inputs.","","",""
"回","x","","",""
"現在の値でタイミングが調整されています。","The timing is adjusted using the current value.","","",""
"左右の入力で変更もできます。","You can also adjust it by moving it left or right.","","",""
"初期化","Reset","","",""
"終了","Close","","",""
"試聴","Test","","",""
"削除","Delete","","",""
"{0}人","{0} idol(s)","","",""
"ファン人数指標","Fan Population Index","","",""
"残り必要ファン人数","Fans Left","","",""
"期間","From","","",""
"週末ステージ１","Weekend Stage 1","","",""
"週末ステージ２","Weekend Stage 2","","",""
"週末ステージ３","Weekend Stage 3","","",""
"週末ステージ４","Weekend Stage 4","","",""
"平日ステージ","Weekday Stage","","",""
"月間条件２","Monthly Condition 2","","",""
"ステージ選考","Stage Selection","","",""
"開催日","Date","","",""
"参加人数","Members","","",""
"課題曲","Song","","",""
"自由選択","Free Select","Free choice","",""
"合宿後に改めて検討予定","Schedule will resume after training camp","","",""
"参加ステージ","","Entering stage","",""
"最終ステージ","Final Stage","","",""
"獲得ファン人数","Fans Acquired","","",""
"月間条件１","Monthly Condition 1","","",""
"新規獲得","New Fan Acquisition","","",""
"進捗","Progress","","",""
"O","","O","",""
"RDER","","RDER","",""
"{0}月選考条件","{0} Month Selection Conditions","","",""
"楽曲の音量を調整します。","Adjusts BGM volume.","","",""
"ボイスの音量を調整します。","Adjusts character voice volume.","","",""
"SEの音量を調整します。","Adjusts Sound Effect volume.","","",""
"ステージ中のボーカルの音量を調整します。","Adjusts the volume of the vocals during the stage.","","",""
"歓声の音量を調整します。","Adjusts audience volume.","","",""
"サラウンド音響効果を設定します。お使いの機器によっては最適なバランスになります。","Sets the surround sound effect. Depending on your equipment, this may be the optimal balance.","","",""
"振動機能の設定を行います。","Set the vibration function.","","",""
"アンコールや「S4U!」のステージでの楽曲タイトルの表示を設定します。","Sets the display of the song title for encore and ""S4U!"" stages.","","",""
"アンコールや「S4U!」のステージでの歌詞の表示を設定します。","Sets the display of lyrics for encore and ""S4U!"" stages.","","",""
"アンコールや「S4U!」のステージ開始時のカメラを設定します。","Set the camera for encore and the start of the ""S4U!"" stage.","","",""
"アンコールや「S4U!」のステージ開始時の選択アイドルを設定します。","Set the idol to be selected when the encore or ""S4U!"" stage starts.","","",""
"コミュのスキップを行う際に確認を行います。","Confirmation is given when skipping a comm.","","",""
"リハーサル（手動設定）","Timing Calibration","","",""
"現在の設定","Current Setting","","",""
"ステージ終了後にアンコールを行うか設定します。","Sets whether encores are done after stages.","","",""
"プロデューサー名の変更を行います。","Change the Producer's name.","","",""
"ボイス設定","Voice Test","","",""
"リバーブ効果の強さを変更します。 ※ライブシーンのみに影響します","Changes the intensity of reverb effects. ※ Only affects Live segments.","","",""
