"（仕事終わり、未来にルミナスについて
聞いてみることにした……）","","(After work, about luminous in the future)
(I decided to ask: ......)","","(After work, I decided to ask
Luminous about the future...)"
"ええ！？　今からですか？　行って戻って……？
走ればギリギリ……行けるかも！？","","Yeah!!! Now? Go and come back to ......?
If I run, I might just barely make it to ......!","","Huh?! You're going to do it now, right...
If I run, just barely... maybe!?"
"え、いやいや、冗談だよ！　次の仕事に
間に合わなくなるから、別のことをしようか","","Eh, no, no, no, I'm just kidding! On to the next job.
We won't make it in time, so let's do something else.","","Huh? No, no. I'm just kidding! We won't be able to make it in
time for the next job so let me do something else instead..."
"はい……。急にいつもと違うことをしようとしても、
なかなかうまくいかないですね～","","Yes ....... Even if you suddenly try to do something different,
It's not going so well!","","Yes... Even if I try to do something different all of a sudden,
it doesn't seem like things are going well for me."
"あの、プロデューサーさん、もし良かったら、
次のお仕事まで、一緒にお喋りしませんか？","","Um, producer, if you don't mind,
Come chat with us until your next job!","","Um, Mr. producer? Would you like to chat with
me until our next job's done for the day?"
"うん、今日はここまで、よく頑張ったな。うっかりも
してしまったけど、次は気をつければいいよ","","Yeah, you've done a great job so far today, even inadvertently.
I did, but you'll just have to be careful next time.","","Yeah, you've done well to make it this far today. I may have made
a careless mistake on your part... but next time be careful!"
"はい！　あの、プロデューサーさん、お仕事までまだ
時間がありますし、すこしお喋りしませんか？","","Yes! Um, Mr. Producer, I'm still waiting for you to work.
We have some time, so why don't we have a little chat?","","Yes! Um, Mr. producer? There's still some time
before we have to go back and talk a little bit more..."
"ああ、かまわないぞ","","Yeah, I don't mind.","","Yeah, I don't mind."
"やったー！　プロデューサーさんとお話しするの、
楽しいから好きなんですよ～♪","","Yay! I'm going to talk to Producer,
I like it because it's fun~♪","","Yay! I like talking to the
producer because it's fun~"
"次のお仕事の話とか、メンバーのみんなのこととか、
いっぱい聞かせてください！","","We talked about your next job and all the members,
Let me hear a lot about it!","","Please tell me about your next
job, and all of the members!"
"（頑張りがちょっと空回りしてしまったけど、
すぐに元気を取り戻したな……よかった）","","(Though my efforts came up a bit empty,
You're feeling better soon. ...... Good for you.)","","(Her efforts went to waste, but she recovered
quickly... Thank goodness.)"
"（未来と一緒に、事務所の備品買い出しを終えた
帰り道……）","","(I finished shopping for supplies for the office with Mirai.
(The way home: ......)","","(I'm on my way home from shopping
for equipment together with Mirai...)"
"プロデューサーさん、見てください！　あのお店、
かわいい小物がたくさん並んでますよっ！","","Producer, look at that store!
There are a lot of cute accessories in the shop!","","Look at that store! It's got
lots of cute trinkets on display."
"わぁ～、かわいいポーチ！　あ、ペンケースもある！
学校のペンケース、新しくしたいな～","","Wow, cute pouches! Oh, there's also a pen case!
I want a new pen case for school!","","Wow, that's a cute little pouch! Oh yeah. There are also pencil cases here too...
I want a new pen case at school."
"……って、色々あるから、つい寄り道を
しちゃいそうになりますね。楽しいです！","","There are so many things to do at ......, I just had to stop by.
It's fun!","","...Ah, there's so much going on that I
almost end up taking a detour. This is fun!"
"そうだな。音無さんに頼まれてた買い物は
終わったし、少しくらいなら大丈夫だぞ","","Yes, I did the shopping that Mr. Otonashi asked me to do.
It's done, and you'll be fine for a little while.","","Yeah. I'm done with the shopping Otonashi-san asked me to do, so it should
be fine if we just have a little bit of free time now and then!"
"ホントですか？　やったー！
私、あっちのお店も気になってたんですよ～","","Really? Yay!
I was wondering about that store over there too!","","Really? Yay!
I've been wondering about that shop over there, too~"
"かわいいアクセサリーがたくさん並んでて、
髪留めをちょっと見てみたいなーって♪","","There were so many cute accessories on display,
I just wanted to take a look at the hair clips...","","There's a lot of cute accessories lined up on
display. I want to see your hair clip for myself! ♪"
"よし、せっかくだから見ていこう","","Okay, now that we're here, let's take a look.","","All right, let's take a look."
"はい！　わぁ、かわいい髪留めがたくさん……！
ピンクの水玉だ。あ、黄色いシュシュもある","","Yes! Wow, lots of cute hairpins at ......!
Pink polka dots...oh, and a yellow chou chou.","","Yes! Wow, there's so many cute hair clips...
It's a pink polka dot. Oh, and some yellow scrunchies too!"
"赤いリボンの髪留めも……ううーん、全部かわいくて
選びきれないよ～……。あ、そうだ！","","The red ribbon hair clip is also ...... hmmm, everything is so cute!
I can't pick and choose - ....... Oh, yes!","","And the red ribbon hair clip... Hmm, they're all
so cute that I can barely pick them out. Oh yeah!"
"私に似合うのってどれだと思いますか？
プロデューサーさんの意見がほしいです！","","Which one do you think suits me best?
I would like Producer's opinion!","","Which one do you think would look good on me?
I want Producer's opinion!"
"未来に似合いそうな髪留めか……
そうだな……","","A hair clip that would look good in the future or ......","","A hair clip that would look good on the future, huh...
Yeah, you're right"
"ピンクの髪留め","","Pink hair clips","","Pink hair clip."
"黄色のシュシュ","","Yellow Chou Chou","","Yellow scrunchie"
"どれも似合う","","They all look good on you.","","They all look good on you."
"俺には難しい","","It's hard for me.","","It's hard for me."
"未来にはピンクの髪留めが似合いそうだな","","I think the future would look good with a pink hair clip.","","I think a pink hair clip would look good in the future."
"わあ、私もこれが一番かわいいって思ってたんです！
でも似てるの持ってるかもって悩んでて……","","Wow, I thought this was the cutest thing I've ever seen!
But I was wondering if you might have something similar. ......","","Wow, I thought this was the cutest one!
But I was worried that she might have something similar..."
"だから、プロデューサーさんがこれを選んでくれて
嬉しいです！　特別な髪留めになります","","So Producer chose this one for me.
I'm so glad, it will be a very special hair clip!","","So I'm glad Producer chose this!
It will be a special hair clip."
"……どうですか、これ！　似合いますか？
でへへ♪　買っちゃおうかな～","","...... What do you think of this! Does it suit you?
I think I'm going to buy one.","","...What do you think of this!? Does it look good on me, or...
Heheh! ♪ Maybe I'll buy it."
"そうだなあ、この黄色のシュシュとかどうだ？","","Well, how about this yellow chou chou?","","How about this yellow scrunchie?"
"このシュシュ、かわいいですよね！
選んでくれて、ありがとうございます！","","This chou chou is cute, isn't it?
Thank you for choosing us!","","These shoes are cute, aren't they?
Thank you for choosing me!"
"あ、でもやっぱり、こっちのピンクの髪留めも
気になるな～……。どうしよう～","","Oh, but I knew I'd like this pink hair clip, too.
I'm curious............what should I do?","","Ah, but I'm still worried about this
pink hair clip... What should we do?"
"どれも似合うと思うぞ","","I think they all look good on you.","","I think they all look good on you."
"ええ、それだとよけい、迷っちゃいますよ～。
こっちのピンクのもいいし、黄色のも……！","","Yes, that makes me even more confused!
The pink one over here is good, and the yellow one is ......!","","Yes, that would make it even more difficult to decide.
This pink one's good, and this yellow...!"
"どっちにしようかな～、う～ん……！","","Which one should I choose...hmmm.........","","Which one should I choose? Hmm...!"
"すまん。俺には分からないから、
自分で選んでくれ","","Sorry, I just don't get it,
Take your pick.","","Sorry. I don't know what to do, so
you can choose on your own now..."
"あう……そうですか。
プロデューサーさんに選んでもらいたかったな～","","Au...... I see.
I wish Producer had chosen me!","","Oh... I see.
I wish Producer would've chosen me."
"でも、自分で使う物ですもんね。
分かりました、自分で選びます！","","But it's something you use yourself, right?
Okay, I will choose it myself!","","But it's something you use yourself.
Understood. I'll choose for myself!"
"……決めました！
これにします、絶対かわいいです！","","I decided on ......!
I'll take this one, it's absolutely adorable!","","...I've made up my mind!
I'll take this one. It looks absolutely adorable!"
"プロデューサーさん、選ぶのに付き合ってくれて
ありがとうございます！","","Thank you, producer, for helping me choose.
Thank you very much!","","Thank you so much for
helping me choose, Producer-san!"
"ああ、役に立てたのなら良かったよ。
レジに行くなら、ここで待ってて大丈夫か？","","Oh, I'm glad I could help.
If you want to go to the cash register, are you sure you want to wait here?","","Yeah, I'm glad we were able to help.
If you're going to the register, can I wait here?"
"はい！　えーっと……お財布はっと……。
ん、あれ……？　お金が足りない……","","Yes! Let's see, ...... wallet is more like .......
Hmm, is that ......? Not enough money ......","","Okay! Let's see... My wallet.
Hm, huh...? I don't have enough money."
"そうだ……！　今月のお小遣い、
ピンチだったんだ……！","","Yes, ......! This month's allowance,
I was in a pinch. ......","","That's right...! I was in a tight
spot with this month's allowance."
"うぅ……我慢しなくちゃ……。
せっかくかわいいの、見つけたけど……うぅ","","Ugh ...... I have to be patient .......
I found a cute one, but ...... ugh!","","Ugh... I have to hold back.
I finally found something cute, but... Ugh."
"（未来が選んだアクセサリー……
値段的にはそこまで高くないな……よし）","","(Accessories chosen by the future: ......
Not that expensive in terms of price. ...... Okay.)","","(An accessory chosen by the future...)
It's not that expensive... Okay.)"
"未来、俺が買ってプレゼントするよ。
買い物の手伝いのお礼と思ってくれ","","Future, I'll buy it for you and give it to you.
Consider it a thank you for helping me shop.","","I'll buy you a present in the future.
Think of it as a thank you for your help with the shopping."
"え！？　い、いいんですか！？","","Is it OK?","","Huh?! A-Are you sure about this..."
"お、３つでセット価格になってるな。
じゃあさっき悩んでたのも、一緒に買おうか","","Oh, it's a set price for three.
Then let's buy the one you were struggling with earlier together.","","Oh, that's a set price of three.
Then let's buy the one you were worried about earlier together."
"えっ！？　そ、そんなにいいんですか！？
わぁっ……嬉しいです～！","","Is it really that good?
Wow ...... I'm so glad!","","Huh?! I-Is it really that good of a deal for you to come over here and help me out with something like this...
Wow... I'm so happy!"
"プロデューサーさん、ありがとうございました！
あの、この髪留め……事務所に置いてもいいですか？","","Thank you, producer!
Um, can I leave this hair clip ...... in your office?","","Thank you so much, producer!
Um, can I put this hair clip in the office?"
"かわいいから、お仕事の前に眺めたりして、
パワーをもらいたいんです！","","It's cute and I look at it before work,
I want to be empowered!","","It's cute, so I want to look at
it before work and get some power!"
"ああ、構わないぞ","","Yeah, no problem.","","Yeah, I don't mind."
"やったー！
えへへ……プロデューサーさん、大切にしますね♪","","Yay!
Ehehe ...... producer, I'll take good care of you... ♪","","Yay!
Hehe... I'll take good care of you, Mr. Producer! ♪"
"（あそこにいるのは……未来だな。今はレッスンの
時間のはずだけど、休憩中なのかな？）","","(That's ...... future over there, now for the lesson.
(I know it's supposed to be time, but are they taking a break?)","","(That's... the future. It should be time
for lessons, but is she taking a break?)"
"未来、お疲れ様","","Good job, future.","","Good work, Mirai."
"あ、プロデューサーさん、お疲れさまです！
ちょうど良かった！　お話したいことがあるんです！","","Oh, thank you, Mr. Producer!
Just in time! I have something I want to tell you!","","Hey, Mr. Producer!
Perfect timing! There's something I want to talk about with you."
"ん？　どうしたんだ？","","Hmm? What's going on?","","Hm? What's wrong, ?"
"あのですね、ルミナスがすっごーーく楽しいんです！
みんなキラキラしてて、個性的で！","","You know, Luminous is so much fun!
Everyone is sparkling and unique!","","You know, Luminous is super fun!
They're all sparkly and unique!"
"そんなみんなの歌やダンスを近くで見られて、
サイコーに幸せです！　今、一番幸せかも？","","I could see everyone singing and dancing like that up close,
I'm so happy! I think I'm the happiest I've ever been.","","I'm so happy to see everyone singing and dancing up
close! This might be the happiest moment of my life."
"今が一番……？","","Now is the best time to ......?","","This is the best time...?"
"（もしかして、現状で満足してしまっているのか？
それが、未来の成長を邪魔しているんじゃ……）","","(Perhaps you have become complacent with the status quo?
That's what's holding back future growth (......).","","(Could it be that she's satisfied with the current situation?
(Isn't that interfering with the future growth?)"
"はい！　だから、ルミナスに誘ってもらえたこと、
ありがとうございますって、言いたくて……","","Yes! So, to have been invited to Luminous,
I just wanted to say thank you. ......","","Yes! That's why I wanted to thank you for inviting me,
Luminous. So that we could say something like this..."
"ああ……。俺の方こそ、頑張ってくれている未来に
お礼を言いたいな。ありがとう、未来","","Oh ....... I'm the one who's doing the best I can for the future.
I just want to say thank you, thank you, future.","","Yeah... I'd like to thank the future
for all your hard work. Thank you, Mirai!"
"でへへ～♪　改まってお礼を言われるのって、
なんだか照れちゃいますね","","Dehehe~♪ To be thanked in a formal way,
It's kind of embarrassing.","","Deheh~ It's kind of
embarrassing to be thanked so formally."
"そうだな、俺も嬉しいけど……少し、照れるよ。
ところで未来、レッスンの休憩中か？","","Yeah, I'm happy for you too, but ...... a little, I'm a little embarrassed.
By the way, Future, are you taking a break from your lessons?","","Yeah, I'm happy too... but it makes me a little embarrassed.
By the way, Mirai. Are you taking a break from your lessons?"
"レッスンの途中なんですけど、忘れ物を取りに来て
……あ！　あの、もうひとついいですか？","","I'm in the middle of a lesson. I came to pick up something I forgot.
...... Oh! Um, can I have one more thing?","","I'm in the middle of a lesson, but you forgot something.
...Ah! Umm... Can we do one more thing?"
"かまわないよ","","I don't care.","","I don't mind."
"さっき静香ちゃんと翼と３人で、
ダンスのレッスンをしてたんですけど……","","Earlier, Shizuka, Tsubasa and I were together,
I was taking dance lessons. ......","","Shizuka-chan, Tsubasa and I were
having dance lessons earlier..."
"ちょっと合ってない気がして。でも誰もミス
してないし、なんでだろうって話してたら……","","It just didn't seem right, but no one made a mistake.
I didn't, and when I was talking about why, I went to ......","","I feel like it's not quite right. But no one made
any mistakes, and when we were talking about why..."
"ふたりから、私がどこかちょっと違う気がするって、
言われたんです","","They both told me that they felt I was somehow a little different,
I was told.","","The two of them told me that something about you felt a little
different from how I normally am, so it's not really my place to say this now.」"
"でも、それがなにか分からなくて……。
プロデューサーさん、どう思いますか？","","But I don't know what that is. ......
What do you think, producers?","","But I didn't know what it was...
What do you think, producer?"
"ううーん、それだけだとなんとも言えないな。
翼や静香は、他になにか言ってなかったか？","","Hmmm, it's hard to say with all that.
Did Tsubasa or Shizuka say anything else?","","Hmm, I can't say for sure with just that.
Did Tsubasa or Shizuka say anything else?"
"えーと、確か……ダンスは正しいけど、なにかが
足りない気がするって。もっとできるはずだって","","Well, as I recall, the ...... dance is correct, but something is
He said he felt like he wasn't doing enough, that he could do more.","","Um, I think... she said that the dance was right but there's something missing.
She says we should be able to do more things with her than this"
"私、いつも通り、一生懸命やってたつもりなんです。
だからよく分からなくなっちゃって……","","I, as usual, thought I was doing my best.
So I'm not sure. ......","","I've been trying my best, just like always.
So I don't really know anymore..."
"正しいけど、足りない……もっとできるはず、か。
必要なのはもしかすると……","","Correct, but not enough ...... should be able to do more, huh?
Maybe what you need is ......","","She's right, but not enough... I should be able to do more.
What we need is..."
"輝き","","brilliance","","Radiance"
"気持ち","","sensation","","Feelings"
"レッスン","","Lesson","","Lessons"
"輝き、かな。
あ、未来が輝いてないって話じゃないぞ？","","Brilliance, I guess.
Oh, I'm not talking about the future not shining, okay?","","Glowing, I guess.
I-I'm not talking about a bright future, okay?"
"ただ、期待があるんだと思う。
未来はもっと輝けるはずだっていう……","","But I think there is an expectation.
That the future can be brighter. ......","","But I think there's hope.
That the future should shine brighter..."
"輝き、ですか？　うーん、輝き……。あっ！
もしかしてそれって、前に話してくれたあれですか？","","Brilliance, is it? Hmmm, brilliance ....... Oh!
Perhaps that is that thing you told me about before?","","Glowing? Hmm, shining... Ah!
Is that the thing you told me about before?"
"ひとりひとりがもっと輝けば、
ルミナスはもっともっと光り輝くっていうお話です","","If each one of us shines brighter,
I'm talking about Luminous shining brighter and brighter.","","It's a story about how if each one of them shined more,
Luminous would glow even brighter than the last time they met."
"そうだ、よく覚えていたな！","","Yes, you remembered it well!","","That's right, you remembered!"
"でへへ～♪　もちろん、覚えてますよー！","","Dehehe~♪ Of course, I remember!","","Heheh~ Of course I remember!"
"えっと、つまり……ふたりが想像しているよりも、
私が輝いてないってこと……ですか？","","Let's see, I mean ...... more than you two can imagine,
You mean I'm not shining ......?","","Um, in other words... I don't shine
as brightly than you two think?"
"気持ちだ！
未来の気持ちの話をしているんだと思う","","Feelings!
I think we're talking about future feelings.","","Feelings!
I think we're talking about the future here."
"気持ち？　ハート、心……？
心がこもってないぞー！　ってことですか？","","Feelings? Heart, Heart, Heart ......?
You mean you don't have a heart!","","Feelings? Heart, heart...
So you're saying it doesn't have a heart?"
"そうだな……前へ進み、もっと輝くためには、
未来の気持ちがもう少し必要なんだと思う","","Yes. ...... to move forward and shine more brightly,
I think we need a little more feeling for the future.","","Yeah. I think we need a little more time in the future to move forward and shine
even brighter than before, don't you? That sort of thing is necessary for us all"
"輝くため、ですか……？","","To shine, is it ......?","","To shine...?"
"レッスンかもな。
倍に増やして、どんどんレッスンするぞ！","","Maybe it's a lesson.
I'm going to double it and give you more and more lessons!","","Maybe it's a lesson.
I'll double it, and give you more lessons!"
"はい、頑張ります！　私、必要なら、
ずーっと踊り続けてみせます！","","Yes, I'll do my best! Me, if I have to,
I will keep dancing all the time!","","Okay, I'll do my best! If you need
me to dance for a long time..."
"ほ、本当にやりそうだな。まあ倍は冗談だとして、
レッスンに対する心構えなんじゃないか？","","I'm really going to do it...well, double as a joke,
I think it's the mindset you have about the lesson, isn't it?","","Y-You really seem like you'd do it. Well, I guess that makes twice as
much of a joke... Maybe she just wants to prepare herself for lessons?"
"ひいてはアイドルに対する心構え……。
最終的には未来の輝きの話になってくる気がするんだ","","By extension, the attitude toward idols. ......
I have a feeling we're ultimately talking about the brilliance of the future.","","And then there's her attitude toward the idol...
In the end, I feel like we're going to talk about future brilliance."
"輝きの話、ですか……？","","Talk about brilliance, or is it ......?","","The story of Glow...?"
"そうだな……アイドルが輝く理由はそれぞれだけど、
たとえばその理由のひとつに、『夢』がある","","Yes, ...... idols shine for different reasons,
One of the reasons for this, for example, is ""dreams.","","Let's see... Each idol has their own reasons
for shining, but one of them is 『Dreams.』."
"夢……","","Dream ......","","A dream..."
"夢に向かって、努力して進んでいくアイドルの姿は、
本当にキラキラと輝いている","","The idols who work hard and move forward toward their dreams are,
It really sparkles and shines.","","The sight of an idol working hard
towards her dream is truly sparkling."
"その輝いている姿を、ファンは応援したくなる。
あくまでたとえ話だけど、ここまではわかるか？","","Fans want to support that shining figure.
I'm only speaking metaphorically, but do you see what I'm getting at here?","","The fans want to cheer her on as she shines.
It's just a metaphor, but do you understand so far?"
"えーっと、アイドルには、ファンが応援したくなる
ような、輝きが必要だってことですよね","","Let's see, idols have fans who want to support them.
I think it means that you need to have a sparkle, like","","Let's see, I guess being an idol means you
need a sparkle that fans want to cheer for."
"でも……輝くには輝くなりの、理由がある……って
ことですか？","","But there's a reason why ...... shines so brightly. ......
Is that a thing?","","But... there's a good reason
for it to shine, right?"
"ああ、そうだ。ここからが一番大切な話だ。
未来は、もっと輝きたいだろ？","","Ah yes, here's the most important part of the story.
The future's about to get a whole lot brighter, isn't it?","","Yeah, that's right. This is where the most important part starts...
You want to shine brighter in the future, don't you?"
