"にへへ……
甜花、お昼寝……好き……","","2hehehe ......
Beet Hana, napping ...... likes ......","","Heheh...
Tenka... I love naps.",""
"確かに、昼寝をすることで、
集中力や学習能力が上がるとも言われているね","","Certainly, by taking a nap,
I've heard it's said to improve concentration and learning ability.","","It's true that taking a nap can improve
your ability to concentrate and learn.",""
"ミキ、難しいことはよくわかんないけど、
咲耶が言うなら、きっとそうなんだね","","Miki, I don't know how hard it is,
If Sakuya says so, it must be true.","","Miki, I don't really get complicated
stuff like that. But if Sakuya says so...",""
"それじゃあ、ミキはさっそくお昼寝しに、
ソファに行くの。……あふぅ","","Well then, Miki is going to take a nap right away,
I'm going to the couch. ...... ahhh","","Well then, Miki's going to go take a
nap on the sofa right away. ...Afuu~",""
"あれ……？
ソファって確か……","","Is that ......?
I'm pretty sure the sofa is ......","","Huh...?
The sofa...",""
"あーっ！　杏が窓側のソファで寝てるの！","","Aah! Anzu is sleeping on the sofa by the window!","","Ahh! Anzu's sleeping on the sofa by my window.",""
"おや、先客がいたようだね。なるほど、
杏はすでに実践中、と……","","Oh, I see you had a visitor before me,
Anne is already practicing, and ......","","Oh, it looks like someone's already here. I see... Anzu
is in the middle of putting this idea into practice now?",""
"む～。こっちのソファ、ぽかぽかして寝心地が
いいから、ミキのお気に入りだったのに……","","This sofa is so warm and comfortable to sleep on.
Come on, it was Miki's favorite. ......","","Mmm. This sofa is nice and warm,
so it was Miki's favorite...",""
"ほ、星井さん……ど、どんまい……","","Ho, Mr. Hoshii ...... Do, Don't ......","","Hoshii... D-Don't worry about it.",""
"今日のところは、
もう片方のソファで寝るしかないかな？","","Today,
I guess I'll just have to sleep on the other couch.","","I guess we'll just have to sleep
on the other sofa for today.",""
"仕方ないから、そうするの。
ふぁぁ……ふたりとも、お休みなさい……なの……","","I have no choice, so I do.
Huh...... you both have a good night......","","It can't be helped, so I do it.
*yawn*... Good night, you two.",""
"は、早い……
もう、寝ちゃった……","","is an early ......
I've already gone to bed: ......","","Th-That was fast...
She's already asleep...",""
"杏といい、美希といい、とてもいい寝顔だ……。
見ていると、心が穏やかになるね","","Anzu and Miki have very nice sleeping faces. ......
It's so peaceful to watch.","","Anzu and Miki, you have such a nice sleeping face....
Seeing you like this really calms me down.",""
"ふわぁ……て、甜花も……
なんだか……眠く、なっちゃった……","","Wow ...... and the beetroot flower is also ......
I'm feeling ...... sleepy. ......","","*Yawn*... T-Tenka, too.
I'm... kind of sleepy now.",""
"いいんじゃないかな？　うららかな午後のひと時、
皆で休息を取るのも悪くないと思うよ","","Isn't it nice? A moment on an enviable afternoon,
I don't think it's a bad idea for all of us to take a break.","","I think it's a good idea. It might not be so bad to have
some rest together in the bright afternoon, after all...",""
"あれ？　声が聞こえなくなったと思ったら、
みんな、眠っているのか……","","Huh? I thought I lost the voice,
Are you all asleep? ......","","Huh? I thought you couldn't hear
me, but now everyone is asleep...",""
"風邪をひかないように、毛布を掛けて……と。
みんな、毎日アイドル活動、お疲れ様","","To avoid catching a cold, you can put a blanket on and go to .......
Thanks for your hard work, everyone, for being an idol every day!","","I covered her with a blanket so she wouldn't catch cold...
Everyone, good work with your idol activities every day.",""
"ふわぁ……。
俺も一休みするかな……","","Wow. .......
Maybe I'll take a break too: ......","","*Yawn*...
Maybe I should take a break, too...",""
"（ん？　あそこにいるのは真と貴音と甘奈か。
なにやら事務所内を見ているようだが……）","","(Hmm? Is that Makoto, Takane and Amana over there?
(I think I'm looking at something in my office. ......)","","(Hm? Oh, it's Makoto and Takane over there.
It seems like he's looking around the office for some reason...)",""
"３人で事務所を見て回ってるのか？","","The three of you are making the rounds of the office?","","Are the three of you going around looking at offices?",""
"あ、プロデューサー！　そうなんですよ。
新しい事務所だから、なんだかワクワクしちゃって","","Oh, producer! Yes, that's right.
It's a new office, so I'm kind of excited.","","Oh, Producer! That's right.
It's my new office, so I was kind of excited.",""
"それで、貴音と甘奈と一緒に、
いろいろ見て回っているところなんです","","So, with Takane and Amana,
I'm just looking around at things.","","So, Takane and Amana are
going around looking for clues.",""
"そうだったのか。
貴音はここについて、どう思った？","","I didn't know that.
What did you think about this place, Takane?","","So that's how it is.
What do you think about this place, Takane?",""
"この事務所、ですか？
そうですね……","","This office, is it?","","This office?
You're right...",""
"ルミナスは大所帯ゆえ、このような広い場所を
お借りしていると聞きました","","Luminous is a large place.
I hear you are borrowing.","","I've heard that Luminous rents such
a large place because of its size.",""
"ああ、さすがに７６５プロの方だと、
みんなで活動するには狭いからな……","","Oh, you are indeed a 765 Pro,
It's too small for everyone to work together. ......","","Yeah, 765 Pro aren't big
enough to work with all of us...",""
"はい。
ですが、皆がいる温かみがある場所でした","","
But it was a warm and welcoming place where everyone","","Yes.
But it was a warm place for everyone.",""
"こちらも、
そのような場所になるといいですね","","Also here,
I hope it becomes such a place.","","It would be nice if this place
became like that, too.",""
"ああ、そうなるといいな","","Yeah, I hope so.","","Yeah, I hope so.",""
"ねぇ、甘奈のところの事務所はどんな感じなの？
うちは、とにかく荷物が多くってさ","","Hey, what is the office like at Amana's place?
We have a lot of luggage.","","Hey, what's the situation at your firm like?
Anyway, we've got a lot of luggage here.",""
"めっちゃ落ち着く素敵な事務所だよ～","","It's a very relaxing and nice office!","","It's such a nice, relaxing office!",""
"けど、荷物が多いのは一緒かな。
どうしても増えちゃうよね～","","But I guess it's the same with a lot of luggage.
I can't help it.","","But I guess we have a lot of luggage with us.
There'll be more of them no matter what.",""
"そうだよね。
うーん、やっぱりどこも同じかぁ……","","That's right.
Hmmm, I guess it's all the same. ......","","That's right.
Hmm, I guess it's the same everywhere...",""
"でも、事務所に集まる『人』は違うから
荷物はけっこう変わっちゃうよね","","But the 'people' who gather at the office are different.
Luggage changes a lot, doesn't it?","","But 『Hito』 gathering at the office is
different, so it's a bit of an overhaul.",""
"言われてみればそうかも。新しい事務所も、
これからどんどん変わっていくのかな","","If you ask me, maybe so...and a new office,
I wonder if things are going to change more and more.","","Now that you mention it, I guess so. Maybe the new
office is going to keep changing from here on out?",""
"そうだね。だけど、ルミナスのみんなが
楽しく過ごせるなら、いいんじゃないかな？","","Yes, but everyone in Luminous
If you can have a good time, why not?","","That's true. But if everyone in Luminous
is having fun, that should be fine right?",""
"ええ。皆と新たに過ごすことで思い出が積み重なり、
必ずや大切な居場所になるかと","","Yes, memories accumulate as we spend time with everyone anew,
I'm sure it will become a very important place for you.","","Yes. By spending time with you all, I'm sure that your memories will pile
up and make it a precious place for everyone to stay together again...",""
"ああ！　みんなでこの事務所を、
居心地のいい場所にしていこう","","Ah! We all have this office,
Let's make it a comfortable place.","","Yeah! Let's all make this
office a cozy place.",""
"ガタッ","","clatter","","*clatter*",""
"な、なに？　何の音？","","What? What is that noise?","","Wh-What? What's that sound!",""
"急に物音がしたみたいだけど。
も、もしかして、オバケだったり……？","","It sounds like there was a sudden noise.
Maybe it was an obake or ......?","","It sounded like there was a sudden noise.
D-Don't tell me it was a ghost...?",""
"や、やだなぁ、甘奈。
お、オバケなんか、いるわけないじゃないか！","","Oh, no, Amana.
Oh, there is no such thing as an obake, is there?","","N-No way, Amana.
Th-There's no such thing as a ghost!",""
"ええ、そうですとも。
まさか、そんな……お化けなどと……","","Yes, I do.
No way, such ...... ghosts and such ......","","Yes, that's right.
There's no way... there could be a ghost here.",""
"そ、そうだよね……！
オバケなんていないよね……","","Yes, that's right. ......
There's no such thing as an ogre. ......","","Y-You're right!
There aren't any ghosts, are there...",""
"もしかして、ふたりとも……
オバケ……苦手……？","","Perhaps you both ......
Obake ...... not good at ......?","","Don't tell me you two...
Are you... not good with ghosts?",""
"い、いえ……そのようなことは……","","No, no, no such thing is ...... ......","","N-No... That's not true at all.",""
"ぼ、ボクだって！
オバケなんか、ちっとも怖くないよっ！","","I'm not a fan of that either!
I'm not at all afraid of ghosts!","","M-Me, too!
I'm not scared of ghosts at all!",""
"も、もしここに出てきても、
ボクがやっつけてみせるよ……！","","If you come out here, too,
I'll take care of it. ......","","I-If you come out here, then
let me take care of it...!",""
"ガシャーン！！！","","GASSHANN!","","Crash!!!",""
"う、うわああああああ！！","","Ugh, oh my gosh!","","U-Uwaaahh!!",""
"きゃーっ！！","","Yikes!","","Kyaa!!",""
"……！！","","......!","","...!!",""
"み、みんな落ち着け！","","Everyone, calm down!","","E-Everyone, calm down!",""
"……す、すみませーん！
ちょっと、お皿を割ってしまって……","","...... Sorry, sorry!
Hey, I broke a plate: ......","","...S-Sorry!
I just broke a plate...",""
"お、音無さん……！
オバケじゃなくてよかった……！","","Oh, Mr. Otonashi, ......!
I'm glad I'm not an oaf. ......","","O-Otonashi...!
I'm so glad it wasn't a ghost...!",""
"え、ええ……安心いたしました","","Yeah, yeah, ...... I'm so relieved!","","Y-Yes... That's a relief.",""
"や、やっぱりオバケなんて
いないってことだよ、うんっ！","","I knew it! I knew it!
It means they're not there, yes!","","Th-There really aren't
any ghosts here!",""
"ああ。さっきの物音も、荷物が崩れたんだと思う。
まだ、きちんと整理できてないからな","","Yeah, I think the noise I heard earlier was also a package collapsing.
I'm still trying to get it all properly organized.","","Yeah. I think that sound just now was the result of my luggage falling apart, too...
I still haven't sorted things out properly yet, after all.",""
"（しかし、オバケで怖がるなんて、
みんなもかわいいところがあるんだな）","","(But I can't believe you're scared by an ogre,
(You all have a cute side too, don't you?)","","(But I guess everyone's cute when
they get scared of ghosts.)",""
"（ふぅ……少し休憩しようかな）","","(phew ...... I think I'll take a little break)","","(*sigh* Maybe I should take a break.)",""
"プロデューサーさん！　冷蔵庫に牛乳が
たくさんあるんですけど、これ、どうしたんですか？","","Producer! There's milk in the fridge.
There are a lot of them.","","Hey, producer! There's a lot of milk
in the fridge. What happened to it?",""
"ああ、前に番組でお邪魔した牧場から届いたんだ。
未来が牛乳好きって聞いて、送ってくれたそうだ","","Oh, it arrived from a ranch I visited on a previous program.
He heard that Mirai likes milk, so he sent it to me.","","Yeah, it came from the ranch we visited on TV.
He said he heard Mirai liked milk and sent it to him.",""
"本当ですかっ！　わーい、やったー！！
あの、さっそく飲んでもいいですか？","","Really? Wow, yay!
Um, can I have a drink right away?","","Really?! Yay, yay!!
Um, can I drink it right away?",""
"いいぞ。けど、この後レッスンの予定だよな。
飲みすぎないように注意するんだぞ","","Great...but you have a lesson scheduled after this.
Just make sure you don't drink too much.","","That's good. But you have lessons after this, right?
Be careful not to drink too much.",""
"はいっ！　えへへっ、牛乳、牛乳～♪","","Milk, milk, milk~♪","","Yep! Heheh, milk. Milk~♪",""
"あ、果穂ちゃん！
飲むヨーグルトがあるけど、飲まない？","","Oh, Kaho!
I have a yogurt to drink, why don't you drink it?","","Ah, Kaho!
I have some yogurt to drink. Would you like it?",""
"ヨーグルトは飲めます！
ありがとうございます、未来さん！","","Yogurt is drinkable!
Thank you, Mirai!","","You can drink yogurt!
Thank you, Mirai-san!",""
"…………。
わぁ！　スッゴく美味しいですっ！","","
Wow! It's so delicious!","","............
Wow! It's really good!!",""
"私も早く飲もうっと！
…………うわぁ、美味しい♪","","I can't wait to drink it too!
............ Wow, yummy!","","I'm going to have a drink too!
...Wow, this is delicious.♪",""
"へぇ、そんなにか。なら、俺ももらおうかな。
……おお、確かに美味しいな","","Well, if that's so, I'll have one too.
...... Oh, it sure tastes good.","","Huh, that much? Then maybe I'll have some too.
...Wow, it really is delicious.",""
"未来、小宮さん、それにプロデューサーも。
ここにいたのね","","Mirai, Komiya-san, and also Producer.
There you are.","","Mirai, Komiya-san and Producer.
So this is where you were.",""
"おお、千早。お疲れ。
今、牧場からもらった飲み物を飲んでいたところだ","","Hey, Chihaya, good job.
I was just having a drink I got from the ranch.","","Oh, Chihaya. Good work today!
I'm just taking a drink from the ranch.",""
"千早さんもどうですか！
すっごくすーっごく美味しいですよ！","","How about you, Chihaya-san?
It's soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo good!","","Chihayasan, how about you?
It's really, REALLY good!",""
"ありがとう。
せっかくだから、いただくわ","","
Since we're here, I'll take it.","","Thank you.
I'll take it.",""
"私、お代わりしちゃおっかな～。
ごくごく……ああ、美味しい♪　よーし、もう一杯！","","I think I'll have another one!
Goku Goku ...... Oh, it's delicious... All right, I'll have another!","","Maybe I'll have a refill.
*gulp*... Ahh, it's delicious♪ Alright! One more cup for me.",""
"たくさん牛乳を飲める未来さん……
スゴいです！","","Mr. Future who can drink lots of milk: ......
It's amazing!","","Mirai-san, who can drink a lot of milk...
It's amazing!",""
"でへへ～、牛乳大好きだからね。私自身が
牛乳っていってもカゴンじゃないくらいだよ！","","Dehehe~ I love milk, myself.
It's so much more than milk, it's not a cagon!","","Heheh, I love milk! It's not even a
basket for me to drink it in myself.",""
"み、未来さん自身が牛乳ですか……！
なんだかスゴいですっ！","","Is it milk, Mr. Mirai himself? ......
It's kind of amazing!","","M-Mirai, you're milk yourself...?!
It's kind of amazing!",""
"まぁ、適度に飲む分には、
体の発育にはいいと思うけど……","","Well, for moderate drinking,
I think it's good for physical development. ......","","Well, I think it's good for
developing the body by drinking moderately...",""
"あたしも、未来さんみたいに
牛乳を好きになれたらよかったのに……","","I'm like you, Mirai.
Wish I liked milk: ......","","It would have been nice if I
could've liked milk like Mirai-san...",""
"そういえば……牛乳が……","","Speaking of which, ...... milk is ......","","Come to think of it... there's milk here.",""
"はい……においが……","","Yes ...... smells ......","","Yes... It smells.",""
"……牛乳が苦手なのに、こんなに……","","......I'm not a fan of milk, but I'm so ......","","...I'm not good with milk, but this much...",""
"千早さん……？
どうしたんですか？","","Chihaya ......?","","Chihaya-san?
What's the matter?",""
"な、何でもないわ……くっ","","Hey, it's nothing. ......","","I-It's nothing... Ngh!",""
"……おっと、そろそろレッスンの時間じゃないか？
未来、準備は大丈夫か？","","...... Oops, isn't it time for a lesson?
Future, are you ready?","","...Whoops, isn't it about time for lessons?
Are you ready for the future?",""
"あっ、そうでした。
は、早く行かなくちゃ……うぅ！","","
Ha, I have to get going. ...... ugh!","","Ah, that's right.
I-I have to hurry... Ugh!",""
"どうしたの、未来？
顔色が悪いようだけど……","","What's wrong, future?
You look pale. ......","","What's wrong, Mirai?
You don't look well...",""
"み、未来さん！
大丈夫ですかっ！？","","Mi, Mirai!
Are you okay?","","M-Mirai!
Are you all right!?",""
"お腹が重たくて……
しばらく、動けないかも……","","I have a heavy stomach. ......
I may be stuck for a while. ......","","My stomach feels heavy...
I might not be able to move for a while...",""
"飲みすぎだな……。落ち着いてから、
レッスン場に向かおう。先生には連絡しておく","","You've had too much to drink. ....... After you calm down,
Let's head to the lesson place, I'll call the teacher.","","You've had too much to drink. We should head for the practice
room once you calm down, I can contact your teacher later on",""
"うう……、ごめんなさい、
プロデューサーさん……","","Ugh ......, sorry,","","Ugh... I'm so sorry,
Mr. producer!",""
"（結局、未来がレッスンを始めたのは、
それからしばらく経ってからだった……）","","(After all, the future started the lessons,
It was some time after that (......)","","(In the end, it was some time after that
when Mirai started her lessons...)",""
"（飲みすぎには要注意だな……）","","(Be careful not to drink too much. ......)","","(Careful not to drink too much...)",""
"（ふぅ、少し風にあたるとしよう。
おや、あそこにいるのは……）","","(Phew, let's get some wind.
Oh, look who's over there (......)","","(*sigh*, I'll let the wind blow a little.
Huh? Isn't that...)",""
"あずささんって、
大人っぽくてステキですよねー♪","","Who is Azusa-san?
It's so nice and mature...","","Azusa-san, you're so mature
and wonderful.♪",""
"翼ちゃん、ありがとう。
でも、私もまだまだ頑張らないといけないわ","","Thanks, Wings.
But I still have a lot of work to do.","","Tsubasa-chan, thank you.
But I still have a lot of work to do.",""
"どうやったら、あずささんみたいな
魅力的な女性になれるんですか～？","","How can you be like Azusa-san?
Can you be an attractive woman -?","","How can I become as attractive
a woman like you, Azusa-san?",""
"ナナも、あずささんのアドバイスを
聞きたいですっ！","","Nana also gave Azusa's advice.
I'd love to hear about it!","","Nana wants to hear
Azusa-san's advice too!",""
"夢のモテモテハッピーライフには、あずささん
みたいな大人の魅力が必要な気がするんですよ","","For a dreamy, irresistible, happy life, Azusa
I feel like we need to have an adult appeal like that.","","In order to live a happy life of dreams, I
feel like an adult's charm is necessary.",""
"え～と……。モテモテハッピーのことは、
ちょっと、私にはわからないけど","","Let's see............what about mote happy?
Hey, I don't know. I don't know.","","Um... I don't really know much about being popular and happy, but that
does make me feel a little strange to hear you say it like this.",""
"大人の魅力といえば……そうね。
例えば、約束をきちんと守るとか……","","Speaking of adult attractions, ...... is a good place to start.
For example, keeping your word or ......","","Speaking of adult charms... Let me think.
For example, keeping a promise...",""
"それから……待ち合わせには
遅れないように心がける、とか……かしら？","","Then you can go to ...... to meet up.
I'll try not to be late, or maybe ......?","","And...do you want to make
sure we're not late?",""
"なるほど……常識を意識する、ですか。
たしかに大切なことですねっ！","","I see. ......Aware of common sense, right?
Yes, it is important!","","I see... You're aware of common sense, huh.
That's very important!",""
"常識を、意識？　うーん……わたしには
ちょっとピンと来ないかも～","","Common sense, awareness? Hmmm ...... for me
It might not ring a bell.","","Common sense? Hmm... I don't think
that really clicks with me.",""
"翼ちゃん。常識的にふるまうことは、
大人の女性として、とっても大切なことなんですよ！","","Wings, you have to behave in a sensible way,
As an adult woman, it is very important!","","Tsubasa-chan, it's very important for an
adult woman to behave in a common sense!",""
"え～、じゃあ待ち合わせの時間を守ると
モテモテハッピーライフに近づけるんですか？","","Eh, so if you keep the meeting time...
Can you get closer to a irresistibly happy life?","","Whaaat? So you'll be able to live a happy life of popularity
if I keep up with the time we have planned for our meet-up.",""
"はいっ！","Yes!","","","Yes!",""
"約束を守ることも？","","And keeping promises?","","And keep my word?",""
"そうですっ！　例えばデートの約束をしたとして、
時間通りに相手が来なかったら、悲しいですよね？","","Yes, that's right! Let's say you have a date, for example,
Wouldn't it be sad if they didn't show up on time?","","That's right! Even if you did promise to go on a date,
it would be sad not having someone show up at the time.",""
"あ～、それならわかるかも～","","Ahhh, that might make sense!","","Ah, I might know what you mean by that.",""
"ねぇねぇ、菜々さん！
菜々さんも、そういう経験があったりしたんですか？","","Hey, hey, Nana!
Did you have any such experiences, Nana?","","Hey, Nana-san!
Have you experienced something like that before, Nana-san?",""
"え？　な、ナナは……そういった経験は、
あるというか、ないというか……あはは","","What? Nah, Nana has ...... such experience,
Is there or isn't there ...... haha","","Huh? I-I... don't have any experience
with that sort of thing, or rather.",""
"え～？
もったいぶらずに教えてくださいよ～","","Eh~?
Don't be coy, just tell us!","","Eh?
Please don't be so impudent and tell me.",""
"い、いえ、もったいぶっているわけではなくて……
そ、そうだ！　あずささんはどうなんですか？","","No, no, I'm not trying to be a pompous ......
Oh, yes! What about you, Azusa-san?","","N-No, I'm not teasing you...
Th-That's right! How about you, Azusa?",""
"え？　そ、そうね。
私もまだまだ、道に迷ってばかりだから……","","Yes, that's right.
I'm still getting lost, too. ......","","Huh? Y-You're right.
I've still got a long way to go...",""
"人に教えるような、
そんなすごい経験なんてないわよ","","Like teaching others,
There's no such thing as a great experience.","","I don't have that kind
of experience.",""
"ふたりとも、なんで教えてくれないんですか～。
ヒミツにするなんて、ずるいですよ～！","","Why don't you both tell me!
It's not fair to keep it a secret!","","Why won't you two tell me?
It's not fair to keep it a secret!",""
"（おっと……そろそろあずささんと菜々を
フォローしないとまずいかな……よし、行こう）","","(Oops. ...... I think it's time to get Azusa and Nana.
(I guess I better follow up with ...... Okay, let's go)","","(Whoops... I'd better follow up with
Azusa-san and Nana soon. Okay, time to go!)",""
"（ふぅ、少し休憩しようかな。
あれ？　談話スペースに誰かいるな……）","","(Phew, let's take a break.
(Huh? Someone's in the common space. ......)","","(*sigh* Maybe I should take a break.
Huh? There's someone in the lounge...)",""
"菜々って、
家でウサギを飼ってるの？","","Nana is,
Do you have rabbits at home?","","Does Nana have a
rabbit at home?",""
"え？　別に飼ってませんけど、
どうしてですか？","","I don't have any,
Why?","","Huh? I don't have a pet,
but why do you ask...",""
"衣装でうさ耳をつけてたりするから、ウサギが
すっごく好きで、たくさん飼ってるのかなって","","I'm wearing bunny ears with my costume, so I'm a bunny.
I love them so much, I thought they must have a lot of them.","","You're wearing bunny ears in your costume, so I thought
you really liked rabbits and had a lot of them.",""
"ナナのじっ……ウサミン星には、
残念ながらいないんですよ！　あはは……","","Nana's Jit ...... for the planet Usamin,
Unfortunately, he's not here! Haha ......","","I'm sorry to tell you, but Nana...the
star of Usamin is not here! Aha ha.",""
"あのね、ミキ、菜々さんのウ～サミンってやつ、
結構好きなの♪","","You know, Miki, Nana-san's u~samin,
I like it a lot.","","You know, Miki really likes
Nana-san and her Usamin.♪",""
"うわぁ、美希ちゃん、ありがとうございます！
良かったら一緒にやりませんか？","","Wow, Miki, thank you!
If you want, we can do it together.","","Wow, Miki-chan! Thank you very much.
Would you like to join us?",""
"ホント？　ミキはオッケーだよ♪
それじゃ、やるね。……せーの","","Really? Miki's okay with it.
I'll do it then. ......","","Really? Miki's okay with it.♪
Alright, let's do this. One... two!",""
"ウ～サミン♪","","♪ Ummm... ♪","","Ugh, Samin.♪",""
"おお！　ふたりともすごくいい感じだな！
これは、次のイベントに使えるんじゃ……","","Oh! They both look really nice!
This could be used for the next event. ......","","Wow! You two look great together.
I think we can use this for the next event...",""
"プロデューサーさん！　ありがとうございます。
そうだ！　響ちゃんも一緒にどうですか？","","Thank you, producer!
Yes! How about joining us, Hibiki?","","Thank you so much, Mr. Producer!
That's right! Hibiki-chan, would you like to join us?",""
"ええっ！？　じ、自分は別にやらなくても
いいぞ……。その、恥ずかしいし……","","I don't have to do it.
Good ......... well, it's, you know, embarrassing and ......","","Huh?! Y-You don't have to do it
yourself... It is embarrassing.",""
"そうなの？
ミキ的には、響もとっても似合うって思うな☆","","Really?
Miki thinks that Hibiki looks great, too.","","Is that so?
From Miki's point of view, Hibiki would look great in it.☆",""
"はい、ナナもそう思いますっ！
響ちゃん、ダメですか？","","Yes, Nana agrees!
Hibiki, no?","","Yes, I think so too!
Hibiki-chan, can I?",""
