"お疲れさまで～す、プロデューサーさん♪","","Good work, producers!","","Good work, producer! ♪"
"プロデューサーさんは、ハッピーライフのために、
協力してくれるって思ったのにな……","","Producers are for happy lives,
I thought you were going to help us. ......","","I thought Producer was going
to help us for a happy life..."
"翼の言いたいことも分かるけど……。
我慢の先に、幸せが待ってるんじゃないのか？","","I know what you mean about the wings. ......
Isn't happiness waiting for us at the end of our patience?","","I understand what you're trying to say, Tsubasa...
Isn't happiness waiting for you to endure?"
"そうなんですか～？
わたしには、ちょっと分からないかも～……","","Is that so~?
I'm not sure I'd be able to figure it out. ......","","Is that so~?
I don't really get it..."
"それって、楽しくないことでも、
やり続けたら、楽しくなるってことですか？","","That is, even if it's not fun,
If I keep doing it, does that mean it will be fun?","","Does that mean if you keep doing things
even though it's not fun, then they will?"
"そう言われると、難しい問題だな。
そうだな、楽しくないことを続けていたら……","","That being said, it's a difficult question.
Yes, if you keep doing things you don't enjoy ......","","Now that you mention it, this is a difficult problem.
That's right, if I keep doing things that aren't fun..."
"必ず
楽しくなる","","always
It'll be fun.","","I'm sure it
will be fun."
"翼なら
楽しくなる","","If it's wings...
It'll be fun.","","Wings make
it fun."
"我慢して続ければ
楽しくなる","","If you persevere and keep at it.
It'll be fun.","","If you hold out,
it'll be fun."
"う～ん……","","Ummm... ......","","Hmm..."
"ああ、必ず楽しくなる時が来るぞ！","","Oh, there will always come a time when it will be fun!","","Yeah, I'm sure it will be fun someday!"
"え～、ホントかなぁ～","","Oh, I wonder if it's true.","","Huh? Really, now..."
"でも、プロデューサーさんがそう言うなら、
わたし、もうちょっと頑張ってもいいですよ～♪","","But if Producer says so,
I can work a little harder than that....","","But if Producer says so, I
don't mind trying a little harder~"
"翼なら、楽しくなると思うぞ","","I think you'll have fun with the wings.","","I'm sure the wings will make it fun."
"わたしのこと、信じてるってことですか？
それなら、ちょっとだけ頑張ろうかな～","","Does that mean you believe me?
Then I'll work a little harder~!","","You believe in me?
In that case, maybe I'll try a little harder~"
"我慢して活動を続けれけば、
必ず楽しくなるぞ？","","If we are patient and continue our activities,
It's always fun, isn't it?","","If you can hold back and continue your
activities, it'll definitely be fun."
"え～、楽しくないことをやり続けるんですか？
ずっと退屈なままだと思いますけど……","","Oh, you're going to keep doing something you don't enjoy?
I'm sure it will stay boring forever. ......","","Eh, you're going to keep doing things that aren't fun?
I think you'll be bored for a long time..."
"う～ん……。ふ～む……","","Hmmm... ....... Hmmm... ......","","Hmmm... Hrmrrrgh, I seeeeere"
"あの～、プロデューサーさ～ん？
うなってるだけじゃ、わからないですよ～？","","Um, Mr. Producer?
You can't tell just by grunting~?","","Excuse me, Mr. Producer?
You can't tell just by groaning, you know~?"
"結局は翼次第ってことだ。目指す目標があるのなら、
楽しくないことも、頑張らなくちゃいけないと思うぞ","","In the end, it's up to the wings, if you have a goal to aim for,
I think you're going to have to work at it, even if you don't enjoy it.","","In the end, it all comes down to your wings. If you've got a goal in mind for yourself and not something
fun as well... then I think we should do our best at what is rightfully wrong with that plan of action too"
"けど、レッスンが簡単で楽しくないなら、
翼の能力に合わせて調整しないといけないな","","But if the lessons aren't easy and fun,
We'll have to adjust to the wing's capabilities.","","But if lessons aren't easy and fun, then you have to adjust them
accordingly with your wings. That should be good enough for me as well"
"もしかして、それってレッスンを
楽しくしてくれるってことですか～♪","","Maybe that's a lesson.
You mean you're going to make it fun~!","","Does that mean you're going
to enjoy your lessons? ♪"
"そうなるように、一緒に考えていこう。
それじゃあトレーナーに説明しにいくぞ","","Let's work together to make sure that happens.
Then I'm going to go explain it to my trainer.","","So let's think about it together.
All right, let's go explain this to the trainer."
"えー！　それって今日からの話だったんですか～？
ショッピングに行こうと思ってたのに～……","","Wow! Was that from today~?
I was going to go shopping - ......","","Whaaat?! You're talking about starting today, too...
I was going to go shopping, but..."
"もちろん、今からだ。
……ってこら、逃げるな！","","Of course, now.
Don't run away from ......!","","Of course, I'm just getting started.
...Hey, don't run away!"
"う～、分かりました～……","","Umm, I understand - ......","","Ugh, got it..."
"あ！　それじゃあ、レッスン頑張るから、
終わったらスイーツをおごってほしいでーす♪","","Ah! Well then, I'll do my best in my lessons,
I want you to buy me a sweet treat when you're done.","","Ah! Then, I'll do my best with the lesson.
Please treat me to some sweets when you finish~♪"
"はぁ……。スイーツはまた今度な。
今はレッスンに励むこと！","","Haha ....... I'll see you later sweets.
Now, work hard on your lessons!","","Sigh... Sweets can wait.
Right now, you need to focus on your lessons!"
"はーい、分かりましたー","","Yes, I understand!","","Okay, got it."
"（次の仕事の打ち合わせをするため、
この辺りで翼と待ち合わせしたはずだけど……）","","(To discuss the next job,
(I believe I met up with Wings around here: ......)","","(I thought I met up with Tsubasa around here
so we could discuss our next job...)"
"ねぇ、暇ならどっか遊びにいこーよ♪","","Hey, if you're free, let's go somewhere and have fun.","","Hey, if you've got some free time we should go play somewhere♪"
"えー、わたし、これから大事な用事があるんで
ムリですよー。別の子を誘ったらどうですか？","","Well, I have an important thing to do now.
Why don't you invite another girl?","","Eh, I have something important to do
now. Why don't you invite someone else?"
"（って、ナンパされてるのか！？）","","(Does that mean I'm being picked on?!?!)","","(Wait, is she hitting on me!?)"
"おーい、翼！　お待たせ！","","Hey, Wings! Sorry to keep you waiting!","","Hey, Tsubasa! Sorry to keep you waiting."
"あ、プロデューサーさんが来た♪
待ち合わせの人が来たから、バイバーイ♪","","Oh, here comes Producer!
I've got someone waiting for me, so bye-bye!â","","Ah, Producer's here! ♪ The person we were
supposed to meet has arrived. Bye-bye~"
"（俺が来たことで、男はすごすごと
立ち去っていった……）","","(My arrival made the man do everything.
(He walked away. ......)","","(When I came here, the man left
as if he was dejected...)"
"もう、遅いですよ～、
プロデューサーさん♪","","It's already too late!","","It's way too late
for that, producer! ♪"
"翼、大丈夫だったか？　ナンパは相手にせず、
怖くなったら、俺とかに連絡するんだぞ","","Wings, were you okay? I don't deal with pickups,
If you get scared, call me or someone else.","","Tsubasa, are you okay? Don't try to hit on
anyone. Just contact me if it gets scary!"
"は～い、分かってますって。
でも、今のってナンパなんですか？","","Yes, I know.
But is that a pick-up now?","","Okay, okay. I know that!
But, was that flirting just now?"
"なんか、一方的に話しかけてきただけですよー？","","It was just some kind of one-sided conversation!","","She's just talking to me, you know-?"
"つ、翼……それをナンパっていうんだよ……","","One, wings...... that's called picking up on ......","","T-Tsubasa... That's what they call hitting on girls."
"プロデューサーさんってば、
そんなに、あきれないでくださいよ～","","What a producer,
Don't give up so much!","","Don't be so surprised,
Mr. Producer!"
"とにかく、わたしがナンパなんかに、
ついていくワケないじゃないですか！","","Anyway, I'm not a pick-up artist,
There's no way I'm going to follow you!","","Anyway, there's no way I
could go along with her flirting!"
"さっきのは、ずーっと無視してたんですけど、
あんまりしつこいから、少しだけ返事をしただけです","","I ignored that one earlier the whole time,
You were too insistent, so I just responded with a few words.","","I've been ignoring you for a while now, but I was so insistent that
it only took me some time to answer your question. That is all"
"そうだったのか。相手をすると、調子にのるヤツも
いるから、大声とかで周りに助けを求めるんだぞ","","I didn't know that... some people get carried away when you play with them.
They're there, so you're going to have to yell or something to get help around.","","I see. There are people who get carried away when they're with
someone, so you have to shout for help or something like that!"
"分かりましたけど……。プロデューサーさん、
わたしがナンパについていくと思ったんですかー？","","I understand, but ....... producer,
Did you think I was going to go along with you?","","Okay, but... Did you think I was
going to go pick up girls?"
"翼がナンパについていくと思ったか、か……","","Did you think the wings would follow the pickup, or ......","","Did you think I'd follow your lead, huh..."
"いや、思わない","","No, I don't think so.","","No, I don't think so."
"そうじゃない","","No, it isn't.","","That's not what I meant."
"ああ、思った","","Yeah, I thought.","","Yeah, I thought so."
"いや、思わないよ","","No, I don't think so.","","No, I don't think so."
"ですよね♪　プロデューサーさんなら
そう言ってくれると思いました♪","","Of course... ♪ If you're a producer... ♪
I knew you would say that.Â","","I knew you'd
say that! ♪"
"ただな、翼になにかあったら……とは思う。
心配しているんだよ","","But hey, if something happens to the wings, I'm sure ...... will be able to help.
I'm worried about you.","","It's just... I hope something happens to the wings.
I'm worried about you."
"そういうことですか～。プロデューサーさんってば、
わたしのこと、気にかけてくれてるんだー♪","","That's how it is, isn't it?
You care about me!","","So that's how it is. Producer
really does care about me, huh?"
"そうじゃない。
そういった意味で言ったんじゃないんだ","","It doesn't.
That's not what I meant.","","That's not it.
That's not what I meant."
"そうじゃない……？
それって、どういう意味ですか？","","Not so ......?
What does that mean?","","Isn't that right...?
What do you mean by that?"
"話が通じない相手もいるから、なにか起こる前に
対処する方法を伝えたかったんだ……","","Some people don't understand what you're saying, so before anything happens
I wanted to tell you how to deal with it: ......","","There are some people I can't talk
to, so before anything happens..."
"ああ、思った。正直に言うとな","","Yeah, I thought; I'll be honest.","","Yeah, I thought so. To be honest with ya"
"……わたしのことを、そんなふうに
思ってたんですか？　かなりショックです……","","...... about me like that.
You thought so? I'm quite shocked. ......","","...You thought of me that way?
That's quite a shock..."
"い、いや違うんだよ、
ちょっと心配しただけなんだ……","","No, no, no,
I was just a little concerned: ......","","N-No, that's not it. I was
just a little worried..."
"まあ、俺も色々と言って、悪かったよ。
一番は、翼に気をつけてほしかっただけなんだ","","Well, I said a lot of things, too, and I'm sorry.
Most of all, I just wanted you to be careful with your wings.","","Well, I'm sorry for saying so many things.
I just wanted you to watch your wings."
"はーい。分かりました。えへへ、
プロデューサーさんって、心配性なんですねー","","Yes, I understand,
Producers are such worriers!","","Okay, got it. Eheh~
You're such a worrywart!"
"そんなにわたしのことが心配なら、
ずーっとそばにいてくれてもいいんですよ～♪","","If you are so worried about me,
You can stay by my side the whole time~♪","","If you're so worried about me, then I don't mind
if it means being by your side all the time~"
"……ほら、そんなくだらないこと言ってないで
早く打ち合わせ先に向かうぞ","","...... Look, don't be so silly.
Let's get to the meeting place as soon as possible.","","...Come on, don't be silly. Let
us hurry to the meeting place!"
"もう、くだらないことじゃないですよー！
わたしはホンキで言ってるんですからね？","","It's not a silly thing anymore!
I'm serious, okay?","","It's not something stupid anymore!
I'm being serious, okay?"
"お疲れ様です。
ただいま戻りましたー","","Thanks for your time.
I'm back!","","Thank you for your hard work.
I'm back!"
"あれ、なに持ってるんですか？
もしかして、スイーツのお土産とか？","","Oh, what do you have there?
Perhaps a souvenir of sweets?","","Huh? What are you holding there for, Mr. Wright!
Could it be a souvenir from sweets?"
"これは美希がプロデュースしたメイクセットだ。
営業ついでに、サンプルをもらって来たんだよ","","This is a makeup set produced by Miki.
I got a sample while I was on a sales trip.","","This is a makeup set produced by Miki.
I got a sample while we were out on business."
"美希先輩のプロデュース！？
しかも、メイクセットですかー！","","Produced by Miki-senpai!
And is it a makeup set?","","Produced by Miki-sempai!?
And a makeup set, too!?"
"ねぇねぇ、プロデューサーさん！
どんなのですか！　見せてくださいよ～！","","Hey, hey, hey, producer!
What is it like! Please show us!","","Hey, Mr. Producer!
What kind?! Let me see it~"
"わ、分かったから、とりあえず落ち着くんだ翼。
……ほら、これだよ","","Wow, okay, just calm down for now, Wings.
...... See, this is what I'm talking about.","","I-I get it, so calm down for now.
...Here, this."
"わ～い、ありがとうございま～す♪","","Wow! Thank you so much!","","Yaaay! Thank you very much♪"
"わ～♪　カワイイ～！
さすが、美希先輩って感じですね！","","Wow~♪ Kawaii~!
That's just like Miki-senpai!","","Wow~ So cute!
That's Miki-senpai for you!"
"ほら、このマニキュア見てください！
ネイルボトルもオシャレ～♪","","Look, look at this nail polish!
Nail bottles are also fashionable~♪","","Look at this nail polish!
Nail bottles are so stylish! ♪"
"プロデューサーさん！
このメイクセット、すっごく気に入っちゃいました！","","Producer!
I really liked this makeup set!","","Hey, producer!
I really like this makeup set!"
"大切に使いますから、
わたしがもらってもいいですか～？　ダメェ？","","I will take good care of it,
Can I have it? No?","","I'll be sure to take good care of
it, so could you give me some?"
"う～ん、そうだな……。サンプルだから、
誰かが実際に使った方がいいかもしれないけど……","","Hmmm, yes. ....... It's a sample,
Maybe someone should actually use it: ......","","Hmm, let's see... It might be better for someone to actually use it as a sample of
some kind. But that would just make things even more difficult in the long run"
"ホントですかー！
ありがとうございます、プロデューサーさん♪","","Really?
Thank you, producer. ♪","","Really?!
Thank you very much, producer. ♪"
"……翼にあげるとは、まだ言っていないけど。
まあ、いいか","","I haven't said yet that I'll give it to ...... wing.
Well, okay.","","...I haven't told her that I will give it to the wings yet.
Well, whatever."
"すごーい、ファンデとかチークとか一通り入ってる！
わあ、ネイルもたくさんあるんですねー♪","","Wow, it's a whole lot of foundation, blush, etc!
Wow, you have a lot of nails... ♪","","Wow, there's all kinds of fanfare and teakets in here!
Wow, there's so much nail polish too~"
"あっ♪　この『グラマラス・バーガンディー』って、
色も名前も、大人っぽくてモテモテって感じ♪","","Oh...Â This ""Glamorous Burgundy"",
The color and the name are so mature and irresistible... ♪","","Ah! ♪ This Glamorous
Burgundy. is so mature and popular."
"（大人っぽく振舞おうとする時もあるけど、
こう見ると、翼も普通の中学生なんだよな……）","","(Sometimes I try to act like an adult,
(In this way, Wings is just a regular middle schooler. ......)","","(There are times when I try to act like an adult,
but looking at it from a different perspective...)"
"プロデューサーさん！　これでメイクしたら、
わたし、大人っぽくなっちゃうと思いませんか～？","","Producer! If you make up with this,
Don't you think I'm going to become more mature?","","Hey, producer! Don't you think that if I put on makeup
like this it will make me look more mature?"
"え、ああ、そうだな。
確かに色のラインナップが、少し大人っぽいしな","","Eh, yeah, yeah.
The color lineup is certainly a bit more mature.","","Huh? Oh, yeah.
It's true that the color lineup is a bit mature."
"えへへっ♪　じゃあじゃあ、大人っぽいメイクをした
わたしとデートをするなら、どこに行きますか～？","","Eh heh heh ♪ Well then, I put on mature makeup.
Where would you go on a date with me?","","Heheh♪ Then, if you're going on a date with me wearing
makeup that looks like an adult would be better~?"
"で、デート！？　うーん、仕事を頑張ったご褒美で、
翼を連れて行くとしたら……とかでいいなら……","","So, a date! Hmmm, a reward for a hard day's work,
If you want to take wings, you can go to ...... or something like that, ......","","A d-date?! Hmm, if you want to take
Tsubasa away as a reward for her hard work..."
"夜景の見える
レストラン","","with a night view
restaurant (esp. Western-style)","","A restaurant with
a night view."
"ライトアップされた
夜の水族館","","illuminated (e.g. building)
Night Aquarium","","A lit-up
aquarium at night."
"おしゃれなカフェで
ランチ","","In a stylish cafe
lunch","","I'm having lunch
at a fancy cafe."
"レッスン室で
特別なレッスン","","In the Lesson Room
Special Lessons","","Special lessons in
the lesson room."
"夜景の見えるレストランとかどうだ？
普段はあまり行くことがないし、大人っぽいだろ？","","How about a restaurant with a night view?
I don't usually go there much, and it's kind of grown-up, right?","","How about a restaurant with the night view?
I don't usually go there, so it seems mature."
"わあ、夜景ですか！　それ、すっごくすっごく
大人っぽいで～す♪　ドキドキしちゃいますね！","","Wow, a night view!
It's very mature~♪ I'm very excited!","","Wow, the night skyline! That's so
mature~ ♪ It makes my heart race."
"えへへっ♪　いつ行きますか～？
あ、わたしは今日でもいいですよ♪","","Heh heh heh ♪ When do you want to go~?
Oh, I'm fine with today.","","Heheh~ When are we going?
Ah, I'm fine with today♪"
"仕事を頑張ったらとか、そういうたとえ話だぞ？
でも頑張ったら、いつかな","","You know, if you work hard at your job, or some such metaphor?
But if you work hard, maybe someday.","","It's just a metaphor, you know?
But if you work hard, someday..."
"ライトアップされた夜の水族館とかかな？
昼と違って落ち着いた雰囲気だし、綺麗だぞ","","Maybe an aquarium at night when it's all lit up?
It's different from daytime, it's more relaxed, it's beautiful.","","Maybe an aquarium lit up at night?
It's calmer than it was at lunch, and more beautiful."
"夜の水族館……。たしかに、大人っぽいかも～♪
デートコースにピッタリって、感じですよね！","","Aquarium at night: ....... Yes, it looks mature~♪
It is a perfect date course, isn't it?","","It's an aquarium at night... Yeah, it does
look mature~ This is perfect for a date!"
"プロデューサーさんと行ってみたいな～♪
メイクをしたら、連れて行ってくれますか？","","I'd love to go there with my producer!
If I do my makeup, will you take me there?","","I'd like to go with Producer. ♪
If you put on makeup, can we take him?"
"今すぐは無理だな。
翼が頑張ったら、いつか連れて行くよ","","Not right now.
If the wings do well, I'll take you there someday.","","I can't do it right now.
If the wings do their best, I'll take you there someday."
"ううーん、おしゃれなカフェでランチ……とか？
どうだ？","","Ummm, maybe lunch at a trendy cafe ......?
What do you think?","","Hmm, lunch at a stylish cafe... maybe?
What do you think?"
"むぅ～。悪くはないですけど、ランチっていうのが
少し大人っぽさが足りないかもです～","","It's not bad, but lunch is not a good idea.
Maybe a little less mature~.","","Hmm. It's not bad, but I think lunch is a little lacking in the
maturity of an adult like you might be able to handle it better than that"
"もうちょっと頑張ってくれてもいいんですよ、
プロデューサーさん♪","","You could try a little harder,","","You can try a little harder,
Mr. Producer! ♪"
"もっと大人っぽいのが良かったか。
俺もあんまり詳しくないからな……考えておくよ","","Would you have preferred something more mature?
I don't know much about it either. ...... I'll keep that in mind.","","Maybe I should've picked something more mature.
I don't know much about it myself, so... Let me think."
"レッスン室で特別なレッスンとか、どうだ？","","How about a special lesson in the lesson room?","","How about a special lesson in the lessons room?"
"え～っ！？　全然デートじゃないじゃないですかー！
もっとハッピーなのがいいです～！","","What~! It's not a date at all!
I'd like to be happier!","","Whaaat?! This isn't a date at all.
I want something happier!"
"悪い悪い、別案をまた考えておくよ","","Sorry, sorry, I'll come up with another idea.","","Sorry, sorry. I'll think of another way to deal with it some other time"
"うーん、プロデューサーさんとのデートは
お預けですけど、デートを想像したら……","","Hmmm, a date with Producer...
I'll leave it with you, but imagine the date: ......","","Hmm, I can't go on a
date with Producer..."
"美希先輩みたいな、モテモテハッピーメイクが
できそうな気がしてきました～♪","","I'm like Miki-senpai, the popular and happy make-up.
I feel like I can do it!","","I'm starting to get the feeling that you can
do popular, happy makeup like Miki-sempai~♪"
"それはあくまでサンプルだから、持ち出しは
しないようにな。事務所だけで使うようにしてくれよ","","That's just a sample, you can't take it out.
Don't do that...just make sure you use it in the office only.","","That's just a sample, so don't take it out. Make sure
you only use the office for that purpose alone!"
"は～い、分かってますって♪
まずはネイル、どの色を塗ってみようかな～♪","","Yes, yes, I know.
First of all, nails...which color should I paint them?","","Okay, I know! ♪ Which
color should we paint first?"
"（ちゃんと、分かってるのかな……。
まあ、翼がご機嫌だから良しとするか）","","(Do you understand, properly, ......?
(Well, the wings are in a good mood, so that's good.)","","(I wonder if she understands...
Well, the wings are in a good mood so I guess it's fine.)"
"（また、モテモテハッピーか。
今度、それとなく聞いてみることにしよう……）","","(Also, irresistibly happy?
I'll have to ask that next time ......)","","(Happy to be popular again, huh?
I'll have to ask her about it sometime...)"
"（翼との仕事帰り、
少し寄り道をすることにした……）","","(Back from work with wings,
I decided to take a little detour (......)","","(I decided to take a short
detour on my way home from work...)"
"う～ん……。
どうすればいいのかなぁー","","Hmmm... .......
I wonder what I should do...","","Hmmm...
What should I do..."
"なにか悩みでもあるのか、翼。
ルミナスのことで心配事があるなら相談に乗るぞ？","","What is troubling you, Wings?
If you have any concerns about Luminous, I'm here to talk to you, okay?","","Is something bothering you, Tsubasa?
If you're worried about Luminous, I can help."
