"（伊織が雑誌を読んでいるみたいだ……。
声をかけてみよう）","","(It looks like Iori is reading a magazine. ......
(Let's call out to him.)","","(It looks like Iori's reading a magazine...
Let's try talking to her.)"
"そうだな、思い切ってワイヤーアクション！
……なんてどうだ？","","Yes, boldly wire action!
How about ......?","","That's right, wire action!
...How about that?"
"天使のように舞い降りる伊織ちゃんってことね！
にひひっ♪　私にピッタリのアイディアじゃない","","So you're Iori, soaring like an angel!","","That means Iori-chan's going to descend like an angel!
Hehe~ That's not a great idea for me."
"ステージのライティングを派手にして
光り輝くステージっていうのはどうだ？","","Make the stage lighting flashy.
How about a shiny stage?","","How about we make the
stage a little flashier?"
"ふぅん……悪くはないわね。でもそれって
私じゃなくて、ステージが目立ちそうじゃない？","","Hmmm......... not bad...but that's just
Not me, but doesn't the stage stand out?","","Hmm... Not bad. But wouldn't that make
the stage stand out rather than me?"
"ステージから客席にダイブ！
なんてのはどうだ？　危ないか……","","Dive from the stage to the audience!
How's that for a good idea? Care to take a look: ......","","Dive from stage to audience!
How about something like that? It's dangerous..."
"そ、それは……客席に直接落ちるの？
ちょっと怖いわね……。怪我しそうだし……","","So, does that fall directly on the ...... audience?
It's a little scary. ....... I think I might get hurt. ......","","W-Wait... Are you going to fall directly into the audience?
I'm a little scared... It looks like you might get hurt."
"まあ、まだミニライブまでには時間もあるし、
急いで決める必要はないよ。一緒に考えていこう","","Well, there is still time before the mini-live,
There's no need to rush into a decision, we'll figure it out together.","","There's still some time before the mini-concert, so there
is no need to rush. Let us think about it together!"
"そうね、大事なライブだもの。私も考えてみるから、
もっといい案があったら、すぐに連絡してくれる？","","Well, it's an important concert, I'll think about it,
If you have a better idea, will you get back to me ASAP?","","Yeah, it's an important concert. I can think of a way to do that
too... If you have any better ideas please contact me right away!"
"ああ、もちろん！
いいライブにしような","","Yes, of course!
Let's make it a good show.","","Yeah, of course!
Let's make this a good concert."
"（ん……？　伊織が何か見てるな。
声をかけてみよう）","","(Nn......? Iori is looking at something.
(Let's call out to him.)","","(Hm...? Iori's looking at something.
Let's try talking to her.)"
"伊織、何を見てるんだ……？
って、杏が置いていったぬいぐるみか","","Iori, what are you looking at ......?
I mean, is that the stuffed animal that apricot left behind?","","What am Iori looking at...?
Oh, it's the stuffed animal that Anzu left behind."
"そうよ。でも、ぬいぐるみっていうより、
杏のことね。……なんだかアレに似てるな、って","","Yes, but it's more like a stuffed animal,
You mean the apricot. ...... I thought it kind of looked like that one.","","That's right. But rather than a stuffed animal, it seems more like
Anzu... It reminds me of that thing I saw earlier in the day"
"（アレ……？　杏に似ているのって言えば……）","","(That thing ......? If you say it looks like an apricot, it's ......)","","(That...? Speaking of which, she looks like Anzu.)"
"美希","Miki","","","Miki"
"俺","","I","","I..."
"伊織","Iori","","","Iori"
"杏が似てるって、もしかして美希、か？
ふたりとも昼寝が好きだしな","","Anzu looks like, maybe Miki, huh?
They both like to nap.","","Anzu looks like her? Could it be Miki...
We both like to take naps."
"あら、正解よ♪　
美希と杏って、ちょっと似てるわよね","","Oh, you're right.
Miki and Anzu are a bit alike, aren't they?","","Oh, you're right.♪
Miki and Anzu are a little alike, aren't they?"
"杏が似てるっていうのは……俺、なんてな！","","Apricot looks like ...... me, oh my!","","Anzu's like that... because of me!"
"ああ、アンタも普段ボーっとしているのに、やる時は
やる……って、違うわよ、美希のことを話してるの！","","Yeah, you're usually in a daze, but when you do it, you do it.
I'm going to do ......, no, I'm talking about Miki!","","Ahh, you're usually spaced out too but when it comes time to
do something.... Wait a minute! I was talking about Miki here!!"
"杏が似てるのは……、ああ、伊織か！","","Anne looks like ......, oh, and Iori!","","Anzu looks like... Oh, it's Iori!"
"どうして伊織ちゃんになるのよ！
私が話してるのは、美希のこと！","","Why do you have to be Iori?
I am talking about Miki!","","Why are you becoming Iori-chan?!
I'm talking about Miki!"
"伊織もうさぎのぬいぐるみを持っているから、
杏のぬいぐるみが欲しいのかと思ったよ","","Because Iori also has a stuffed rabbit,
I thought you wanted a stuffed apricot.","","Iori has a stuffed rabbit too, so
it made me think you wanted one."
"そんなわけないでしょ。美希と杏って、ステージでは
しっかりアイドルなところが、似てるって思ったの","","Miki and Anzu are not like that on stage.
I thought we were similar in that we were both idols.","","That can't be. I thought that Miki and Anzu had a
strong idol side on stage, just like each other!"
"はは、確かにな。それなら、伊織と杏も
いいコンビになるってことだな！","","Ha, indeed, then, Iori and Anzu, too.
That means they'll make a good pair!","","Haha, you're right. That means
Iori and Anzu will make a good team!"
"そんなの……私の面倒が増えるだけじゃない。
ま、別にいいんだけど……！","","That's not just more trouble for ...... me.
Well, it doesn't matter. ......","","That...would just make things harder for me.
Well, it doesn't really matter!"
"（今日は伊織と街に買い物に出ている）","","(Iori and I are out shopping in town today)","","(I'm out shopping in town with iori today.)"
"お、ここ、小学生の『将来の夢』の絵を
展示し始めたのか。たくさんあるな","","Oh, here, a picture of an elementary school student's ""Dream of the Future"".
You've started exhibiting...lots of them.","","Oh, so this is where they started displaying 『Dreams of
the future』 elementary schoolers. There's a lot of them!"
"ふふ、いろんな将来の夢があるのね。そういえば
アンタって子どもの頃、何になりたかったの？","","Hmmm...you have many dreams for the future, come to think of it.
What did you want to be when you were a child?","","Haha, you've got a lot of dreams for the future. By that
way... What did it want to be when we were kids?"
"子どもの頃の夢か。
よく覚えていないなぁ……なんだったかな","","A childhood dream?
I don't remember exactly. ...... what was it?","","A childhood dream, huh?
I don't really remember... What was it?"
"（伊織の子どもの頃の夢って、なんだろう？）","","(I wonder what Iori's childhood dream was?)","","(What was Iori's childhood dream?)"
"普通の女の子","","Ordinary girl","","Normal girls."
"お姫様","","princess","","Princess."
"水瀬グループ総帥","","General Manager, Mizuse Group","","President of the Minase Group"
"伊織の子どもの頃の夢は、普通の女の子に
なりたい！　……とかだったりしたのか？","","Iori's childhood dream was to be a normal girl.
I want to be! Was it something like ......?","","Iori's childhood dream was to become a
normal girl! ...Or something like that?"
"まぁ、そんな時もあったかもね……
私が恵まれた環境だってことくらい、分かってたし","","Well, maybe there was a time for that. ......
I knew I was blessed.","","Well, I guess there were times like that...
I knew that it was a fortunate environment for me."
"伊織の子どもの頃の夢は、お姫様とかか？
すごく似合いそうだけど……","","Iori's childhood dream was to be a princess or something?
It looks really good on you. ......","","Is Iori's childhood dream about being a princess?
It looks really good on you, but..."
"ふふん。これだけ超絶美少女なんだから、
お姫様なんて、似合って当然でしょ？","","Hmmm...so much for being a super beautiful girl,
A princess deserves to look good, don't you think?","","Heheh. It's only natural that a princess would look
good on such an exquisitely beautiful girl, right?"
"伊織の子どもの頃の夢……それは、
水瀬グループの総帥！　だったりしないか？","","Iori's childhood dream: ...... that is,
The general manager of the Mizuse Group!","","Iori's childhood dream... It was to be the leader
of Minase Group! Or something like that?"
"しないけど？　まだそんな大きな夢は
持ってなかったわよ。……子どもだったから","","I don't dream that big yet.
I didn't have one. ...... I was a child.","","I won't, though. It was just a dream for me to have...
...I still had that big of an idea when we were kids"
"そうか。でも今の伊織は、トップアイドル……。
いつ頃から、アイドルになろうと思ってたんだ？","","Okay, but now Iori is a top idol .......
When did you know you wanted to become an idol?","","I see. But right now, she's a top idol...
When did you start thinking about becoming an idol?"
"それは……いつだっていいじゃないの。
気がついたらもう、私はアイドルになってたわ","","That's not ...... anytime you want.
Next thing I know, I'm already an idol.","","Isn't that...always okay?
Before I knew it, i'd already become an idol."
"そうなのか……俺もいつの間にか、みんなを
輝かせたいって思って、今の仕事を選んでたよ","","I don't know, I'm not sure when ...... I'm going to get you guys.
I chose the job I have because I wanted to shine.","","I see. Before I knew it, my goal was to make everyone else shine as well...
So that's why you chose this line of work for me in the first place"
"なら伊織ちゃんはもちろん、ルミナスを更に輝かせて
ちょうだいね。アンタならできるでしょ、にひひっ♪","","Then, of course, Iori can make Luminous shine even brighter.
You can do it, right?","","Then of course, Iori-chan will make Luminous
shine even brighter. You can do it! Nihiheh♪"
"（仕事帰り、お祭りの屋台通りのそばを通った）","","(On my way home from work, I walked by the street of festival stalls)","","(After work, I passed by the festival stall.)"
"あ、今日がお祭りだったのか。提灯とか出てたから、
近いとは思ってたが……しかし、人がたくさんいるな","","Oh, so today was the festival, because there were lanterns and stuff,
I knew it was close ...... but there's a lot of people here.","","Ah, so today's the festival. I thought it was pretty close since there were
lanterns out... But wow! There sure are a lot of people here right now"
"ちょうどいいわね。プロデューサー、小腹が空いたし、
何か縁日っぽい食べ物を、買ってちょうだい♪","","Just in time, producer, I'm hungry,
Please buy me something to eat at the fair.","","▁Perfect timing. I'm a little hungry, so buy me some food
that looks like it might be for the festival or something♪"
"そうだな、少し小腹も空いたしな。
伊織が喜びそうな縁日の食べ物はっと……","","Yes, I'm a little hungry.
Iori will be happy to see the food at the fair: ......","","Yeah, I'm a little hungry.
As for the festival food that Iori would like..."
"りんご飴","","toffee apple","","Candied apples"
"たこ焼き","","octopus dumplings","","Takoyaki"
"じゃがバター","","potato (Solanum tuberosum)","","Potato butter."
"縁日の屋台といえば、りんご飴なんてどうだ？
甘いけどさっぱりもしてて、美味しいぞ","","Speaking of fair stalls, how about candy apples?
Sweet but refreshing and delicious!","","Speaking of festival stalls, how about candy apples?
It's sweet, but refreshing and delicious."
"ふぅん、りんご飴……いいじゃない。アンタも
この伊織ちゃんの喜ばせ方、分かってきたようね♪","","Hmmm, candy apples...... are good, and so are you.
You seem to have figured out how to please this Iori girl.","","Hmm, candy apples... Isn't that nice? Looks like
you understand how to make Iori-chan happy.♪"
"うん、食欲をそそるソースのいい匂いだ！
たこ焼きはどうだ？","","Yeah, that's a nice, appetizing sauce smell!
How about some takoyaki?","","Yep, it's the delicious smell of appetizing sauce!
How about some takoyaki?"
"たこ焼き……普段はあんまり食べないし、
縁日っぽくていいんじゃない？","","Takoyaki...... I don't usually eat much,
It looks like a fair, doesn't it?","","Takoyaki... I don't usually eat it, so why
not just go with the festival style instead?"
"あ、じゃがバターの屋台が出てるぞ","","Oh, there's a stall selling potato butter.","","Oh, there's a buttered potato stand."
"あのじゃがいも、大きすぎじゃない？
私が持って歩くには無理があるわよ","","Aren't those potatoes too big?
There's no way I'm going to be able to walk around with it.","","Isn't that potato too big?
It's too much for me to carry around."
"他にもたくさん食べ物の屋台が並んでるな","","Lots of other food stalls lined up.","","There's a lot of other food stalls lined up."
"私、食べ歩きするの、実は好きなのよね。
ケーキは売ってないかしら？","","I actually like to eat and walk around.
I wonder if they sell cake?","","I actually like walking around eating.
Do you have any cakes for sale?"
"うーん……屋台でケーキは流石に無いと思うぞ。
けど、少し時間もあるし、一緒に回って見てみるか？","","Hmmm ...... I don't think the cakes in the stalls are quintessential.
But we have a little time, so why don't we go around and look at it together?","","Hmm... I don't think there are any cakes at the stalls.
But we still have a bit of time, so why don't you come with us?"
"そうね。せっかくのお祭りだもの、しょうがないから
一緒に行ってあげるわ。にひひっ♪","","Well, it's a festival, so I can't help it.
I'll go with you.","","Indeed. Since it's a festival, I suppose we have
no choice but to go there together anyway! Nihiheh♪"
"（伊織の仕事終わり、
気分転換を兼ねて公園に散歩に来た）","","(Iori's end of work,
(I came for a walk in the park for a change of pace.)","","(After work, I came to
the park for a walk.)"
"あ～、疲れた。伊織ちゃん、のどがカラカラだわ。
ね、なにか飲み物を買ってきてくれない？","","Oh, I'm so tired, Iori, my throat is parched.
Hey, can you get me something to drink?","","Ahh, I'm tired. My throat is parched!
Hey, can you get me something to drink?"
"そうだな、結構歩いたし、ちょっと疲れたな。
そこに自販機があるし、買ってくるよ","","Yes, we walked quite a bit, and I'm a little tired.
There's a vending machine there. I'll get some.","","Yeah, we've walked a long way. I feel kind of tired now...
There's a vending machine over there. I can get you one, right?"
"（ええと、何にしようかな……）","","(Uh, what shall we call it: ......)","","(Umm, what should I get...?)"
"フルーツジュース","","fruit juice","","Fruit juice"
"お汁粉","","sweet red-bean soup","","Red bean soup."
"お茶","","tea ceremony","","Ocha"
"伊織、飲み物を買ってきたぞ","","Iori, I got you a drink.","","Iori, we bought you a drink."
"あら、ありがと。
アンタも伊織ちゃんのこと分かってるじゃない♪","","Oh, thanks.
You know Iori too, don't you?","","Oh, thank you.
You understand Iori-chan too, don't you?♪"
"（よし！　すごく喜んでくれているな……！）","","(Okay! You're making me very happy. ......!)","","(All right! She's really happy about it...)"
"ありがとう……あら、ちょっと変わったものを
買ってきたわね？　ふふっ♪　面白そうじゃない","","Thanks ...... Oh, well, something a little different.
You bought it, didn't you? Hmmm... it looks interesting.","","Thank you... Oh, I bought something
unusual. Heheh♪ That sounds fun!"
"（ふう、どうやら喜んでくれたみたいだ）","","(Phew, apparently he's pleased.)","","(Phew, looks like she's happy to hear that. I can tell by the look on her face it was a pleasure doing business with you all this time )"
"ありがと、プロデューサー……って、
私、缶入りのお茶は苦手よ。知らなかった？","","Thanks, I'm a producer ......,
I don't like tea in a can, didn't you know?","","Thanks, producer... Wait. I'm not good with
canned tea either! Did you know that?"
"（うーん、あまり喜んでくれなかったみたいだ……）","","(Hmmm, I don't think he was too happy about it. ......)","","(Hmm, it doesn't look like she was very happy...)"
"（仕事をしていたら、伊織がやってきた）","","(I was working, and Iori came over.)","","(Iori came by while we were working.)"
"（事務所にいた子たちとジャンケンをして、負け
続けて悔しいらしく、俺に挑んできたそうだ……）","","(He played rock-paper-scissors with the kids in the office and lost.
He continued to be frustrated and challenged me (......).","","(He played rock paper scissors with the girls in his
office, and he seemed to be frustrated about losing.)"
"アンタには負けないんだから。
私、パーを出すからね！　分かってるわよね？","","I'm not going to lose to you.
I'm going to put up a par! You know that, right?","","I won't lose to you.
I'll play paper! You know that, right?"
"（心理戦をしかけてきたぞ。さて、どうするか……）","","(He's playing mind games...now what to do ......)","","(I'm starting a psychological warfare game. Now, what to do...)"
"勝ちを譲る","","concede victory","","I'll give you the win."
"あいこにする","","do with favor (favour)","","We'll call it even."
"勝ちに行く","","go for the win","","I'm going to win."
"ジャンケン、ポンッ！　グーだ！","","Rock, paper, scissors!","","Rock paper scissors, pon! It's rock."
"や、やっと勝ったわ！　……伊織ちゃんが
勝つのは当然だから、別に嬉しくないけどっ","","Ya, I finally won! ...... Iori is the one!
I'm not really happy about it, because I deserve to win!","","I-I finally won! ...It's only natural for you
to win, so it doesn't really make me happy."
"ジャンケン、ポンッ！　パー！","","Rock, paper, scissors!","","Rock, paper... scissors!"
"あいこね……アンタ、いい度胸してるじゃないの。
覚悟しなさい、次は私が勝つんだから！","","Aikone...... you have some nerve.
Brace yourself, because next time I'm going to win!","","That's even... You have some nerve.
Prepare yourself. I'm going to win next time!"
"（ふう。どうやら喜んでくれたみたいだ）","","(Wind...apparently he was pleased.)","","(Whew. Looks like she'll be happy to hear that from you, huh?)"
"ジャンケン、ポンッ！　チョキ！","","Rock, paper, scissors!","","Rock, paper... scissors!"
"ま、また負けた……ちょっとアンタ、
どういうつもりなのよーっ！","","Well, I lost again ...... hey Anta,
What are you trying to do?","","I-I lost again... Wait, what
are you trying to do?!"
"（しまった、裏をかいたつもり
だったんだが……失敗だったな）","","(Oh shit, I thought I had it backwards.
(I was, but ...... was a mistake.)","","(Crap, I thought we had outwitted you...but
it looks like that was a mistake.)"
"（伊織が雑誌を読みながら休憩しているな。
なんの雑誌を読んでるんだ？）","","(I see Iori is taking a break while reading a magazine.
(What magazine are you reading?)","","(Iori's taking a break while reading her magazine.
What kind of magazine are you reading?)"
"伊織、何を読んで……って、情報誌か。
なにか知りたいことでもあるのか？","","Iori, what are you reading ......, an information magazine?
Is there something you want to know?","","Iori, what are you reading... Wait. An information magazine?
Is there something you want to know?"
"ルミナスのメンバーで行けそうな場所を探してるの。
息抜きにもなるしね。アンタ、いい案ない？","","I'm looking for a place where I could go with Luminous members.
I'll take a break from it.","","Luminous and I are looking for a place to go.
It's a good way to relax. Do you have any ideas?"
"（ルミナスのみんなで行けそうなところ、か……）","","(Where everyone in Luminous could go, or ......)","","(A place where everyone from Luminous could go, huh...)"
"ショッピングモール","","shopping mall","","Shopping mall"
"動物園","","zoo","","Zoo"
"噴水広場","","fountain square","","Fountain Square"
"ショッピングモールなんてどうだ？
みんなで買い物するのも楽しそうだしな","","How about a shopping mall?
And it would be fun to shop together.","","How about a shopping mall?
It seems like it'd be fun shopping with everyone."
"あら、なかなかいいアイディアじゃない！
今度遊びに行く時の参考にするわ、にひひっ♪","","Oh, that's a pretty good idea!
I'll use it as a reference next time I go to visit. nihihihihihihi♪","","Oh, that's a pretty good idea!
Next time we go out, I'll be sure to use it as a reference.♪"
"動物園とかかな。
息抜きにもなりそうだし、どうだろう？","","Maybe a zoo or something.
It would be a good way to let off steam.","","Maybe a zoo.
It seems like it'd be a good break, so I wonder?"
"ちょっとした遠足みたいになりそうね。
まあ、悪くないんじゃない？","","Sounds like a bit of a field trip.
Well, that's not bad, is it?","","Looks like this is going to be a bit of an excursion.
Well, it's not a bad idea."
"噴水広場とか……？　広場でダンスとかしてる子も
いるから、伊織達もレッスンできるんじゃないか？","","Fountain Square or ......? Some kids dancing or something in the square.
Iori and the others can take lessons since they are there, right?","","Maybe at the fountain plaza...? There's girls dancing and
stuff in there, so Iori should be able to give them lessons."
"息抜きで遊びに行くつもりなのに、
レッスンのこと考えたら逆効果でしょ？","","I'm just going to take a break and have some fun,
It's counterproductive, isn't it, considering the lesson?","","We're going to go have fun, but thinking
about the lesson will only make things worse."
"（伊織の仕事終わり、
気分転換を兼ねて出かけることにした……）","","(Iori's end of work,
I decided to go out for a change (......)","","(After Iori's work, we decided to
go out for a change of pace...)"
"（もうこんな時間か……。
伊織も楽しんでくれたようだな）","","(Is it that time already? .......
(Iori seems to have had a good time.)","","(It's already this late...
Iori seems to have enjoyed it too.)"
"にひひっ♪　今日は楽しかったわ。この次も、
伊織ちゃんを楽しませるように。わかった？","","NIHIHI ♪ I had fun today, and next time,
Iori, please entertain Iori.","","Heheh♪ Today was fun. Next time, I'll make
sure you have a good day too! Got it?"
"今日はありがと。ま、アンタにしてはよくやったわ。
次もしっかりエスコートしなさいよねっ","","Thanks for today, well done for you.
Make sure you escort me next time, okay?","","Thanks for today. Well, you did a good job out there!
Next time, make sure to escort me properly too!"
"やあ、伊織。おはよう。
朝早いが……、今日は何か用があったのか？","","Hi Iori, good morning.
I know it's early in the morning, but ......, what did you need today?","","Good morning, Iori.
It's early... Did you need something today?"
"あら、プロデューサー。おはよう。
たまたま早起きしちゃっただけよ","","Good morning, producer.
I just happened to get up early.","","Good morning, producer.
I just happened to wake up early."
"そうか。なら少し話しながら事務所に行こうか。
そうだな……ルミナスの調子はどうだ？","","Well, then let's go to the office for a little chat.
Yeah, how's the ...... luminous going?","","I see. Then let's talk a bit while we go to the office!
Let's see... How is Luminous doing?"
"ふふん♪　このトップアイドルの水瀬伊織ちゃんが
いるんだから、ルミナスもトップ間違いなしね！","","Hmmm... this top idol, Iori Minase...
I'm sure Luminous will be at the top of the list, too!","","Heheh♪ With Minase Iori-chan here,
Luminous must be at the top too!"
"いつも通りということか。
それは良かった","","So it's business as usual.
That's good to know.","","So it's the same as always.
That's good to hear."
"そう！　だからアンタも私に負けないように
頑張りなさいよね！　無理しない程度に、だけど","","That's right! So don't let me down, you too.
You should go for it! Just don't overdo it, though.","","That's right! So do your best not to lose out
on me, okay? Just don't overexert yourself."
"ああ、一緒に頑張っていこうな","","Yeah, we're going to do great together.","","Yeah, let's do our best together."
"あら？
プロデューサーじゃない、おはよう","","Oh?
Not Producer. Good morning.","","Oh?
I'm not a producer. Good morning!"
"伊織。おはよう、
この時間に会うなんて、珍しいな","","Good morning, Iori,
It's unusual for us to meet at this hour.","","Good morning, Iori. It's rare to see
you here at this time of day..."
"そうね。朝早くから伊織ちゃんに会えるなんて、
ラッキーじゃない。今日はいいことがあるわよ","","Yes, it's great to see Iori early in the morning,
You're in luck...today is going to be a good day!","","That's right. You must be lucky to see Iori-chan so early
in the morning, you know? Something good will happen today!"
"はは、そうかもしれないな","","Ha, maybe you're right.","","Haha, you might be right."
"にひひっ♪　せっかくだから、このまま
事務所までエスコートしてもらおうかしら？","","NIHIHIHI♪ Since we're here, let's just leave it at that.
I could use an escort to the office.","","Heheh! ♪ Why don't you
escort me back to the office?"
"ああ、もちろん。
それじゃあ一緒に事務所まで行こうか","","Yes, of course.
Then I'll walk with you to the office.","","Yeah, of course.
Well then, shall we go to the office together?"
"ふふっ♪
よろしく頼むわね！","","
I'm looking forward to working with you!","","Hehe.♪
I'm counting on you!"
"プロデューサー……？
アンタ、こんな時間まで仕事してたの？","","Produced by ......?
You've been working this late?","","A producer...?
You're working this late?"
"ああ、伊織か。
仕事はもう終わって、ちょうど帰るところだ","","Ah, Iori.
I'm done with work and just about to leave.","","Ah, Iori.
The job's done, and I was just about to leave."
"ふーん……。ここのところ、プロデュース、
結構……頑張ってるんじゃない？","","Hmmm ....... produce these days,
I think you're doing pretty well .......","","Hmm... You've been doing
your best to produce it."
"伊織にそう言われると励みになるな","","It's encouraging to hear Iori say that.","","It's encouraging to hear you say that, Iori."
"ふふ、でしょう？　これからも、しっかり
励んでよね。……でも、無理はしないこと。いい？","","I'm sure you will, won't you? Keep up the good work.
Keep up the good work. ...... but don't overdo it, okay?","","Heheh, right? Do your best from now on. ...But
don't push yourself too hard or anything like that..."
"ああ、ありがとな伊織","","Yeah, thanks Iori.","","Yeah, thanks Iori."
"別に……当然のことを言っただけよ。
それじゃ、お先に。お疲れさま","","Not really. ...... I was just stating the obvious.
Good day to you.","","It's nothing... I was just stating the obvious.
Well, I'll be going now. Thanks for your hard work today。"
"（伊織に新作オレンジジュースの
キャンペーンガールの依頼が入った）","","(Iori with the new orange juice.
(Campaign Girl has been asked to be a campaign girl.)","","(Iori got a request from campaign
girl for her new orange juice.)"
"伊織、オレンジジュースが好きだったよな？
今回の仕事、まさにぴったりじゃないか","","Iori, you liked orange juice, didn't you?
This job, isn't it just perfect?","","Iori likes orange juice, right?
This job's perfect for you."
"ええ、そうよ。伊織ちゃん以上に、
この仕事に適したアイドルはいないわ！","","Yes, more so than Iori,
There is no better idol for this job!","","Yes, that's right. There is no
better idol for this job than Iori-chan!"
"そうだな。好きなものの仕事か……。
やり甲斐があるな","","Yes, a job for something you love or .......
That's worthwhile.","","That's right. The work of the things I like, huh...
Well, that's worth a shot."
"そうね、この伊織ちゃんを起用するなんて、
なかなかセンスのある企業ね♪　にひひっ♪","","I agree, I can't believe they used Iori here,
You are a company with good taste........","","That's right, hiring Iori-chan is a
pretty tasteful company♪ Nihihe.♪"
"スーパーアイドル伊織ちゃんが、このジュースを
世界一有名なオレンジジュースにしてあげるわ！","","The super idol Iori has this juice.
I'll make you the world's most famous orange juice!","","The super idol Iori-chan will turn this juice
into the world's most famous orange drink!"
"そうだな、その意気だ。それにジュースが売れれば、
伊織のチャンスにもつながるぞ！","","Yes, that's the spirit, and if it sells juice,
It's going to help Iori's chances!","","Yeah, that's the spirit. And if we can sell some juice
to her then this will be a good chance for Iori!"
"私が担当する以上、売れることは決まってるわ！
でもひとつ問題があるとすれば……それは売り方よ！","","As long as I'm in charge, it's bound to sell!
But if there's one problem with ...... it's the way it's sold!","","As long as I'm in charge, it should sell!
But if there's one problem... it is the way we sell them!"
"伊織ちゃんが普通の売り方をしても、つまらないわ♪
ねえ、なにかいい考えはないかしら？","","Iori's normal way of selling is boring... ♪
Hey, do you have a better idea?","","Iori-chan's normal selling style is boring.♪
Hey, do you have any good ideas?"
"なるほど、ちょっと変わった売り方か。
じゃあ……","","I see, a slightly different way of selling.
Then ......","","I see. That's a strange way to sell it, huh?
Then..."
"路上で伊織が配る","","Iori distributes them on the street.","","Iori distributes them on the street."
"とにかく褒める","","Anyway, praise him.","","Anyway, I'll praise you."
"いつも通り宣伝する","","Advertise as usual.","","I'll advertise as usual."
