"この気配……くんくん。
ふむ、これは亜美刑事の出番だね……！？","","This sign ...... kun kun.
Hmmm, this is where Detective Ami comes in: ......!","","This presence... *sniff* *sniff*
Hmm, it's Detective Ami's turn...!?"
"そうだな、亜美がいなくて……
ちょっとだけ、物足りなかったかもしれないな","","Yes, Ami is missing: ......
Maybe I was a little underwhelmed.","","That's right, without Ami...
Maybe I wasn't quite satisfied."
"すごく良かったぞ！
もう少しいたかったくらいだ","","That was very good!
I just wish I could have stayed a little longer.","","That was really good!
I wish I could have stayed a little longer."
"もう少しアメリカにいたい？
亜美というものがありながら、なんてことをー！","","Would you like to stay in the U.S. a little longer?
What a thing to have an Ami!","","Do you want to stay in America a little longer?
Ami is here, but what a thing to say-!"
"亜美は兄ちゃんが帰ってくるの、
楽しみに待ってたのになー","","Ami's brother is coming home,
I was looking forward to it.","","Ami was looking forward
to your return, too."
"はっ！　もしかして兄ちゃん、アメリカに
イイヒトが！？　ヒトヅマなのに浮気したのー！？","","Could it be that my brother is in the U.S.?
I'm a good guy! I'm a human being and he cheated on me!","","Wait! Don't tell me there's a good guy in America?!
You cheated on him, even though he's a human?!"
"誰が人妻だ！　まったく……色々誤解が
生まれそうな発言はやめておこうな","","Who's a married woman?
Let's not make statements that could be born.","","Who are you calling a married woman?! Jeez... Let's
not say things that could lead to misunderstandings."
"亜美は俺がアメリカに行っている間、
どうだったんだ？","","Ami while I was in the US,
How did it go?","","How was Ami while
I was in America?"
"兄ちゃんがいない間も、亜美はウルトラ
スーパーアイドル道を突き進んでたよー！","","While my brother is away, Ami is still an ultra
I was going down the super idol road!","","Even when you weren't around, Ami went
on to become an Ultra Super Idol!"
"もう兄ちゃんがびーっくりするくらい！
アイドルを越えてスパドルになっちゃって大変だよ","","My brother is already freaking out!
It's hard because she's gone beyond being an idol and become a spadol.","","Enough to make my brother flinch!
It's hard to go beyond being an idol and become a spadle."
"す、スパドル？　スーパーアイドルのことか？
……うん、亜美も頑張ってたんだな","","Spadoll? You mean Super Idol?
...... Yeah, Ami did a great job.","","S-Spador? You mean Super Idol?
...Yeah, Ami's been working hard, too."
"モチのロンだよ！　でもでも、また兄ちゃんと
タッグを組んじゃうと、亜美爆走しちゃうかも～♪","","Of course! But I'll be with my brother again.
If we tag-team, Ami might have a blast!","","Of course! But, but, if I team up with my brother
again, I'll probably end up running away from Ami! ♪"
"爆走か。亜美のために仕事をとってくるから、
また一緒に頑張っていこうな！","","I'll go get a job for Ami,
Let's work together again!","","So it's time for the big bang. I'm going to get some
work for Ami, so let's do our best together again!"
"アイアイサー♪　まかせて、兄ちゃん！
亜美のハイパーウルトラアイドル道に続けー！","","I'll take care of it, brother!
Follow Ami's hyper-ultra-idol path!","","Aye aye! ♪ Leave it to me, bro!
Follow ami's hyperultra idol path!"
"（再会の喜びでテンションが高いけど、相変わらず
亜美らしく元気でよかった）","","(I'm excited to see him again, but he's still the same.
(I'm glad she's doing well, as is Ami.)","","(I'm happy to see her again, but
I'm glad she's as energetic as ever.)"
"（ふぅ……少し疲れたけど、事務所でもう少し
書類を作ってから帰るとするか……ん？）","","(Phew ...... a little tired, but a little more in the office.
I'll do the paperwork and then go home. ...... hmm?)","","(Phew... I'm a little tired, but I guess I'll make some
more paperwork in the office before heading home... Hm?)"
"ふんふんふーん♪　あ、兄ちゃんおかえりん！
まだお仕事？　忙しいねぇー","","Mmm-hmm... ♪ Oh, brother, welcome back!
Are you still working? You're so busy!","","Hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-h-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm
Are you still at work? You're so busy-"
"スーパーな亜美をハイパーウルトラにするため
がんばってくれたまえ！　うむ！","","To make the super Ami into a hyper ultra.
Good luck!","","Do your best to turn the
super Ami into hyper-ultra!"
"亜美か、なにをしているんだ？","","Ami, what are you doing?","","Ami, what are you doing?"
"べっつにー？　亜美はアイドルならぬアミドルとして
日々トックンをしているのであーる！","","Ami is not an idol, but an amidol.
I am tokkun every day!","","Not really? Ami is not an idol, she's a middle-aged
woman, and she thumps on a daily basis!"
"（怪しすぎる……！　さては亜美、
イタズラを仕掛けたな。まずは引き出しから……）","","(Too suspicious ......!) Well, Ami,
(You set up the prank, starting with the drawer: ......)","","(That's way too suspicious! Ami must have pulled
a prank on me. I'll start with the drawer...)"
"おおっ！？
……と、引き出しにはおもちゃのネズミか","","Oh!
...... and in the drawer is a toy mouse or","","Ohhh!?
...Oh, there's a toy mouse in the drawer."
"ちぇ～。ひっかからないでやんの～。アメリカ帰りの
兄ちゃんは、ヒトアジフタアジ違うなー","","He didn't fall for it...he's back from the U.S.
You're different from me, brother.","","Damn. Don't fall for it. You're a different
breed of horse mackerel on your way back from America"
"あっ！　もしかして兄ちゃん、アメリカで極秘の
ビックラポンなシュギョーをしたの！？　","","Ah! Could it be that my brother is in the U.S. on a top-secret
I did a biglapon shugyo!","","Ah! Did you do a top-secret
surprise training in America?!"
"いや、極秘の修行っていうか、
そんなことしなくても……","","No, it's more like a top-secret training,
You don't have to do that. ......","","No, I don't think you
need to do that..."
"何度もやられている
から気づく","","They've done it to me many times.
Recognize it from","","I've been hit so many
times, I've noticed."
"亜美の行動は予測が
ついている","","Ami's behavior is predictable.
have","","Ami's actions
are predictable."
"ワンパターンだから
慣れた","","Because it's a one-track mind.
familiar","","It's a pattern.
I'm used to it."
"さすがに何度もやられているからな。
俺だって、気づくぞ","","You're right, they've done it too many times.
I'd notice it, too.","","I've been beaten so many times already.
I'll notice, too"
"んっふっふ～、バレるのなんて最初から
ガッテンショーチノスケだもんねー！","","Hmmm~, I knew from the beginning that I would be found out.
It's a gutten-shot chinosuke, isn't it?","","Heh heh heh, you're always so stubborn
when it comes to being found out!"
"久しぶりのイタズラに兄ちゃんがちゃーんと
対応できるか、テストしただけなのだー！","","It's been a long time since I've been pranked, and my brother is a chan.
We were just testing to see if we could handle it!","","I was just testing to see if you'd be
able to handle my first prank in a while!"
"しかしサスガは兄ちゃん！　パワーアップして
帰ってきたのだな、褒めてつかわすぞよ","","But, brother, power up!
You're back. Let me give you a compliment.","","But Sasuga is my brother! You've powered
up and come back, I'll praise you."
"あ、ああ……褒められて、光栄です？","","Oh, oh ...... I am flattered and honored by the praise?","","Y-Yeah... It's an honor to be praised?"
"亜美の行動は予測できるよ。俺は対亜美限定の
予測機能をバージョンアップしたんだ","","I can predict Ami's behavior, I'm just anti Ami only.
They upgraded the predictive function.","","I can predict Ami's actions. I've upgraded
the anti-Ami prediction function."
"亜美限定のバージョンアップー！？
よく分かんないけど、す、すごい強そう！","","Ami-Limited Version Upgrade!
I don't know, but it looks really strong!","","Ami's limited edition version up?!
I don't really get it, but it looks really strong!"
"もしやあーんなことやこーんなことも全部
バレちゃってる！？","","If all this and all that...
I've been found out!","","He knows
everything about me!?"
"そうかもしれないな。
というかイタズラもほどほどにするんだぞ？","","Maybe so.
I mean, pranks in moderation, right?","","Maybe you're right.
And don't tease me too much, okay?"
"あのな、亜美。
さすがにワンパターンだから慣れてくるぞ","","You know, Ami.
You're right, it's a pattern. You'll get used to it.","","Hey, Ami.
You'll get used to it. It's a pattern."
"ま、まさかの……ダメ出し！？
うあうあ～！　ワンパターンとか、傷つくよー！","","No way, ...... no good!
Aaahhhhh~! One pattern or another, it's hurtful!","","I-It can't be... It's no good?!
Uwaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
"兄ちゃんのワビシイひとことで、
亜美は、亜美は……大ダメージだよ～っ！！","","With one wabishy word from my brother,
Ami, Ami is ...... doing a lot of damage~!","","Ami, Ami, you're... You're taking a lot of
damage from my brother's lousy words!!"
"ワビシイ……？　厳しいって言いたいのか？
ダメ出しってほどでもないだろう……","","Wabishy ......? You want to say tough?
It's not so much a bad idea as a bad idea. ......","","Apologetic...? Are you trying to say it's harsh?
I don't think it's a bad idea..."
"（まったく……。　ん？　不自然に膨らんだ
クッションが椅子の上に……）","","(Totally ....... Hmm? Unnaturally inflated.
(Cushion is on the chair: ......)","","(Honestly... Hm? There's an unnaturally
swollen cushion on the chair...)"
"よいしょっと。
クッションも移動して、と","","Oops.
And move the cushions, too.","","There we go.
Move the cushions, too."
"あぁっ！　椅子のクッションも避けちゃった～！
もう、兄ちゃん、つまんない～っ！","","Aah! I avoided the chair cushions too!
Oh, brother, you're so boring!","","Aaah! I dodged the cushions on the chair, too!
Geez, you're no fun!"
"そう何度も引っかから――","","I'm not going to get caught so many times--","","I've been caught so many times――"
"うわああっ！　な、なんだ、今ふにってしたぞ！？
何を踏んだんだ……！？","","Oh, what the heck, you just squeezed me!
What did you step on ......!","","Uwaaaaa! Wh-what? Did I just get soft!?
What did I step on......!?"
"んっふっふっふ～♪","","Mmmmmmmm~♪","","Nfu-fu-fu-fu~"
"机の下にヘビのおもちゃが！？
これを踏んだのか……","","There's a snake toy under my desk!
You stepped on this: ......","","There's a toy snake under the desk!?
So you stepped on this..."
"やったーー！　だーいせーいこーう♪","","Yay!","","Yay! Let's go, let's go!"
"『うわああっ！！』だって～♪
兄ちゃん、メッチャびびってる～！","","He said, ""Oh, my God!
My brother is so scared!","","『Uwaaaaa!!』I can't help it!
You're freaking out like crazy!"
"んっふっふ～！　２段トラップならぬ、
３段トラップに見事ひっかかりましたなぁ～","","Hmmm~! Not a two-step trap,
You've fallen for the 3-step trap!","","Heh heh heh! You fell for a
three-tiered trap, not a two-tiered one."
"やられた……","","I've been hit: ......","","I've been taken out..."
"アメリカで極秘シュギョーしてきたわりには、
兄ちゃんもまだまだですのぉ","","Instead of having been a top-secret shugyo in the US,
You're not ready yet, brother.","","For someone who's trained in top-secret arts in
America, you've still got a long way to go, onii-chan"
"兄ちゃん、油断タイテキだよ☆　イタズラを
お届けする素敵ムテキの亜美なのであったー！","","Brother, be on your guard!
Ami, the lovely Muteki, will bring you the best of both worlds!","","You're so careless, big brother! ☆
You're the wonderful Ami who brings mischief!"
"次回、『兄ちゃんびっくりして腰を抜かす！』を
お届け！　お楽しみに～♪","","Next time: ""Surprise me, brother, and I'll sit up!
We'll bring it to you!","","Next time, I'll deliver
'Nii-chan, you scared me!'! ♪"
"こら亜美、次回はないぞ！
不穏な予告をするんじゃない","","Hey Ami, there won't be a next time!
Don't give disturbing notice.","","Hey, Ami, there won't be a next time!
Don't make any disturbing announcements."
"（行ってしまった……。イタズラもレベルアップ
しているな……気を引き締めよう）","","(Gone to ....... Mischief is also Leveled up.
(You're doing it. ...... brace yourself.)","","(He's gone... He's leveling up his pranks,
too... I'd better stay alert.)"
"お疲れ様でしたー☆","","Thank you for your hard work ☆.","","Thank you for your hard work☆"
"亜美ちゃん、お疲れ様～！","","Thanks for your hard work, Ami!","","Good work, Ami-chan!"
"（うん……。今日の亜美はなかなか良かったぞ。
俺が研修に行っている間も、成長していたんだな）","","(Yeah ....... Ami was pretty good today.
(You've been growing while I've been training you.)","","(Yeah... Ami was pretty good today.
She must have grown up while I was training.)"
"あ、亜美ちゃんのプロデューサーさん、
お疲れさまです！","","Ah, Ami's producer,
Thanks for your time!","","A-Ami-chan's
producer, good work today!"
"お疲れさまです。
いつも亜美がお世話になっています","","Thanks for your time.
Ami always takes care of me.","","Thank you for your hard work.
Thank you for always looking after ami."
"いえいえ、こちらこそ。
亜美ちゃん、すごくしっかりしていますね～","","No, no, it's my pleasure.
Ami, you are so solid!","","No, no. I should be thanking you.
Ami-chan, you're so reliable~"
"亜美ちゃんの仕事っぷりは大人顔負けです！
自分も勉強になりますよー","","Ami's work ethic is as good as an adult's!
I'm learning a lot myself!","","Amichan's work ethic is better than an adult's!
You'll learn a lot from me, too."
"ありがとうございます、また是非お願いします","","Thank you very much and we hope to see you again!","","Thank you very much. Please come again"
"（仕事帰り、亜美と公園に
寄って帰ることにした……）","","(After work, Ami and I went to the park.
I decided to stop by and leave (......)","","(Ami and I decided to stop
by the park after work...)"
"亜美がきちんと仕事をしていたって、スタッフさんが
褒めていたぞ。大人顔負けですね、って","","The staff said Ami was doing her job properly.
He complimented her, saying she was just as good as an adult.","","The staff said that Ami was doing her job properly.
They said she looked like an adult."
"んっふっふ～♪
とうとうバレてしまったようだね……","","Mmm-hmm~♪
Looks like you've finally been exposed: ......","","Hehehe~♪ Looks like we've
been found out at last..."
"兄ちゃん！　どうやら亜美は覚醒進化して
超絶アイドル双海亜美になったようなのだよ！","","Brother! It seems that Ami has evolved to be an awakening.
It's like being the super idol Ami Futami!","","Onii-chan! It looks like Ami has awakened and
evolved to become the transcendent idol Futami Ami!"
"超絶アイドル亜美は大人顔負けだから、
もっと大人っぽい仕事もこなせるかもよ！","","Ami, the super idol, is an adult face,
Maybe you could do some more mature work!","","Ami is a transcendental idol, so she'll probably
be able to do more adult-like work!"
"ん？　待て亜美、大人顔負けっていうのは、
大人っぽいって意味じゃないぞ","","Wait, Ami, you can't say I look like an adult,
And I don't mean in a mature way.","","Hm? Wait, Ami, I don't mean that
you're acting like an adult."
"また兄ちゃんは、亜美をだまくらかそうとしてー。
大人に負けない大人っぽさってことでしょ？","","Again, the older brother tried to trick Ami.
You mean as mature as an adult, right?","","You're trying to deceive Ami again.
You're just as mature as the adults, aren't you?"
"いやいや……","","No, no, no. ......","","No, no, no..."
"大人顔負けな亜美なら、せくしーで大人な
グラビアだってできちゃうかも♪","","If you're Ami, you're a grown-up, you're a sesquicentennial, you're a grown-up.
I might even be able to do gravure!","","If you're the mature one, you might even be
able to pull off some sexy, mature swimsuits."
"兄ちゃん！
大人な亜美には、どんなお仕事がオススメ？","","Brother!
What kind of job would you recommend for the mature Ami?","","Brother!
What kind of work do you recommend, Ami?"
"亜美にオススメの仕事か……。
そうだな……","","Is this a job recommendation for Ami or .......
Yes. ......","","A job that's recommended to Ami, huh...
Yeah, you're right"
"グラビア撮影","","photogravure","","Gravure photography"
"化粧品の広告","","Cosmetics Advertising","","Cosmetics ads"
"お菓子の広告","","Confectionery advertisements","","Snack ads"
"仕事よりレッスン","","Lessons before work","","More lessons than work."
"グラビア撮影とかしてみるか？
とはいえ、亜美らしいグラビアってことで……","","You want to do a gravure shoot or something?
However, it is a gravure that is typical of Ami. ......","","Do you want to take a picture?
That said, it's a very Ami-like swimsuit..."
"グラビア！？　やったー！！　さっすが兄ちゃん♪
せくしーで大人なグラビアでファンをノーサクだね！","","Gravure? Yes!
It's a sekushi-y, mature gravure and no-sucking fans!","","Gravure?! Yay! That's my brother! ♪
He's a sexy adult with no fan base!"
"悩殺な。あとグラビアもセクシー路線というより、
等身大の亜美の撮影がいいと思ってだな……","","Also, the gravure is more like a sexy line,
Thought you might like a life-size Ami shot: ......","","Don't worry about it. Also, I thought a life-size photo
shoot of Ami would be better than sexy lines..."
"大人顔負けな亜美の等身大ってことは、
せくしーってことじゃないの？　なんでー？","","I mean Ami's life-size with an adult face,
Don't you mean ""Sekushi""? Why?","","Ami's life-size face is better than an
adult's. Doesn't that mean she's sexy? Why?"
"化粧品の広告とかかな。
たとえば……","","Maybe an ad for cosmetics.
For example, ......","","Like an ad for cosmetics.
For example..."
"化粧品！？　大人っぽい！　大人っぽいよー！
大人顔負けな亜美にピッタシの仕事だね♪","","Cosmetics! It's so mature! It's so mature!
This is the perfect job for Ami, who is as mature as an adult.","","Cosmetic?! That's so mature! It's so mature!
It's the perfect job for someone as mature as Ami~"
"いわゆる、ティーン向けのプチプライスコスメとかが
いいんじゃないかと思ってだな……","","So-called petit-price cosmetics for teenagers.
I thought it might be a good idea. ......","","I'm thinking of a teen-oriented
petite-pourish-pourish-spoiler."
"ティーン向け？　亜美と同じくらいの子たち
向けってことー？　なんでなんでー？","","Teens? Kids about Ami's age.
For? Why, why, why?","","For teens? You mean for kids
around Ami's age? Why, why?"
"お菓子の広告かな。
亜美の好きなお菓子とかで、取ってこようか？","","Maybe an ad for candy.
Shall I go get some of Ami's favorite snacks or something?","","I wonder if it's an ad for sweets.
Should I go get some of Ami's favorite snacks?"
"お菓子？　それは嬉しいけど、もっと大人な……
ほら、せくしーグラビアとかがいいんじゃなーい？","","Sweets? That's nice, but more mature ......
Look, wouldn't you like some sekushi-gravure or something like that?","","Snacks? I'm happy to hear that, but they're more mature...
Hey, wouldn't sexy gravure be better?"
"いいのか？　お菓子の広告に出ると、
そのお菓子がたくさんもらえるかもしれないぞ？","","Are you sure? I'm going to be in an ad for candy,
You might get a lot of that candy, you know?","","Are you sure? You might get a lot of
those sweets if you advertise them."
"うぐっ！　兄ちゃんってばヒキョーな手を……！
でもでも亜美、もっと大人っぽい仕事もしたいよー！","","Ugh! You've got a hick move, bro. ......!
But but Ami, I want to do more mature work too!","","Ugh! You're such a meanie!
But, but, Ami, I want to do something more mature!"
"仕事よりレッスンだな。
そもそもセクシーは亜美にはまだ早い","","It's more of a lesson than a job.
To begin with, Ami is not ready for sexy.","","More lessons than work.
To begin with, it's too early for ami to be sexy."
"えーっ！　早いなんてことはないないなーい！
亜美はもう、せくしーグラビアできるかんね！","","Eek! There's no such thing as early!
Ami can already do Sekushi gravure!","","Ehhhhhhhhhhhhhhhhhhhhhhhhhhh!
Ami can do sexy pictures now!"
"いや、元は大人顔負けの仕事っぷりって話だった
はずだけど……話がずれていっているな……","","No, I was originally talking about working as hard as an adult.
It should be ...... but you're getting off topic ......","","No, I'm pretty sure I was supposed to be acting like
a grown-up at first, but this is getting off topic"
"あのな、そもそも無理に大人な仕事をするより、
亜美は今の亜美らしい仕事のほうがいいと思うぞ","","You know what, instead of forcing yourself to do a mature job in the first place,
I think Ami would be better off doing what Ami does now.","","You know, I think you'd be better off doing what you're doing right
now, rather than trying to force yourself to do adult work."
"またまた～。そんなこと言っちゃって～。
兄ちゃんたらセンスナンセンスなんだぞ☆","","Again~ I said that~.
You're a nonsense man, brother!","","Oh, come on, don't be like that  
You're such a good-for-nothing☆"
"ホントは亜美が大人になっちゃったから、
兄ちゃんショックなんでしょ～？","","It's really because Ami has grown up,
You're in shock, aren't you, brother~?","","You're in shock because you're
an adult now, aren't you?"
"ん？　いや、そんなことは……","","Hmm? No, I don't think so. ......","","Hm? No, that's not..."
"安心したまえ、兄ちゃん！　亜美がどんなに大人に
なっても、兄ちゃんは兄ちゃんだからね♪","","Rest assured, brother, no matter how mature Ami is.
Even if you are, you're still my brother... ♪","","Don't worry, big brother! No matter how old
Ami gets, you'll always be her big brother!"
"兄ちゃんが弟くんになることはないから！
亜美の兄ちゃんは、兄ちゃんだー！","","Because big brother will never be little brother!
Ami's brother is a big brother!","","There's no need for you to be my brother!
Ami's brother is my brother!"
"でも兄ちゃんに、亜美の大人のミリキを
分かってもらえないなら、仕方ない……","","But to my brother, Ami's adult Miriki.
If you don't understand, I don't blame you: ......","","But if you don't understand Ami's mature side
of me, then I guess I have no choice..."
"ミリキじゃなくて、魅力な。
というか弟にはどうあがいてもならないからな","","Not Miriki, but charm.
I mean, there's no way I'm going to let my brother get away with it.","","It's not Miki. It's alluring.
Or rather, I can't help but struggle with my brother."
"ここはパワーアップした亜美ちゃんのイタズラで、
兄ちゃんには、ドギモを抜いてもらうぞー！","","Here's a power-up Ami's prank,
I'm going to have my brother pull out his dogimo!","","This is Ami-chan's power-up prank, so I'm
going to have you pull out your doggie!"
"わ、わかった！　亜美がきちんとレッスンをしたら、
グラビア撮影の仕事を取ってくるよ","","If Ami gives a proper lesson,
I'll get you a job at the gravure shoot.","","O-Okay! I'll go get a photo shoot job
once you've given it a proper lesson."
"やったー！　さっすが兄ちゃん！
大人な亜美にふさわしいアダルトな兄ちゃんだね！","","Yay! That's great, brother!
You are an adult brother worthy of the adult Ami!","","Yay! That's my brother!
You're a mature older brother who's fit for an adult like ami!"
"亜美めーっちゃレッスンがんばるから！
兄ちゃんもぜーったいに、仕事とってきてね！","","Ami, I'm going to work really hard on my lessons!
I'm sure you'll get the job, too, brother!","","Ami will do her best at lessons!
You be sure to get a job too, okay?"
"んっふっふ～♪　大人顔負けのグラビアで
超絶アイドル亜美のさらなる幕開けなのであーる！","","I'm a gravure star who looks as good as an adult.
It is the further opening of the superb idol Ami!","","Heh heh heh! ♪ It's the opening act of Ami, the transcendent
idol, in a gravure that puts the adults to shame!"
"（亜美はすっかりやる気になっているな……。
ここはビジュアルのレッスンをやってもらうか……）","","(Ami is totally motivated. ......
(You can have them do a visual lesson here: ......)","","(Ami's really getting into it...
I guess I'll have to have her give me a visual lesson...)"
"（亜美がちゃんとレッスンを頑張ったので、
約束通りグラビアの仕事を取ってきてみたが……）","","(Ami did a decent job with her lessons,
I got the gravure job as promised (......).","","(Ami did her best with her lessons, so I went
to get her a gravure job as promised, but...)"
"亜美ちゃん、次は視線外してみようか","","Ami, next time, let's remove your gaze.","","Ami-chan, let's look away next."
"はい、おまかせあれー☆","","Yes, leave it to me!","","Okay, leave it to me☆"
"うん、いいね！　それじゃ次はカメラに嬉しそうに
笑って見せて……そう、いいね！","","Yeah, great! So next time, look happy for the camera.
Smile and show me ...... yes, that's good!","","Okay, that's good! Next time, show the
camera a happy smile... Yeah, that's good!"
"もう少し動きを感じるようなポーズで……
うん、亜美ちゃんは勘がいいんだね","","Pose to feel a little more movement: ......
Yeah, Ami, you have good instincts.","","I need to strike a pose where I can feel her movements a little more...
Yeah, you're pretty perceptive, Ami-chan."
"えへへ～♪
亜美、やればできる子だかんね～♪","","Ehehe~♪
Ami, you can do it!","","Ehehe~ Ami can do
it if she tries~"
"（亜美のグラビア、なかなかいいじゃないか！）","","(Ami's gravure, not bad!)","","(Ami's gravure is pretty good!)"
"お疲れサマサマサマ～☆
グラビア撮影楽しかった！","","Good work samasama~☆☆☆!
The gravure shoot was fun!","","Good work, Masamasa~☆ I had a lot of fun
taking pictures of you in those pictures!"
"それに兄ちゃん！　約束どーり、グラビアの仕事を
とってきてくれて、ゴクロウであーる！","","And you, my brother! You promised me a job in Gravure, just like you said you would.
I was so happy to see him!","","And hey, mister! Thanks for
gettin' me that gravure job!"
"兄ちゃんの努力をネギってしんぜようー！","","Let's take my brother's efforts and put them to good use!","","I'm going to use your hard work as a spring onion!"
"ねぎらう、だな。亜美がレッスンを頑張ったから、
俺も約束を守っただけだよ","","Ami did her best in the lesson,
I was just keeping my word, too.","","I'd like to thank you. I just kept my promise
because you worked so hard at your lessons."
"えへへ、亜美、めちゃんこ頑張ったっしょー☆
なんたって超すごい亜美ちゃんだかんね！","","Hehehe, Ami, you worked so hard!
After all, Ami is super amazing!","","Ehehe, Ami, Me-chan did her best☆
After all, Ami-chan is super amazing!"
"ねえねえ兄ちゃん、今日の亜美、どうどう？
サイコーにせくしーだった？","","Hey, hey brother, how is Ami today?
Was it the most sekkoshi-ish?","","Hey, hey, how's Ami doing today?
Were you having sex with her?"
"そうだな……
今日の撮影中の亜美は……","","Yes. ......
Ami during today's shoot can be found at ......","","Yeah, you're right  
During the filming today, Ami..."
"自然な亜美だった！","","It was natural Ami!","","It was natural ami!"
"期待以上だった！","","It exceeded my expectations!","","That was better than I expected!"
"みんな褒めてたぞ！","","They all praised it!","","Everyone was praising me!"
"自然な亜美だったな。ポーズも良く取れていたし、
笑顔もすごく良かったよ","","Ami was natural and well posed,
You had a really nice smile, too.","","That was a natural Ami. She struck a
good pose, and her smile was amazing."
