"（今日は春香と繁華街に、
事務所の備品を買い出しに行くことになった）","","(Today, Haruka and I went downtown,
(I had to go shopping for supplies for the office.)","","(Today, Haruka and I are going
downtown to buy some office supplies.)"
"春香の歌を知ってもらうつもりで、
パフォーマンスをすればいいんじゃないか？","","I was going to let people know about Haruka's song,
Why not just perform?","","Why don't we put on a performance
to make Haruka know her song?"
"私の歌……だけですか？
できればダンスもＭＣも見てほしいなー、なんて……","","Is it just my song ......?
I hope you can see the dance and MC if you can. ......","","Is it just...my song?
If possible, I'd like you to watch the dance and MC as well..."
"春香のちょっとドジなところも知ってもらって、
親近感を持ってもらうのはどうだ？","","Let them know that Haruka is a bit of a screw-up,
How about a little familiarity?","","Why don't we let them know that Haruka is a little
clumsy, so they can feel closer to her?"
"え、ええっ！？　せっかくライブをするなら、
もっと違ったところを見てほしいです……","","Eh, eh! If you're going to go to the trouble of performing live,
I'd like to see more different: ......","","Wh-What?! If you're going to put on a concert,
I wish someone else would see it differently..."
"なんにせよ、来てくれたお客さんみんなに
楽しんでもらえるのが一番だと思うぞ！","","Whatever it is, I'd like to thank all the guests who came.
I'm sure you'll have a blast!","","In any case, I think it's best to
have all the guests enjoy themselves!"
"お客さんに楽しんでもらえるような……。
そうですよね、それが一番大事ですよねっ！","","You can find more information on ...... for your customers to enjoy.
Yes, that is the most important thing!","","So that the customers could enjoy it...
That's right, that is the most important thing!"
"ありがとうございます、プロデューサーさん！
私、今度のミニライブ、頑張りますねっ♪","","Thank you, producer!
I, for one, will do my best for the upcoming mini-live......................","","Thank you so much, Mr. Producer!
I'll do my best at the next mini-concert!♪"
"（仕事の帰り道、
ふと春香が街中のビジョンに釘付けになった）","","(On the way home from work,
(Suddenly Haruka was glued to a vision of the city.)","","(On the way home from work, Haruka was suddenly
captivated by visions all over town.)"
"今流れてた曲、すっごくよかったですね！
今度カラオケで歌いたいなぁ","","The song that was just played was really good!
I want to sing it at karaoke next time.","","That song you were playing just now was really great!
I want to sing at karaoke sometime."
"そういえば春香はカラオケが趣味だったな","","Come to think of it, Haruka enjoys karaoke.","","Come to think of it, haruka's hobby is karaoke."
"はい♪　お休みの日には、よく地元の友達と一緒に
行ったりして……毎回すごく盛り上がるんですよ！","","Yes...Â On my days off, I often go with my local friends.
We go to ...... and it gets very exciting every time!","","Yes♪ I often go with my local friends on
days off... It's really fun every time!"
"でもたまには気分を変えて、違うメンバーで行っても
楽しめそうですけど……","","But sometimes I change my mind and go with different members.
I think you'll enjoy it, though: ......","","But sometimes, I feel like it'd be
fun to go with a different group..."
"なるほど。
じゃあ今度カラオケに一緒に行くなら……","","
Then next time you want to go to karaoke with me: ......","","I see.
Then next time we go to karaoke together..."
"ルミナスのみんな","","Everyone in Luminous","","Everyone in Luminous."
"７６５プロの
みんな","","The 765 Pro's
everyone","","765
professionals."
"千川さんや
七草さん","","Senkawa-san and
Festival of Seven Herbs","","Chikawa and
Nanakusa."
"ルミナスのみんなとはどうだ？","","How's it going with everyone at Luminous?","","How's it going with the rest of Luminous?"
"いいですねっ♪　ルミナスのみんなと一緒なら、
とっても楽しくなりそうですし、刺激になります！","","I like it.......................with everyone at Luminous,
It is going to be very fun and stimulating!","","That sounds great! ♪ It'll be really fun and
exciting with everyone from Luminous around."
"７６５プロのみんなとはどうだ？","","How's it going with all the 765 Pro?","","How's it going with the 765 Pro?"
"そうですね。でもせっかくなら、ルミナスの
メンバーの子たちとも行きたいなーって……","","Yes, but if you're going to go to all this trouble, you might as well use Luminous's
I was thinking I'd like to go with some of the member's kids too: ......","","That's true, but I thought it would be nice
to go with the girls from Luminous..."
"千川さんや七草さんはどうだ？","","What about Mr. Chigawa or Ms. Nanakusa?","","What about chikawasan and nanakusa?"
"え、ええっ！？　えーっと……楽しそうですけど、
少し緊張しちゃうかも……？","","Eh, eh! Well, ...... looks like fun, though,
I might get a little nervous ......?","","Wh-What?! Umm... You look like you're having fun,
but I think it might make me a little nervous."
"いろんな人とカラオケに行ってみるのも、
その人の新しい一面が見られて、面白いかもな","","You can also try karaoke with various people,
It would be interesting to see a new side of that person.","","Going to karaoke with all kinds of people might be fun.
It'll give you a new perspective on that person, too!"
"えへへっ、それじゃあ今度、みんなのことを
思い切って誘ってみようかな","","Ehehe, I'll get back to you guys next time.
I'm going to go out on a limb and ask him out.","","Hehe, I'll have to ask
everyone out next time."
"もちろんその時は、プロデューサーさんも
一緒ですよ！　予定、空けててくださいねっ♪","","Of course, at that time, Producer
We're with you! Please keep your schedule open.","","Of course, we'll have Producer with us when that
time comes! Make sure you leave your schedule open.♪"
"（事務所に戻ると、
春香が熱心にテレビを見ていた）","","(Back at the office,
(Haruka was watching TV intently)","","(When I got back to the office,
Haruka was watching TV intently.)"
"何か面白い番組でもやっているのか、春香？","","Are you doing some kind of interesting show, Haruka?","","Is there some kind of interesting show on, Haruka?"
"あ、プロデューサーさん！
今ちょうど響ちゃんがＴＶに出てるんです！","","Oh, Mr. Producer!
Hibiki-chan is on TV just now!","","Oh, it's Producer!
Hibikichan is on tv right now!"
"お、本当だ。そういえば今日が放送日だったか","","Oh, really, come to think of it, today is the day of the broadcast.","","Oh, you're right. Come to think of it... Today was broadcast day?"
"はい。編み物特集に出てるみたいで……
すごいですよね！","","Yes, it looks like I'm on a knitting special: ......
It's amazing, isn't it?","","Yes. It seems to be featured in a knitting feature...
Isn't it amazing?"
"私、編み物はあまり得意じゃなくて……
どうやったらできるようになるでしょうか？","","I'm not much of a knitter. ......
How can I do this?","","I'm not very good at knitting...
How can we do that?"
"そうだな、編み物ができるようになるには……","","Yes, to be able to knit: ......","","Let's see... To be able to knit, I need a lot of time."
"とにかく
たくさん作る","","anyway
make a lot of","","Anyway, I'll
make a lot."
"お母さんと
一緒に作る","","With your mother.
Make it together.","","I'll make it with
your mother."
"お母さんに
作ってもらう","","To your mother.
have someone make something for you","","I'll have your
mother make it."
"なんでもいいから、とにかくたくさん作ることかな？
習うより慣れよ、ともいうしな","","Is it to make a lot of whatever, anyway?
They say, ""Better to learn by doing than by learning by doing.","","Whatever it is, I guess we'll just have to make a lot?
They say it's more about getting used to things than learning them, after all."
"なるほど～！　頑張っていろいろ作ってたら、
そのうち上達するってことですね♪","","I see~! If you work hard and make a lot of things,
So you're saying you'll get better at it. â","","I see! So if you work hard and make lots of
different things, then eventually it'll get better.♪"
"お母さんと一緒に作るのはどうだ？
やっぱり上手な人の近くで習うのがいいんじゃないか","","How about making one with your mom?
I guess it's better to learn near someone who is good at what they do.","","Why don't you make it with your mom?
I think it's best to learn from someone who is good at this."
"そうですね。でもせっかくならお母さんに頼らずに、
自分の力でできるようになりたいな～","","Yes, but if you're going to go to all this trouble, don't rely on your mother,
I wish I could do it on my own!","","That's true. But I want to be able to do it
on my own without relying upon you, Mommy-san~"
"いっそのこと、自分で作るのは諦めて、
お母さんに作ってもらうのはどうだ？","","Give up on making it yourself, for one thing,
How about having your mom make it for you?","","Why don't you just give up on making it
yourself and ask your mom to make some?"
"う、う～ん。
それじゃいつまでも上達しないような……","","Ummm...
That doesn't seem to improve forever. ......","","H-Hmm...
I don't think that will ever improve..."
"春香だって、最初からお菓子作りが
上手だったわけじゃないだろう？","","Even Haruka has been making sweets from the beginning.
You weren't very good at it, were you?","","Haruka wasn't good at making
sweets from the start, was she?"
"苦手なことも、諦めずに続けていけば
いつか得意なことに変わっていくはずだ","","Even if you are not good at something, if you keep at it and don't give up
Someday it will turn into something you're good at.","","If you don't give up and keep doing things that are hard
to deal with, then one day it will become your forte."
"そっか……そうですね！
わかりました、それじゃあ今度挑戦してみます♪","","I see. ...... Yes, that's right!
Okay, I'll give it a try next time.","","I see... You're right!
All right, I'll give it a shot next time.♪"
"えへへ、もしできたらその時は、もらって……
い、いえ！　どれだけ上達したか、見てくださいね！","","Ehehe, if you can do it, then get it and ......
No, no! Look how much you have improved!","","Hehe, if it's okay with you...
N-No, it's nothing! Just look at how much I have improved."
"（みんなへの差し入れを買いに、
春香と一緒に中華街に来た）","","(To buy food for everyone,
(I came to Chinatown with Haruka)","","(I came to Chinatown with Haruka, so
we could buy snacks for everyone.)"
"わぁっ、どれもおいしそうですね！
どれにしようかな～？","","Wow, they all look delicious!
Which one shall I choose?","","Wow, they all look delicious!
Which one should I pick?"
"（買い出しに付き合ってくれたお礼に、
春香にも何か買ってあげよう）","","(Thanks for accompanying me on my shopping trip,
(Let's buy something for Haruka too)","","(I'll buy you something in return for helping me out with my shopping, Haruka. I think
that might be a good way to repay the favor of buying some things from her as well )"
"（さて、何にするか……）","","(Well, what to ......)","","(Now, what to do...)"
"中華まん","","Chinese manjuu","","Chinese steamed bun"
"アイス","","ice cream","","Ice cream."
"食玩","","premium","","Shokugan"
"春香、買い出しに付き合ってくれたお礼だ","","Haruka, thank you for helping me out with the shopping.","","Haruka, here's a little something for helping me out with my shopping today."
"ありがとうございます、プロデューサーさん！
あちち……ふふっ、おいしそうです♪","","Thank you, producer!
Achchi...... phew, that looks delicious...","","Thank you so much, Mr. Producer!
Ouch... Hehe, it looks delicious.♪"
"（よし！　すごく喜んでくれているな……！）","","(Okay! You're making me very happy. ......!)","","(All right! She's really happy about it...)"
"ありがとうございます、プロデューサーさん。
でも、今日は……ちょっと寒いですね","","Thank you, producer.
But it's ...... a little cold today!","","Thank you very much, producer.
But... it's a little cold today."
"（うーん、あまり喜んでくれなかったみたいだ……）","","(Hmmm, I don't think he was too happy about it. ......)","","(Hmm, it doesn't look like she was very happy...)"
"ありがとうございます。食玩、かわいいですね。
でもこれ、お菓子ちょっとしか入ってないですね……","","Thank you, Shokugan, that's cute.
But this is only a little bit of candy. ......","","Thank you. Food toys are cute, aren't they?
But this is just a little snack..."
"（全く喜んでもらえなかったな……）","","(You didn't please me at all. ......)","","(She didn't like it at all...)"
"（事務所で一仕事を終えたタイミングで、春香が
一緒に食べようと、差し入れを持ってきてくれた）","","(Haruka was just finishing up a job at the office.
(He brought me some food to share.)","","(When I finished my work at the office,
Haruka brought me something to eat with us.)"
"ちょうどお腹が減っていたんだ。助かるよ。
ん……？　おやつが１個しか入っていないな……","","I was just hungry, thank you.
Hmm ......? You only have one snack in there. ......","","I'm just hungry. Thank you very much!
Hm...? There's only one snack in here."
"あ、本当ですね。みんなにも配っちゃったから……
最後の１個、プロデューサーさんが食べてください！","","Oh, it's true, I gave them out to everyone. ......
The last one, Producer should eat it!","","Oh, you're right. I gave them out to everyone...
Producer should try the last one!"
"いや、春香も食べていないんだろ？　そういうわけ
にはいかない。ここはじゃんけんで公平に決めよう","","No, you didn't eat Haruka either, did you? That's not why.
So, let's decide fairly by rock-paper-scissors-scissors.","","No, Haruka hasn't eaten either. I can never do that! We should
play rock paper scissors to decide this fair and squarely..."
"じゃーんけーん……","","Janken: ......","","Rock, paper..."
"あいこにする","","do with favor (favour)","","We'll call it even."
"勝ちをゆずる","","yield a victory","","I'll let you win."
"勝ちにいく","","go for the win","","I'm going to win."
"あいこだし、半分こにして食べないか？","","It's aiko, why don't we split it in half and eat?","","We're even. How about we split it?"
"えへへ……実は、ちょっと食べたかったんです。
ありがとうございます、プロデューサーさん♪","","Ehehe ...... Actually, I kind of wanted to eat it.
Thank you, producer. ♪","","Haha... Actually, I wanted to try some.
Thank you, producer.♪"
"（勝ちをゆずったはいいが、
春香が気まずそうだな……）","","(I'm glad I gave up the win, but...)
(Haruka looks awkward ......)","","(I'm glad we agreed to win, but
Haruka seems a little awkward...)"
"あの……！　やっぱりふたりでわけましょう！
きっと一緒に食べたほうが美味しいですよ！","","That ......! Let's still split it between the two of us!
I am sure they taste better together!","","Um...! Let's split it between the two of us after all.
I'm sure it will taste better if we eat together!"
"（やっぱり気をつかわせてしまった……
あいこを狙えばよかったな……）","","(I knew I made you feel bad ......
(I should have gone for Aiko. ......)","","(I've made her worry about me...
I should've aimed for her...)"
"（つい本気を出してしまった……。
しかし、この世は弱肉強食！）","","(I just got serious. .......
(But this world is a weak and weak world!)","","(I couldn't help but get serious...
But this world is survival of the fittest!)"
"うん！　美味い！
やっぱり疲れている時は甘いものに限るな！","","Yes! It's delicious!
After all, when you're tired, you can't go wrong with something sweet!","","It's delicious!
When you're tired, nothing beats sweets!"
"そんなに美味しそうに食べなくても……
むー……！　次は絶対負けませんから！","","You don't have to eat so good: ......
Moo ......! I won't lose next time, I promise!","","You don't have to eat it so happily...
Mmm...! I won't lose next time, no matter what."
"（おっと、やりすぎて
拗ねてしまったようだ……）","","(Oops, I overdid it.
(I think I've sulked: ......)","","(Whoops, I overdid it.
Looked like she was sulking...)"
"（事務所で春香と雑談していると、
突然クイズを持ちかけられた）","","(Chatting with Haruka in her office,
(Suddenly, I'm being quizzed.)","","(While I was chatting with Haruka in the office,
she suddenly asked me for a quiz.)"
"（どうやら最近、
ルミナス内でクイズが流行っているらしい）","","(Apparently recently,
(I hear quizzes are popular in Luminous.)","","(It seems like there's been a lot of
quizzing going on in Luminous lately.)"
"それじゃあクイズです、プロデューサーさん！
猫はどこから汗をかくでしょう～？","","Well then, here's a quiz for you, Mr. Producer!
Where do cats sweat from~?","","Let's play a quiz, producer!
Where does a cat sweat from?"
"うーん、なかなか難しいな……
けど確か……","","Hmmm, that's not so easy: ......
But I'm pretty sure it's ......","","Hmm, that's pretty difficult...
But if I remember correctly..."
"肉球","","pad","","Pulp"
"耳","","selvedge (non-fray machined edge of fabrics)","","Mimi"
"肩","","","","Shoulder"
"肉球じゃなかったか？","","Wasn't it a meatball?","","Wasn't that a paw?"
"さすがプロデューサーさん！　正解です♪
暑い時の他にも、緊張しても汗、かくんですって","","That's Producer!
In addition to hot weather, they also sweat when they are nervous.","","That's our producer! Correct.♪
It's not just when it gets hot. Even if you get nervous, your sweat will start to build up too much as well"
"（正解で喜んでもらえたみたいでよかった。
にしても、春香も詳しいな。猫、好きなのかな？）","","(I'm glad he was right and pleased.
(But Haruka seems to know a lot about cats.)","","(I'm glad she seemed to be happy that it was the right answer.
Still, Haruka sure knows a lot. Does she like cats?)"
"うーん、そうだな……耳とか？","","Hmmm, let's see... ...... ears or something?","","Hmm, let's see... What about your ears?"
"外れです！　でも、私も最初は耳だと思いました！
猫の耳って、ちょっとしっとりしてませんか？","","It's an outlier! But I thought it was an ear at first too!
Aren't cat ears a bit moist?","","That's wrong! But I thought it was an ear at first, too.
Isn't your cat ears a little damp?"
"（間違えてしまったか……。
猫の耳って、しっとりしていたっけ……？）","","(I must have made a mistake. .......
(Did I mention that cat ears are moist? ......?)","","(Did I make a mistake...?
Were cat ears moist...?)"
"肩だ！","","Shoulder!","","Shoulder!"
"ううーん、外れです。あの、ちょっと適当に
答えていませんか……？　クイズ……イヤでした？","","Ummm...it's off...umm...just a little random.
Have you answered ......? Did you like the quiz ......?","","Hmm, that's wrong. Um... Do you have an appropriate answer for me?
You don't want to do a quiz or something like this with my help?"
"（間違いだったようだ……。
春香には悪いことしたな……）","","(Looks like it was a mistake. .......
(Sorry about that Haruka, ......)","","(Looks like I was wrong...
I feel bad for Haruka...)"
"（春香の仕事終わり、
気分転換を兼ねて出かけることにした……）","","(Haruka's work is done,
I decided to go out for a change (......)","","(After Haruka's work, I decided to
go out for a change of pace...)"
"（もうこんな時間か……。
春香も楽しんでくれたようだな）","","(Is it that time already? .......
(Haruka seems to have had a good time)","","(It's already this late...
Haruka seems to have enjoyed it too.)"
"今日はありがとうございましたっ。
また連れて行ってくださいね","","Thank you very much for today.
Please take me back.","","Thank you very much for today.
Please take me again sometime."
"うーん。楽しかった～！
プロデューサーさん、今日はありがとうございます！","","Hmmm...that was fun~!
Thank you, producer, for your time today!","","Mmm, that was fun!
Thank you so much for today, producer!"
"お？　あそこにいるのは春香だな。
おーい、春香","","Oh? That's Haruka over there.
Hey, Haruka!","","Oh? That's Haruka over there.
Hey, Haruka!"
"あ、プロデューサーさん！
おはようございますっ！","","Oh, Mr. Producer!
Good morning!","","Oh, it's Producer!
Good morning!"
"おはよう、春香。
ルミナスの活動が始まったけど、調子はどうだ？","","Good morning, Haruka.
Luminous is up and running, how's it going?","","Morning, Haruka.
Luminous' activities have begun. How are things going?"
"そうですね。初めて会った子もたくさんいるので、
みんなと一緒に、楽しくやっていきたいです！","","Yes, many of them I met for the first time,
I want to have fun with everyone!","","You're right. There are a lot of people I haven't met
before, so it would be nice to have fun with everyone!"
"ああ、そうだな。
みんなでいいライブができるように、一緒に頑張ろう","","
Let's work together to make a good live show for everyone.","","Yeah, you're right.
Let's all do our best so we can have a good concert together."
"はいっ！　頑張ります♪","","Yes! I'll do my best!","","Okay! I'll do my best to help you out, then.♪"
"それじゃあ、事務所に行こうか","","Well, let's go to the office then.","","All right, let's go to the office."
"あっ！　おはようございます、
プロデューサーさ……きゃああああっ！","","Ah! Good morning,
Produced by ...... Kyaaaahhhh!","","Ah! Good morning,
producer... Eeeek!!"
"おっと！　大丈夫か、春香？","","Oops! Are you okay, Haruka?","","Whoa! Are you okay, Haruka?"
"す、すみません！　支えてもらっちゃって……。
でもおかげで助かりました、ありがとうございます","","I'm sorry, I'm so sorry! I'm so sorry for the support. ......
But thanks for the help. Thank you very much.","","I-I'm sorry! Thank you for supporting me...
But you've been a big help. Thank ya very much!"
"転ばなくてよかったよ。
改めて、おはよう春香","","I'm glad you didn't fall.
Once again, good morning Haruka.","","Good thing I didn't fall.
Good morning, Haruka."
"おはようございます、プロデューサーさん！
実は、今日は差し入れにお菓子を作ってきたんです","","Good morning, producers!
Actually, I made some snacks today to bring in.","","Good morning, producer!
Actually, I made some sweets for you today."
"よかったらプロデューサーさんも、
食べてくださいね♪","","Producers too, if you like,
Please eat... ♪","","If you'd like, please
try some.♪"
"そうか。それじゃあ事務所についたら、
早速もらうよ。さあ、行こうか","","Okay, so when I get to the office,
I'll take it as soon as I can.","","I see. Well then, once we get to the office
it'll be mine right away! Let me go now..."
"あの、プロデューサーさん！","","Um, Mr. Producer!","","Um, Producer-san!"
"ん？　どうした、春香","","Hmm? What's wrong, Haruka?","","Hm? What's wrong, Haruka."
"あの……いつもプロデュースしてくれて、
本当にありがとうございます！","","That ...... always produced for me,
Thank you so much!","","Um... Thank you so much
for always producing me!"
"お、おお……こちらこそ、いつもありがとう。
でも急にどうしたんだ？","","Oh, oh ...... thank you for everything you do, too.
But what's going on all of a sudden?","","Y-Yeah... Thank you, as always.
But what's this all of a sudden?"
"えへへ。プロデューサーさんのおかげで
毎日楽しくて……ふふ、お礼を伝えたくなったんです","","Ehehe...thanks to Producer.
I'm having fun every day ...... hmmm, I just wanted to say thank you!","","Heheh. Thanks to you, I had so much fun every day... *giggle*
It made me feel like thanking him for everything he's done!"
"だから……これからも私たちのこと、
よろしくお願いしますね、プロデューサーさん！","","So ...... us from now on,
I look forward to working with you, Mr. Producer!","","So...please take care of us
from now on, Mr. producer!"
"そうだったのか……ありがとう、嬉しいよ。
こちらこそ、これからもよろしくな","","I didn't know that. ...... Thanks, I'm glad you did.
My pleasure. Keep up the good work.","","I see... Thank you, that makes me happy.
▁I'll be counting on you, too. I hope we can continue to get along well together from here onwards"
"プロデューサーさん！　おはようございまーす！
今日も１日、頑張っていきましょうね","","Good morning, producers!
Let's have another great day!","","Good morning, producer!
Let's do our best today, too."
"プロデューサーさん、おはようございます。
今日はどんな活動をするのか、楽しみです！","","Good morning, producers.
I look forward to seeing what activities you will be doing today!","","Good morning, producer.
I can't wait to see what you do today!"
"お疲れ様です、プロデューサーさん。
明日も一緒に頑張りましょうね！","","Thanks for your help, producer.
Let's work together again tomorrow!","","Good work, producer.
Let's do our best together tomorrow!"
"今日もお疲れ様でした。
ゆっくり休んでくださいね、プロデューサーさん","","Thanks again for your hard work today.
Have a good rest, Mr. Producer.","","Good work today as well.
Rest well, producer."
"（今日は春香が出演するバラエティ番組の収録日だ）","","(Today is the day of the recording for the variety show Haruka will appear on.)","","(Today is haruka's recording day for a variety show.)"
"今日はアイドルお料理対決ですね！
やる気を充電してきましたので、頑張ります！","","Today we have an idle cooking showdown!
I have recharged my motivation and will do my best!","","Today is the idol cooking showdown!
Now that I've recharged my spirits, let me give it a shot!"
"そういえば、今日のお相手のアイドルって
どんな人なんですか？","","Oh, by the way, the idol you're dating today...
What kind of person is he?","","By the way, what kind
of idol is she today?"
