"そっかぁ。困らせちゃったんだ……。
しゅーん。ごめんね、Ｐちゃん……","","I see...I embarrassed you. ......
Shhhh...sorry, P. ......","","I see. So she's bothered you...
Whoosh. Sorry, P-chan..."
"でもね、ルミナスに選ばれたことを思い出したら、
うっきゃー☆　ってなっちゃったんだぁ！","","But, you know, if I remember that I was chosen by Luminous,
I was like, ""Geez!","","But when I remembered that Luminous had
chosen me, it made my heart skip a beat!"
"まあ、元気なことはいいことだ。
きらりの元気があればルミナスも盛り上がるだろうな","","Well, it's good to be well.
I'm sure Kirari's energy will make the Luminous more exciting.","","Well, it's good to be healthy.
I'm sure Luminous will be thrilled if she has the energy to shine."
"ほんとにぃ～！？　Ｐちゃんに褒められちゃうと、
きらりん、も～っと頑張ろうってなっちゃうゆ♪","","Really~? When I get praised by P-chan,
Kirarin, you make me want to work even harder!","","Really?! When P-chan compliments me like that,
I just can't help but want to do my best. ♪"
"ああ、きらりがルミナスのみんなを、
キラキラにしてくれることを期待しているぞ","","Ah, Kirari for all the Luminous,
I'm counting on you to make it sparkle!","","Yeah, I'm looking forward to the sparkle that will
make everyone in Luminous shine again someday."
"おっすおっす！
きらりんにおまかせあれっ！","","Hey there!
Leave it to Kirarin!","","Hey, ginsan!
Leave it to kirarin!"
"あっ……。でもぉ、キラキラのみんなをもーっと
キラキラにするの、きらりんにできるかなぁ……？","","Oh, ....... But, more sparkles for everyone!
I wonder if I can make it sparkle, sparkle ......?","","Ah... But I wonder if we can
make everyone sparkly again."
"そんな重く受け止めなくてもいいぞ。自然体の
きらりが、みんなの良い刺激になるんだからな","","You don't have to take it so seriously, it's a natural.
Kirari is a good inspiration for all of us.","","You don't have to take it so seriously. The sparkle of your
natural body will be a good stimulus for everyone, you know?"
"うきゅ？　自然体のきらりんでいいの？
うぇへへ♪　それなら、ばっちしだゆ！","","Ukyu? Are you okay with Kirari in her natural state?
Heh heh heh ♪ Well, then, I'm all set!","","Ukyu? Are you sure it's okay to be so natural-looking like that.
Heheh♪ Then let's do it!"
"あっ、そうだ！
ナイスアイディア思いついちゃった♪","","Ah, yes!
I just came up with a nice idea.","","Ah, that's right!
I've got a great idea!"
"そのためには～、Ｐちゃんにお手伝いしてほしい
ことがあるの……お願いしてもい～い？","","To that end - I need your help, P-chan!
Can I ask you to do something for me at ......?","","In order to do that, I need P-chan's help with
something... Can we ask you for a favor?"
"きらりのお願い？
ああ、無茶なことじゃなければ、聞いてあげるぞ","","Kirari's request?
Yeah, if it's not too crazy, I'll listen.","","A wish?
Yeah, if it's not too much trouble I can hear you out for a bit."
"それじゃ～あ、ルミナスのみんなを、
キラキラにするためのヒントがほすぃなぁ～って♪","","So~oh, I'll take everyone in Luminous,
I wish I could get some tips on how to make it sparkle.","","Well then, I'd like a hint to make
everyone in Luminous shine. ♪"
"キラキラにするためのヒント？","","Tips for making it sparkle?","","A hint to make it sparkly?"
"うん♪　Ｐちゃんなら一緒に探してくれるよね！
すばらしいヒントをひとつ、おにゃーしゃー！","","Yeah...Â P-chan will look for it with me, won't she?
One great tip, Onyasha!","","Yeah! You'll help me look for it, right?
I'll give you a great hint, nyaa-sha!"
"（きらりの個性を呼び覚ますようなもの……か。
よしっ、ひとまず何か目星をつけてみるか！）","","(Something that calls out Kirari's personality: ......?
Okay, let's see what we can come up with for starters!)","","(It's like awakening a sparkle of individuality...
Alright, I'll try to find something!)"
"（ルミナス内できらりのセンスが評判となり、
噂を聞きつけた雑誌社から早速、仕事がきた……）","","(Kirari's sense of style became well known within Luminous,
(I got a job right away from a magazine company that heard the rumor: ......)","","(Luminous gained a reputation for her sharp sense of fashion, and when I
heard the rumors about it from some magazine...I got straight to work.)"
"Ｐちゃん、おっつおっつ♪
今日のお仕事、よろしくおにゃーしゃー！","","P-chan, whoa whoa whoa...
Best wishes for today's work!","","P-chan, you're so hot! ♪ I look forward
to working with everyone today~"
"お、今日もきらりはやる気いっぱいだな。
仕事場の雰囲気も盛り上げてくれよ","","Oh, Kirari is very motivated today.
And you're going to need to liven up the atmosphere at work, too.","","Oh, you're all fired up today too.
Make the atmosphere at work more exciting."
"びしぃっ☆　きらりんに、おまかせっ♪","","Bishiii☆ Kirarin, leave it to me...","","*squirt* Leave it to me, Kirarin♪"
"ところで、Ｐちゃん。
今日はモデルさんのお仕事かにぃ？","","By the way, P-chan.
Are you working as a model today?","","By the way, P-chan.
Are you working as a model today, bro?"
"素敵なお洋服が、たぁ～くさんあるけど、
もしかして、きらりんがぜぇ～んぶ着ていいの！？","","There are so many nice clothes,
Perhaps Kirarin can wear it all!","","There's sooo much wonderful clothes here.
Is it okay for me to wear all of them?!"
"全部ではないけど……。ああ、モデルの仕事だ。
何着も着替えて撮影して、大変だけどしっかり頼むぞ","","Not all of them. ....... Yeah, it's a modeling job.
You're going to have to change a lot of clothes and take a lot of pictures. It's a lot of work, but you've got to do it right.","","It's not all of them, but... Oh yeah. I was just doing modeling work for a while now.
I'll get changed and take pictures, but I need you to make sure it goes well for me in the meantime. Got that on your mind?"
"にゃっほーい♪　モデルさんのお仕事～♪
きらりん、うっきうき☆","","Nyahhhhhh......modeling work~♪
Kirarin, Uki Uki Uki☆.","","yahoi~ It's the work of a
model♪ Glittering, giddy☆"
"背の高い子向けのコーデ特集をするらしい。
きらりにはもってこいの仕事だな","","They are going to do a coding feature for tall kids.
That's a great job for Kirari.","","They're doing a special feature on tall girls.
It's the perfect job for a sparkler."
"背の高い女の子……。
うん、きらりにばっちしのお仕事だゆ！","","Tall girl. .......
Yes, it's a perfect job for Kirari!","","A tall girl...
Yep, it's all part of the job description!"
"（ん？　一瞬、
きらりの表情が曇った気がしたけど……）","","(Hmm? One moment,
(I thought Kirari's expression clouded over, but ......)","","(Hm? For a moment, I thought
my expression clouded over...)"
"ごめん、
何かきらりが気にするようなことを言ったかな？","","Sorry,
Did I say something that Kirari would care about?","","Sorry, did I say something
that caught your eye?"
"うーんうん！　なんでもないよぉ♪
Ｐちゃんが謝ることなんて、ぜーんぜんないにぃ☆","","Nothing....
P-chan has nothing to apologize for.","","Hmm, hm! It's nothing♪ P-chan
has no reason to apologize at all☆"
"それならよかった……。
モデルの仕事、バッチリ頼むぞ","","Good then. .......
Modeling job, batch, please.","","That's good to hear...
I'm counting on you to do the modeling."
"うぇへへ～☆　きゃわいいお洋服に、
い～っぱい囲まれて、きらりんしゃーわせ♪","","Wohehehe~☆ Cute clothes,
Surrounded by a sea of people, Kirarinsha waisaisen!","","Heheh! ☆ I'm surrounded by sooo many
cute clothes, they make me all sparkly♪"
"ねぇ、Ｐちゃん。
きらりんには、どんなお洋服が似合うかなぁ？","","Hey, P-chan.
I wonder what kind of clothes would look good on Kirarin?","","Hey, P-chan.
What kind of clothes would look good on you, Kirarin?"
"きらりに似合いそうな衣装か……。
そうだな……","","Is this an outfit that would look good on Kirari or .......","","An outfit that looks like it'd suit her...
Yeah, you're right"
"どれも似合いそう","","They all look good together.","","I think they'll look good on you."
"いつもの雰囲気","","Usual atmosphere","","The usual atmosphere."
"コスプレ","","cosplay (dressing in costume, esp. as a manga character, etc.)","","Cosplay"
"どれも似合いそうだな。
きらりなら全部、可愛く着こなせると思うぞ","","They all look good together.
I'm sure Kirari can wear all of them in a cute way.","","I think they'd look good on you.
I think you'll be able to wear it all cutely with a sparkle on your face, too."
"うぇへへ～☆　ほんとにぃ～！
Ｐちゃんに褒められちゃうと、とってもうれすぃ♪","","Hehehe~☆ Really~!
I am so happy when P-chan praises me.","","Ueheh~☆ Reallyy!
I'm so happy when P-chan praises me~"
"Ｐちゃんがそういうなら、やっぱりきらりん、
お店のお洋服、ぜぇ～んぶ着たいにぃ♪","","If P-chan says so, then Kirarin, after all,
I want to wear all the clothes in the store.","","If you say so, P-chan. I really want to
wear all the clothes in this store♪"
"いつもの雰囲気の洋服が似合うと思うぞ","","I think you'd look great in your regular mood clothes.","","I think you'd look better in your usual clothes."
"なるほど～♪　いつものきらりんっぽくすれば、
きゃわゆくなれるってこと……","","I see~♪ If I do it in my usual Kirarin style,
It means you can be cute. ......","","I see♪ If you act like your usual
self, it'll make me all weird..."
"はっ！　それってつまり、Ｐちゃんはいつもの
きらりんがきゃわいいってこと？　照れちゃう！","","That means that P-chan is the usual
You mean Kirarin is cute? I'm embarrassed!","","Hah! So you're saying that P-chan likes
the usual gleaming? That makes me blush."
"コスプレ……とかいいかもしれないな","","Maybe you could try cosplay .......","","Cosplaying... might be a good idea, too."
"うんうん♪　おしゃれなお洋服もステキだけどぉ、
きゃわいいコスプレ衣装も、きらりん大好きだゆ♪","","Yes, yes... fashionable clothes are nice, but...,
I love Kirarin and her cute cosplay costumes!","","Yeah, yeah! ♪ I love your fancy
clothes and cute cosplay outfits too."
"でも、このお店にコスプレっぽい衣装は、
おいてないかも……。残念だけど、また今度かなぁ","","But, what about cosplay-like costumes in this store,
I don't know if it's available at ....... Too bad, maybe some other time.","","But I don't think there are any cosplay-like
outfits in this cafe... Unfortunately, maybe next time."
"きらりさん、
そろそろ撮影のほう、よろしいですかー？","","Kirari,
Is it time to start shooting?","","Kirari-san, is it okay if
we take a picture now?"
"はいはーい♪　今いきまーしゅ！
じゃあＰちゃん、行ってくるにぃ♪","","Yes, yes, yes... I'm on my way!
Well then, P-chan, I'm off.","","Okay, okay♪ I'm coming!
Well then, P-chan. I'm off! ♪"
"（それから、きらりのモデル撮影は順調に進み……）","","(Then Kirari's model shoot went well and ......)","","(After that, the photo shoot for Glittering Model proceeded smoothly...)"
"お疲れ様です。これで撮影、オッケーです！","","Thanks for your hard work, now I'm ready to shoot!","","Thank you for your hard work. Here, take a picture!"
"おっつおっつ☆
スタッフのみなさん、ありがとうございましたぁ♪","","Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa.
Thank you, staff!","","Pop-up! ☆ Thank you so
much, staff members~"
"お疲れ様、きらり。
仕事が順調に進んでよかったよ","","Good job, Kirari.
Glad the job went well.","","Good work, Glittering.
I'm glad things went well for you."
"Ｐちゃんもおっつおっつ☆
今日はとーっても楽しかったにぃ☆","","Good bye, Mr. P. Good bye☆
I had a lot of fun today.","","P-chan, you're so hot too☆
Today was super fun!"
"そうか。きらりが喜んでくれてなによりだ","","Well, I'm glad Kirari is happy.","","I see. Glad to hear you like it, Giraffe"
"うっきゃー☆　お洋服はきゃわいかったし、
お仕事も楽しかったし、ハピハピまーっくしゅ♪","","The clothes were cute,
I had a great time working with you, and I'm happy-happy-ma-kusshu!","","*giggle* ☆ I got to see your clothes,
and it was fun at work. Happy birthday!"
"Ｐちゃん。こんなにハピハピな時間を
きらりんにプレゼントしてくれて、ありがとにぃ♪","","P-chan, such a happy-happy time!
Thanks for the gift to Kirarin.","","P-chan, thank you for
giving me such a happy time. ♪"
"あ、ああ……。きらりが頑張った結果だよ","","Ah, ah, ....... It's the result of Kirari's hard work.","","Y-Yeah... It's the result of your hard work."
"（仕事も上手くいき、きらりもご機嫌だが……。
でもやっぱり、何かが引っかかる気がするな……）","","(Work is going well and Kirari is in a good mood, but .......
But I still think something's stuck. ......)","","(My work went well, and I'm in a good mood...
(But something still bothers me...)"
"（きらりをカフェに誘い、先日の
モデルの仕事について話をすることにした……）","","(I invited Kirari to the café, and the other day
(We decided to talk about modeling work: ......)","","(I invited Glitters to the cafe, and
we talked about my modeling work...)"
"お疲れ様、きらり。
この前の仕事のことなんだけど……","","Good job, Kirari.
I'm talking about the last job I had: ......","","Good work, Glittering.
It's about my last job..."
"この前のお仕事ぉ？
うん、いろんなお洋服が着れて楽しかったよぉ♪","","The last time you worked here?
Yes, it was fun to wear different clothes.","","Did you do your last job?
Yeah, it was fun wearing lots of different clothes♪"
"うきゃ☆　もしかしてきらりんに、
またモデルさんのお仕事かなぁ！？","","Uky☆ Maybe to Kirari,
I wonder if she's working as a model again!","","Ukya☆ Could it be that you're working
as a model again, Kirarin?!"
"いや、そうじゃないんだ。
今日は新しい仕事の相談をしたいんじゃなくて……","","No, it's not.
I don't want to discuss a new job today. ......","","No, that's not it.
I don't want to talk about my new job today..."
"あ、ごめんねＰちゃん。
お話のジャマしちゃった！","","Oh, sorry, P-chan.
I interrupted your story!","","Oh, sorry P-chan.
Sorry for interrupting your conversation!"
"いや、いいんだ。きらりがモデルの仕事を、楽しんで
もらえたのなら、心配いらないんだけど……","","No, it's okay, Kirari enjoys modeling.
If you got it, don't worry about it. ......","","No, it's fine. As long as you enjoyed your modeling work to the fullest extent that
I can spare a thought for what might happen next... but no need worry about me now"
"実はひとつだけ、気になっていることがあるんだ","","Actually, I have one thing on my mind.","","Actually, there's just one thing that bothered me."
"気になることぉ？　きらりんが知っていることなら、
なんだっておこたえしちゃうよぉ♪","","What's on your mind? If Kirarin knows what's on your mind,
I'll answer to anything...","","Something on your mind? If it's
something you know, I will do anything♪"
"この前の仕事中、俺のひと言できらりのことを、
傷つけたんじゃないかって思っていて……","","Last time I was at work, I had one word for Kirari,
I was wondering if I hurt you. ......","","I thought you might have hurt my
feelings during your last job..."
"……んーっと。Ｐちゃんは、
どうしてそんなことを思ったの？","","...... hmmm. p-chan is,
What made you think that?","","...Hmm. P-chan, why
did you think that?"
"一瞬、きらりの表情が曇ったからな。何かきらりが
気にすることを、言ってしまったって気づいたんだ","","Because for a moment, Kirari's expression clouded over, something about Kirari.
I realized I'd said what I cared about.","","For a moment, his expression clouded over. I realized that he'd
said something to make me worry about the glimmers in my eyes..."
"そっかぁ～……うぇへへ♪　Ｐちゃんには、
きらりんのこと、ぜ～んぶお見通しみたいだにぃ♪","","I see......... uheheh...for P-chan,
It's like he knows everything about Kirarin.","","I see... Heheh♪ Looks like P-chan
saw right through you!"
"ということは、やっぱり俺はきらりが、
傷つくようなことを言ったのか……。ごめんな","","So, I'm still Kirari,
I'm sorry if I said something hurtful .......","","Which means that I really did say
something to hurt your feelings... Sorry."
"そ、そんなＰちゃんが謝ることじゃないゆ！
きらりん、ピキーンってキョーシュクしちゃう！","","That's not something you should apologize for, P-chan!
Kirarin, I'm going to pikin and kyoshuku!","","Y-You shouldn't be apologizing like that!
Glint, I'm going to go crazy!"
"きらりんは傷ついてなんかないから、
Ｐちゃんはしょんぼりしなくていいんだよぉ！","","Kirarin is not hurt,
P-chan, you don't have to shush!","","P-chan, you don't have to be so depressed!
You didn't hurt Kirarin or anything like that."
"……きらりんって、みんなと比べておおきいでしょ？
そのことを、気にしていた時があったんだぁ","","...... Kirarin is big compared to everyone else, right?
There was a time when I cared about that!","","...Kirarin's big compared to everyone else, right?
There was a time when that bothered me."
"おっきい女の子のためのコーデ特集って聞いて、
その頃をちょっぴり思い出しちゃっただけ♪","","I heard it was a coding feature for big girls,
I just remember those days a little bit.","","When I heard it was a feature on outfits for
big girls, that just reminded me of those days."
"そうだったのか。
ありがとう、大切な話をしてくれて","","I didn't know that.
Thank you, for sharing your important story.","","So that's how it is.
Thank you for telling me something so important about this place, my dearest friend."
"Ｐちゃんも、きらりんのお話を聞いてくれて
ありがとにぃ☆","","P-chan also listened to Kirari's story.
Thanks a lot.","","P-chan, thank you for
listening to Kirarin☆"
"Ｐちゃんは心配しなくて大丈夫だよぉ。
きらりのこと、いっぱい考えてくれてありがとにぃ♪","","P-chan, don't worry about it.
Thank you for thinking about Kirari so much.","","You don't have to worry, P-chan.
Thanks for thinking about that sparkle so much♪"
"今はね、おっきぃことも言葉づかいも、
ぜぇ～んぶが、きらりんだってわかったんだ♪","","Now, I'm not afraid of big things and language,
I knew it was all Kirari.","","Now I know that everything's big and the
way you say it, all of them glitter. ♪"
"全部ひっくるめて、アイドルのきらりか……。
ああ、その通りだ。きらりはしっかりしているな","","All of this can be found at Kirari the Idol or .......
Yeah, you're right, Kirari is solid.","","All together, they're the glimmer of an idol...
Yes, you're right. You have a good eye for sparkles and all that sort of stuff"
"うぇへへ～。そんなこと言われちゃうと、
きらりん、照れちゃうにぃ～♪","","Hehehe~ When you say it like that,
Kirarin, I'm so embarrassed!","","Heheh~ You're making
me blush, Kirarin! ♪"
"あ、それじゃあきらりんからも、
Ｐちゃんにひとつ聞いていーい？","","Oh, and from Kirarin, then,
Can I ask you one question, P-chan?","","Oh, then can I ask
you something too?"
"Ｐちゃんもいろんなことぜぇ～んぶがあって、
今のＰちゃんなのかなぁ？","","P-chan has been through a lot of things,
I wonder if it's P-chan now?","","P-chan's been through a lot,
too. I wonder if she is now?"
"……難しい質問だな。そうだな、今の俺は……","","......That's a tough question, and yes, I'm now ......","","...That's a difficult question. Right now, I..."
"まだ分からない","","","","I'm not sure."
"その通りかも","","You're probably right.","","Maybe you're right."
"俺は……俺だ","","I'm ...... me.","","I'm...I am."
"正直に言って、まだ分からないな","","Honestly, I still don't get it.","","Honestly, I don't know yet."
"そっかぁ。
Ｐちゃんにもいろんな悩みがあるんだにぃ……","","I see.
P-chan has all kinds of problems too. ......","","I see.
P-chan's got a lot on her mind too, you know..."
"でも、きらりやみんなと活動していく中で、
俺が目指すプロデューサーに近づいてると思うんだ","","But in working with Kirari and everyone else,
I think I'm getting closer to being Producer I'm trying to be.","","But as I've been working with everyone, and
glimmering at the edges of my vision to become a producer..."
"うぇへへ♪　それって、きらりんが
Ｐちゃんの役に立ててるってことかなぁ！？","","Heh heh heh... That's just Kirari's...
I guess that means I'm helping P-chan!","","Heheh! ♪ Does that mean
you're helping P-chan?"
"Ｐちゃんがハピハピになれるなら、
きらりんルミナスの活動、い～っぱい頑張るにぃ♪","","If only P-chan could be happy-happy,
I will do my best for the activities of Kirarin Luminous.","","If P-chan can be happy, then I'll
do my best with Luminous. ♪"
"その通りかもしれないな。
いろんな経験があって、今の俺がいると思う","","You may be right.
I think I'm where I am now because of all the experiences I've had.","","Maybe you're right.
I've been through a lot, and now it feels like..."
"うんっ♪　Ｐちゃんはアメリカに研修に行ったり、
いろんなことをい～っぱい勉強してるもんね！","","P-chan went to the U.S. for training,
You are learning a lot of things, aren't you?","","Yeah! P-chan's been going to America for training
and studying a lot of stuff, too."
"これからもＰちゃんのご指導、おにゃーしゃー！","","Keep up the good work P-chan, and thanks for your guidance!","","P-chan's guidance from now on too, meow!"
"俺は……俺だ。
どんなことが起きようと、俺は俺だ！","","I'm ...... me.
Whatever happens, I am me!","","I'm... me.
No matter what happens, I'll always be me!"
"にょわわっ！　
Ｐちゃん、なんだかパワフルだにぃ！？","","Nyowowowow!
P-chan, you're kind of powerful!","","Nyowawah!
P-chan, you're kinda powerful!"
"きらりんもＰちゃんみたいに、
も～っと自信たっぷりで活動していくにぃ！","","Kirari is like P-chan,
I will be more confident in my activities!","","Like P-chan, Kirarin's going to be
super confident in her performance!"
"ああ、そうだな。これからも一緒に頑張っていこう","","Oh yes, let's keep working together.","","Yeah, you're right. We can keep doing this together from now on as well"
"ねぇ、Ｐちゃん。お話に夢中になっちゃったけど、
そろそろなにか注文しよっか♪","","Hey, P-chan, I got carried away by your story,
I think it's time to order something.","","Hey, P-chan. I'm kinda caught up in the conversation
right now... Maybe we should order something soon!"
"ああ、すまない。好きなものを頼んでくれ","","Oh, sorry, order whatever you like.","","Oh, sorry. Go ahead and order whatever you'd like me to do for ya?"
"ほんとにぃ～、ありがとＰちゃん☆
うぇへへ、どれもおいしそうで迷っちゃう！","","Thanks, P-chan!
Uhehe, they all look so delicious, I can't decide!","","Thank you so much, P-chan! ☆ Heheh. They all look
delicious and I'm not sure what to do with myself..."
"よしっ☆　きらりんはケーキセットにき～まりん♪
Ｐちゃんはなににすりゅ？","","Okay, Kirarin is ready for the cake set.
P-chan, what would you choose?","","Okay! ☆ Kirarin has a cake set and ki-marin♪
What's P-chan going to do?"
"俺はコーヒーにしようかな","","I think I'll have coffee.","","I think i'll have a coffee."
"りょーかい！　あっ、店員さんすみませーん！
注文をおにゃーしゃー☆","","Oh, sorry, shopkeeper!
Order your order, please.","","Got it! Oh, excuse me for being a waitress.
I'll take your order! ☆"
"（いつも明るく振舞っているきらりだけど、
乗り越えてきたものがいくつもあったんだな……）","","(Though Kirari is always acting cheerful,
You've had a number of things to get over (......)","","(He's always been so cheerful, but I guess there
are a lot of things he has overcome...)"
"（俺もきらりを見習って、
いつも前向きに頑張っていくとしよう！）","","(I'll take a lesson from Kirari, too,
Let's always stay positive and keep trying!)","","(I'll just have to follow
her example and try my best!)"
"（仕事帰り、気分転換に公園で
ひと休みしていたのだが……）","","(After work, in the park for a change of pace.
I was taking a break (......)","","(I was taking a break at the park
after work to clear my head, but...)"
"そろそろ、事務所に戻ろうか、きらり……","","It's time to get back to the office, Kirari: ......","","I think it's about time we head back to the office..."
"あっ、Ｐちゃん！　ちょっと待って！
スーツのボタンが取れかかってるゆ？","","Oh, P-chan! Wait a minute!
Is your suit unbuttoned?","","Oh, P-chan! Wait a minute.
My suit's button is coming off."
"ボタン……？　ああ、ほんとだ。
事務所に戻ったら、音無さんにお願いするか","","Button ......? Oh, really.
When I get back to the office, I'll ask Mr. Otonashi for help.","","Botan...? Yeah, you're right.
When we get back to the office, I'll ask Otonashi-san."
"ううん、今ここで
きらりが、ちゃちゃっと、縫い縫いしてあげゆ☆","","No, here and now.
Kirari will do the sewing and stitching for you.","","No, I'll sew it right
here and now☆"
"はい、スーツ貸して♪
すぐできるから、Ｐちゃんはベンチで待っててにぃ☆","","Yes, I need a suit.
It will be ready soon, so P-chan, wait on the bench.","","Here, let me borrow your suit♪ It'll
be done soon. You wait on the bench☆"
"そ、そうか。
それじゃあ、お願いするよ","","
Well, then, please do me a favor.","","I-I see.
Well then, please do."
"おっすおっす！　きらりんポケットから、
お裁縫セットを取り出して……っと♪","","From Kirarin's pocket,
Take out your sewing kit and go to ....... ♪","","Hey there! I took a sewing kit
out of my pocket and... ♪"
"にょ～、と糸を通して……。ボタンをくるくるくる♪
糸をキュキュキュッ♪","","Nyoo~, and thread it through ....... button and twirl it around... ♪
Cu-cu-cu-cu-cu the threads ♪","","Through the thread... Twisting and twirling
my buttons♪ Squeeze, squeeze~"
"……すごいな、きらり。
かなり慣れた手つきをしているな","","...... Wow, Kirari.
You've got a pretty good handle on it.","","...Wow, that's amazing.
You've got a pretty good handle on this."
"うぇへへ♪　お裁縫、だーい好きだからにぃ♪
最後に糸をチョッキン……はい、かんせ～い！","","Hehehehe♪ I love sewing....
Chock the thread at the end: ...... Yes, kansei~!","","Heheh~ I love sewing! ♪ And then finally,
a little bit of string... Okay. Ready?"
"もうできたのか。
うん……ボタン、しっかり付いてるな","","It's already done?
Yeah, the ...... button, it's firmly attached.","","So it's already done.
Yeah... The button's firmly attached to it, huh"
"ありがとう。
それにしても、きらりは器用なんだな","","
Kirari is very dexterous, by the way.","","Thank you.
Still, you've got a knack for glimmering things up. I like that idea of yours to the point where it makes me wonder how well-versed someone can be in such matters"
"うぇへへ～♪　このくらいだったら、
しゃしゃっとしゅしゅっとできちゃうよぉ☆","","Whehehe~♪ If it was only like this,
You can do it in a jiffy!","","Heheh! ♪ If it's just this much, I can
do all sorts of things with ease☆"
"お裁縫だったら、きらりんにおまかせ☆
お洋服だって自分で縫い縫いするんだよ～","","When it comes to sewing, leave it to Kirarin☆.
I even sew my own clothes!","","If you're going to sew, just leave it up with
me☆ I can even stitch your clothes myself ⁇"
"自分で洋服を作るのはすごいな。
きらりには裁縫の才能もあるのか","","It's great that you make your own clothes.
Does Kirari have a talent for sewing?","","It's amazing that she makes her own clothes.
Do you have a knack for sewing?"
"才能！？　うっきゃー☆
そんな褒められちゃうと照れちゃうにぃ♪","","Talent!
I get embarrassed when I get complimented like that...","","Talent?! Ukya-☆ You'll make me
blush if you praise it like that♪"
"でも、縫い縫いするだけじゃなくて、なんでも
きゃわいくアレンジするのも好きだよぉ♪","","But it's not just sewing and stitching, it's everything.
I like to arrange it in a cute way.","","But I don't just like stitching, but
also making all sorts of cute arrangements♪"
"あ、今度Ｐちゃんの持っているものも、
きゃわいくデコデコしてあげりゅ♪　何がいーい？","","Oh, and the one P has next time,
I'll decorate it for you in the cutest way... What do you like?","","Oh, and I'll give you a cute little forehead
flick next time! ♪ What do yooou want?"
"俺に可愛いもの……？
なんだか似合わないような気がするけど……","","Pretty things to me ......?
I don't know, it just doesn't seem right. ......","","Something cute for me?
I feel like it doesn't suit her, but..."
"考えておく","","I'll think about it.","","I'll think about it."
"きらりに任せる","","Leave it to Kirari.","","I'll leave it to you."
"何もいらない","","I don't want anything.","","I don't want anything."
