"……さてポスター撮影で着る衣装のイメージか。
できれば、お姫様って特徴は活かしたいと思うけど","","...... Now the image of the outfit to wear for the poster shoot?
If possible, I'd like to make the most of the characteristics of a princess.","","......now then, the costume I'm going to wear for my poster photo shoot.
If possible, I'd like to make use of her princess characteristics."
"きらりは、なにかアイディアはあるか？","","Kirari, do you have any ideas?","","Do you have any ideas, Glitterse?"
"う～ん、お菓子の国のお姫様とか素敵だにぃ♪
あっ☆　動物の国のお姫様もきゃわいいなぁ～","","Hmmm, a princess in the land of sweets would be nice...
Oh, the princesses in animal country are so cute too!","","Hmm. A princess from the land of sweets is wonderful, buuut...♪
Ah☆ The princess of the animal kingdom is so cute, too!"
"あとは、ちょっとこわ～いお姫様とかぁ……？
ブクブク♪　お水の中のお姫様もいいかもぉ……☆","","And maybe a little scary princess. ......?
Bukubuku♪ I might like to be a princess in the water. ......☆","","What about a princess who's kinda scary...?
*gulp* ♪ The princess in the water might be nice too...☆"
"なるほど……。
お姫様といっても、色々な方向性があるんだな","","
There are so many different directions a princess can go.","","I see......
Even though she's a princess, there are many different directions."
"ねぇねぇ、Ｐちゃん！
どのお洋服が、きらりに似合うかなぁ～？","","Hey, hey, P-chan!
I wonder which clothes would look good on Kirari?","","Hey, P-chan!
What kind of clothes do you think would look good on me?"
"そうだな。
きらりにピッタリなのは……","","
The perfect fit for Kirari is ......","","That's right.
The one that fits the bill is..."
"動物の国のお姫様","","Princess of Animal Kingdom","","Princess of Animal Land"
"お菓子の国のお姫様","","Princess of the Land of Sweets","","Princess of Sweets"
"怖い夜のお姫様","","Scary Night Princess","","Princess of the Scary Night"
"水の中のお姫様","","Princess in the water","","Princess in the Water"
"動物の国のお姫様は、
新しくていいと思うな","","The princess of animal country is,
Don't think it's new.","","I think the princess of animal
kingdom is nice and new."
"うきゃー☆　もっふもふのきゃわいいドレスに、
くるくるのしっぽ！　す～っごくかわいくなるにぃ☆","","Kyaa☆ Fluffy and cute dress,
A curly tail! It's going to be soooo cute!","","Ukyaa☆ A fluffy, cute dress and a twirling
tail! It's going to be sooo cuuute.☆"
"（動物の国のお姫様を演じたきらりのポスターは
大好評。多くのお客さんが注目する結果となった）","","(The poster of Kirari, who played the princess of the animal kingdom, is
(The event was very well received, and resulted in a lot of customer attention.)","","(The poster playing the role of a princess from Animal Land was very
popular. It drew attention to itself, and many customers paid it no mind at all!)"
"うぇへへ～☆　きらりとＰちゃんのアイディアで、
みんなハピハピ♪　うれすぃ♪","","Whehehe~☆ It was Kirari and P-chan's idea,
Everyone is happy, happy, happy!","","Heheh! ☆ With P-chan's
brilliant idea, everyone is so happy♪♪"
"（デザイナーさんもとても喜んでくれて、
次も頼みたい、と第二弾の仕事も決定した！）","","(The designer was also very pleased,
(They've decided to ask for the next one, and a second job too!)","","(The designer was really happy, so I
decided to ask him for a second job!)"
"お菓子の国のお姫様なんて、
すごくかわいくていいんじゃないか？","","What a princess in the land of sweets,
Isn't it very cute?","","A princess from the land of sweets
is really cute, isn't it?"
"やっぱりＰちゃんもそう思う～？
きっと、ふわっふわできゃわいいお店になるにぃ☆","","Do you think so too, P-chan?
I'm sure it will be a fluffy and cute store.","","You think so too, P-chan?
I'm sure it would be a great shop if you could make them fluffy, nii-niiii~!!☆"
"（きらりの予想通り、お菓子の国をイメージした
衣装と、きらりが出演したポスターは好評だった）","","(As Kirari predicted, it was inspired by the land of sweets.
(The costumes and the poster featuring Kirari were well received.)","","(Just as I expected, the costumes that looked like candy land
and posters with sparkles on them were well received.)"
"（デザイナーさんにも喜んでもらえて、
よいプロモーションになったみたいだ）","","(The designer was also pleased,
(Sounds like a good promotion.)","","(The designer was happy, and it
seemed to be a good promotion.)"
"怖い夜のお姫様なんて、
いいんじゃないか？","","What a scary night princess,","","What's wrong with being a
princess on scary nights?"
"きらり、あんまり暗いお洋服は着ないんだけど……。
こっわーいお洋服、考えてみるね☆","","Kirari, I don't wear very dark clothes. ......
I'll think of some scary clothes.","","I don't really wear dark clothes, but...
I'll think of something scary to wear.☆"
"（その後、きらり提案で作られた衣装は、
きらりの新しい一面を引き出すことができた……）","","(Then the costumes made at Kirari's suggestion were,
(......) that brought out a new side of Kirari.","","(After that, the costume made up of bright
suggestions brought out a new side to it...)"
"（しかし、お客さんを怖がらせる結果になってしまい
プロモーションとしてはイマイチだった……）","","(But it ended up scaring the customers away.
(It was not a good promotion: ......)","","(However, it ended up scaring the
customers. It wasn't a good promotion...)"
"水の中のお姫様って、どういう感じだ？","","What's it like being a princess in the water?","","What's it like to be a princess in the water?"
"ん～、例えば、お水の中からバシャーって出てきて、
ぴちぴちのおさかなさんみたいになりたいにぃ☆","","Hmmm....for example, a basher out of the water,
I want to be just like a fishy fishy fishy fishy fishy fishy fishy fishy fishy fishy fishy fishy fishy fishy fishy fishy","","Hmm. For example, I'd like to pop out of the water and be just
as spiky a fish-man if you could help me with that kinda stuff ☆"
"……少し大変そうだけど、お願いしてみるか","","...... seems a little daunting, but I'll ask for help.","","...It seems like it'll be a bit of work, but I guess we should ask."
"（その後、アイディア通りに衣装制作が始まったが、
凝ったデザインのため、時間がかかりすぎた）","","(After that, the costume production started as per the idea,
(The elaborate design took too long)","","(After that, we started making the costumes according to our ideas.
But it took too long because of its elaborate design...)"
"（そのため、プロモーション自体を
行うことができなかった……）","","(and thus the promotion itself).
(Could not be done ......)","","(Because of that, they weren't
able to promote it...)"
"（今回の仕事は成功だ！）","","(This job was a success!)","","(This job was a success!)"
"（今回の仕事は失敗だ。次こそは！）","","（This job was a mistake...next time!)","","(This job didn't go well,
Let's try again next time!)"
"今日は、今人気急上昇中の
遊園地をレポートする番組の撮影だ","","Today, we're going to talk about the rapidly growing popularity of
They're filming for a show that reports on amusement parks.","","Today, we're filming a show reporting on an
amusement park that is currently booming in popularity."
"うっきゃー☆
きゃわいい乗り物がたっくさんだにぃ♪","","yuck! (sound made by monsters)
Lots of cute rides...","","Ukkyah!☆
There's so many cute rides, bro.♪"
"遊園地って、来るだけで
す～っごくハピハピな気持ちになれるね☆","","Amusement parks are just a place to come.
It makes me so happy!","","Just coming to an amusement park
makes me feel really happy.☆"
"番組の方針として、きらりの乗りたいと
思ったものを、レポートすれば良いらしいぞ","","The program's policy is that Kirari wants to ride
I heard you can just report what you think.","","As part of the program's policy, we should
report on what Glitter wants to ride."
"あっちには、メリーゴーランド……☆
あ！　あれは観覧車だぁ！　ロマンチック～♪","","Over there is a merry-go-round ......☆
Ah! That's a Ferris wheel! So romantic!","","There's a merry-goround over there...☆
Oh! That's the ferris wheel. Romantic~♪"
"絶叫系も楽しそうだにぃ……あ！
ウォーターライドもある……ど、どうしよう～！","","Screaming sounds fun too. ......
There is also a water ride: ...... What should I do~?","","Even the screams seem to be having fun... Ah!
There's water ride too... Wh-What should I do!"
"ずいぶん悩んでいるみたいだな","","You seem to be in a lot of trouble.","","You look like you've got a lot on your mind."
"う～ん……。
どれもす～っごく楽しそうで選べないゆ！","","Hmmm... .......
All of them look so much fun, I can't choose one!","","Hmmm...
I can't choose any of them because they all look so fun!"
"ＰちゃんＰちゃん、どれがいいかなぁ～？","","P-chan, P-chan, which one do you like?","","P-chan, what do you want?"
"ここはやっぱり……","","This is still the place to go: ......","","So this is where..."
"メリーゴーランド","","merry-go-round","","The Merry-Gorland"
"観覧車","","Ferris wheel","","Ferris wheel"
"絶叫系","","thrill ride","","Screaming series"
"ウォーターライド","","waterride","","Water ride"
"かわいいメリーゴーランドがいいんじゃないか？
装飾もかわいいし、きらりにピッタリだと思うぞ","","Wouldn't you like a cute little merry-go-round?
The decorations are cute, and I think they're perfect for Kirari.","","Wouldn't a cute merrygoround be better?
The ornamentation is cute, so I think it'll look great on you."
"にょわ～！　Ｐちゃんの言う通り、
キラキラできゃわいい～！！","","Nyowa~! P-chan is right,
Sparkling and cute!","","Wow! P-chan's right,
I hope it sparkles!!"
"うきゃー☆　ピンクのお馬さん、
とってもきゃわいくってたっのすぃ～！","","Eeky☆ A pink horse,
It was so cute and sweet!","","Aaah! ☆ The pink horse was so cute, I
could've sworn it looked like one of those."
"（おおはしゃぎするきらりの様子が、
子どもたちから大好評だった）","","(The way Kirari is so excited,
(It was a big hit with the kids.)","","(The kids loved the
way he was so excited.)"
"（とっても絵になるシーンがたくさん撮れた）","","(I was able to capture many very picturesque scenes)","","(I got a lot of very picturesque scenes.)"
"観覧車に乗って、
ロマンチックな雰囲気を伝えるのはどうだ？","","Ride the Ferris wheel,
How's that for conveying a romantic vibe?","","Why don't we ride the ferris wheel
and tell them how romantic it is?"
"分かったよぉ！　きらりん、
キラキラキュンキュンなリポートしちゃうにぃ♪","","All right, Kirarin,
I'll give you a sparkling report!","","Okay, fine! I'll give you a glittering report
on the gleaming and squeaky stuff then-nii!!♪"
"えへへ……遊園地の観覧車って、
何だかきゅんきゅんしちゃうなぁ……♪","","Ehehe ...... amusement park ferris wheel is,
I'm kind of cringing. ......♪","","Heheh... The ferris wheel at the
amusement park is kinda exciting.♪"
"（普段とはちょっと違う、しっとりとした
きらりの一面が好評だった）","","(A little different from the usual, moist and
(Kirari's side of the story was well received.)","","(It's a little different from usual,
and it has an even more gentle side.)"
"遊園地といえば、絶叫系だろう！","","When you think of amusement parks, you think of screamers!","","The amusement park is all about screams!"
"ぜ～っきょ～！　よ～し！
た～っくさんおっきい声を出してくるにぃ☆","","Z~k~!
I'm going to make lots of loud noises.","","Zzzt! Alright, n !
You're making a really loud voice, nii-chan~!!☆"
"うっきゃー☆　みてみて、す～っごいよ～！
ぐーるぐるの、にょわ～だよ～！","","Wow! Look at that, it's amazing!
It's Guruguru's, Nyowa~!","","Ukyaa! ☆ Look, look. It's soooo good~
*growl* It's nyowa!"
"（きらりのテンションが高すぎて、
うまくレポートが出来なかった）","","(Kirari's tension is too high,
(Couldn't report it well)","","(I was too excited
to write a report.)"
"ウォーターライドとか、
めずらしくていいんじゃないか？","","Like water rides,
Isn't that unusual?","","It's not every day you
get to ride water."
"うんうん、す～っごく楽しそうだにぃ♪
びしょ濡れになっちゃうよぉ☆","","Yeah, yeah, it looks like a lot of fun.
You're going to get soaking wet.","","Yep, yep. You look like you're having a ton of fun with it all on the way over here~ ♪
You'll get soaked!☆"
"（宣言どおり、きらりはびしょ濡れになりながらも
楽しんでいた）","","(As declared, Kirari was soaking wet.
(I was having fun.)","","(As promised, Kirari was
enjoying herself while soaking wet.)"
"（しかし、水しぶきが凄すぎて、
機材がダメになり、撮影は中止となってしまった）","","(But the splashing was too much,
(The equipment was ruined and the shoot was canceled.)","","(However, the spray was so great that our
equipment went down and we had to cancel filming.)"
"きらり、今度のファッション＆トークショーに
ついてだけど……","","Kirari, for the upcoming fashion and talk show.
About: ......","","It's about the upcoming
fashion and talk show..."
"衣装や、トークの内容についても、
きらりの好きなようにしていいそうだ","","costumes, and the content of the talk,
Kirari says you can do whatever you want.","","As for the costumes, and what they're talking about... You can do whatever
you want with them. That much is clear as day to me anyways"
"うっきゃー☆　すぅ～っごく楽しみ～♪
Ｐちゃん、素敵なお仕事ありがとにぃ！","","
Thanks for the great job, P-chan!","","Ukyaa☆ I'm really looking forward to it!♪
P-chan, thanks for your wonderful work!"
"きゃわいいお洋服を着て、み～んなとお話……☆
さいっこーにハピハピだにぃ☆","","Wear cute clothes and talk with everyone. ......☆
I'm so happy, I'm so happy!","","I'll wear some nice clothes and talk to everyone...☆
It's the happiest day of my life, bro.☆"
"俺にも手伝えることがあったら、
何でも言ってくれ","","If there's anything I can do to help,
Say whatever you want.","","If there's anything I can do
to help, just let me know."
"Ｐちゃん、頼りにしてるゆ！　じゃあじゃあ、
トークショーって、どんなこと話せばいいかなぁ？","","P-chan, I'm counting on you!
What should I talk about on a talk show?","","P-chan, I'm counting on you! So what
should we talk about for the show?"
"ファンのみ～んなと一緒にお話も楽しそうだにぃ♪
でもでも、衣装のお話もたっくさんしたいなぁ……☆","","It will be fun to talk with all the fans.
But I'd love to talk a lot about costumes too. ......☆","","You look like you're having fun talking with just your fans, broskiiiing!!♪
But, but... I want to talk about costumes a lot too.☆"
"あ、この間あった杏ちゃんのきゃわいい
お話もしたいしぃ……う～ん、悩むよぉ……","","Oh, the apricot-chan's cute that was there the other day.
I'd love to talk to you. ...... Hmmm, I'm torn... ......","","Oh, and I want to talk about Anzu-chan's
cute little story... Hmmm. This is troubling!"
"なるほど、トーク内容か。
それなら……","","I see, the content of the talk.","","I see, so it's about the topic.
In that case..."
"ファンについて","","About Fans","","About the fans"
"杏について","","About Apricot","","About Anzu"
"衣装について","","About Costumes","","Costumes"
"全部話す","","I'll tell you everything.","","I'll tell you everything."
"来てくれたファンに、普段思っている
感謝の気持ちを伝えるのはどうだ？","","To the fans who came, I usually think
How about a little gratitude?","","Why don't we thank the fans
who came to see us?"
"す～っごく素敵だにぃ！　きらりも、ファンの子も、
みんなでハピハピな気持ちをシェア出来るゆ☆","","
You can share your happy-happy feelings with everyone.","","It's so wonderful! I can share happy
feelings with everyone, from sparkles to fans.☆"
"みんな～！　今日は来てくれてありがとにぃ☆
きらり、み～んなと過ごせてとってもハピハピ♪","","Thanks for coming today!
Kirari, I'm so happy to spend time with you all!","","Everyone! Thanks for coming today.☆
Glittering, spending time with everyone is very happy.♪"
"（きらりが本当に楽しそうな様子が伝わり、
ファンのみんなも喜んでくれたみたいだ！）","","(I could see that Kirari was really enjoying herself,
(And it looks like all the fans were happy too!)","","(I can tell you're having a lot of fun, and
the fans seem to be really happy about it!)"
"せっかくだから、仲のいい杏について
話してみるのはどうだろう？","","Since we're here, let's talk about our good friend Anzu.
How about we talk about it?","","Why don't we talk about Anzu,
who you get along well with?"
"杏ちゃんについてならお任せ☆　びしぃ！
たっくさん話しちゃうよぉ～♪","","Leave it to me about Anzu☆ Bishii!
I'll talk a lot!","","If it's about Anzu-chan, leave that to me☆ *grunt*!
I'm going to tell you a lot!♪"
"にょっわー☆　今日は、きらりだけが知ってる、
きゃわいい杏ちゃんの姿をこっそり教えちゃうにぃ☆","","Nyowa☆ Today, only Kirari knows,
I'll secretly tell you how cute Anzu looks.","","Nyowah-☆ Today, I'm going to secretly tell you what a
cute little Anzu looks like that only Glitterse knows.☆"
"（きらりの話から、
杏との仲の良さが伝わり、会場は盛り上がった）","","(From Kirari's story,
(The audience was excited to see how well he and Anne got along.)","","(From our conversation, Anzu and
I got to know each other better.)"
"せっかくのファッション＆トークショーだから、
衣装について語りまくればいいと思うぞ！","","It's a fashion and talk show,
I think you should talk all over the place about the costumes!","","Since it's a fashion and talk show, I think
we should just keep talking about costumes!"
"そっかぁ！　よ～し！　きゃわいい衣装のこと、
たっくさんお話しちゃお☆","","I see! Yay, about the cute outfits,
Let's talk a lot!","","I see! Alrighty then, let's talk
a lot about this cute outfit.☆"
"（きらりは衣装の細かい装飾について、
かなり力を入れて語っている）","","(Kirari is about the fine decoration of the costume,
(He speaks with considerable force.)","","(The glimmer is talking about the
fine details of your costume.)"
"（あまりの熱意に、
途中からお客さんがついていけなくなってしまった）","","(With too much enthusiasm,
(The guests couldn't keep up halfway through.)","","(He was so enthusiastic that
customers couldn't keep up with him.)"
"この際、きらりの話したいと思ってることを、
全部話してしまったらいいんじゃないか？","","At this point, I'd like to talk about what Kirari wants to talk about,
Why don't you just tell them everything?","","Why don't we just tell him
everything that I want to talk about?"
"はぁ～い！　それじゃあ、きらりが思ってること、
ぜ～んぶみんなに聞いてもらうにぃ☆","","Yes! So that's what Kirari thinks,
I'll make sure everyone hears all about it.","","Okay! Then I'll make sure everyone hears everything you think about, Kirari-kun. All right? You can
go ahead and ask them all if they want to know what it is that we really feel for each other now!!☆"
"（全ての話題を話そうと必死になってしまい、
喋りたいことがうまくまとめられなかった）","","(I was struggling to talk about all the topics,
(I couldn't quite sum up what I wanted to say.)","","(I was so desperate to talk about everything that happened,
I couldn't find the right words for it all at once.」)"
"（収拾がつかなくなってしまい、
トークコーナーはうまくいかなかった）","","(I couldn't get it to stop,
(The talk segment did not go well.)","","(Things got out of hand, and the
talk section didn't go well.)"
"（仕事帰り、きらりと公園を散歩しながら
帰ることにした）","","(After work, Kirari and I took a walk in the park.
(Decides to leave.)","","(After work, I decided to walk
around the park and go home.)"
"おっ、広場で何かやってるみたいだな……。
子どもたちがダンスのレッスンをしているのか","","Whoa, looks like they're doing something in the square: .......
Are the children taking dance lessons?","","Oh, looks like something's going on in the plaza...
Are these kids having dance lessons?"
"ほんとだ、きゃわゆい～！
目指せっ、未来のハピハピアイドル♪","","It's true, it's so cute!
Aim, future Happi-Happi-Idol♪","","You're right, it really is!
Aim for the future of happy pop idols!♪"
"そういえば、どうしてきらりは
アイドルを目指そうとしたんだ？","","Come to think of it, why Kirari?
Did you try to become an idol?","","Come to think of it, why did
you try becoming an idol?"
"にゅふふっ♪　きらりはみ～んなに
キラキラをお届けしたいんだぁ♪","","Nyuhuhuhu♪ KIRARI is for everyone!
We want to bring you the sparkle!","","Nyuhufu♪ I want to bring you
all these sparkly things.♪"
"アイドルでキラキラっていうことは……","","Idol and sparkle means ......","","If she's an idol and sparkly, that means..."
"衣装のことか","","You mean the costume.","","You're talking about the costume."
"ステージのことか","","You mean the stage.","","You mean the stage."
"グッズのことか","","You mean the merchandise.","","Oh, you mean the merchandise."
"衣装の輝きってことか？","","You mean the sparkle of the costume?","","You mean the gleam of her costume?"
"そうだよぉ♪　キラキラの衣装を着て、
みんなにハピハピを届けたいんだぁ！","","That's right... ♪ Put on your sparkly outfit,
I want to bring Happi-Happi to everyone!","","That's right! ♪ I want to wear a sparkly
costume and deliver happiness for everyone."
"ステージの輝きのことか？","","You mean stage brilliance?","","You mean the glow on stage?"
"そうだねっ♪　キラキラのステージも、
眺めているだけでハピハピになっちゃうにぃ！","","Yes... ♪ And the sparkling stage,
Just looking at it makes me happy-happy!","","You're right♪ Just looking at the sparkling
stage is enough to make me happy!"
"アイドルグッズのことか？","","You mean idol goods?","","Are you talking about idol goods?"
"うんっ、キーホルダーとかのグッズなら、
いつでもキラキラを届けてあげられるね！","","Yes, if it's a keychain or some other merchandise,
I can always deliver the sparkle!","","Yep! I'll be able to deliver the sparkly stuff for you
anytime if it comes with a keychain or something."
"なるほど……きらりのキラキラには、
特別な気持ちが込められているんだな","","I see. ...... for the sparkle of Kirari,
You've got a special feeling about it.","","I see... The sparkle must have
special feelings behind it."
"うぇへへ♪　ルミナスのみんなと一緒なら、
も～っとハピハピでキラキラになれるにぃ♪","","Hehehehe♪ With everyone at Luminous,
I can be more happy-happy and sparkling.","","Heheh! ♪ With all of you from Luminous, I'm
sure we can be happy and sparkly again.♪"
"そうか。それなら、ファンに喜ばれるように、
これからも頑張っていこうな！","","Okay, well then, let's make sure the fans are happy,
Let's keep up the good work!","","I see. In that case, let's do
our best to make the fans happy!"
"お疲れ様、きらり……ん？
何を読んでいるんだ？","","Good work, Kirari. ...... hmm?
What are you reading?","","Good work, Glittering... Hm?
What are you reading?"
"あ、Ｐちゃん！　おっつおっつ～☆
いまね、雑誌のきゃわいい小物特集を読んでたの♪","","Oh, P-chan!
I'm reading a magazine that features cute accessories.","","Oh, P-chan! Pops~☆
I was just reading a special on cute little things in the magazine.♪"
"きゃわいい小物がい～っぱい載ってるから、
みんなとお買い物に行きたくなっちゃうにぃ♪","","There are lots of cute little things in the book,
I want to go shopping with everyone.","","There's so many cute little things in here that I wanna
go shopping with everyone else, broskiiiing~ ♪"
"みんなと買い物か……。
それだったら……","","Shop with the guys or visit .......
If that's the case, please visit ......","","Shopping with everyone, huh...
If that's the case..."
"ファンシーショップ","","fancy store","","Fancy Shop"
"ブティック","","shop selling fashion clothes, accessories, etc.","","Boutique"
"喫茶店","","coffee shop","","Coffee shop"
"ファンシーショップとか、
いいんじゃないか？","","Like fancy stores,","","Why don't we go
to a fancy shop?"
"うっきゃー☆　Ｐちゃん、ナイスアイディア☆
みんなでおそろいの、マグカップとか選びたいにぃ♪","","P-chan, nice idea!
I want to pick out matching mugs and stuff.","","*giggle* P-chan, that's a great idea!☆
I want to pick out matching mugs with you all together, broskiiiing!!♪"
"ブティックとかはどうだ？","","How about a boutique or something?","","How about a boutique?"
"うんっ♪　きらりん、お洋服を見るのだ～い好き！
それに、みんなのコーデのお勉強にもなりそう！","","I love looking at your clothes, Kirarin!
Besides, it will be a good study of everyone's coding!","","Yup♪ Giraffe, I love seeing clothes!
Besides, it'll help me learn how to dress everyone up!"
"喫茶店に行って、
ゆっくりするのもいいんじゃないか？","","Go to a coffee shop,
It's good to slow down, isn't it?","","Why don't we go to
a cafe and relax?"
"喫茶店でおしゃべりも楽しいけど、
それはお買い物が終わってからだよぉ♪","","I enjoy chatting in coffee shops, though,
That's after the shopping is done... ♪","","It's fun chatting at the cafe, but that can
wait until after we finish shopping.♪"
"それじゃあ、みんなと買い物に行けるように、
スケジュールを調整してみるか","","Then I can go shopping with everyone,
Let's see if we can work out a schedule.","","Well then, let's adjust our schedule so
that we can go shopping with everyone."
