"（休憩中の咲耶に声をかけてみよう……）","","(Let's talk to Sakuya during a break: ......)","","(I should call out to Sakuya while she's taking a break...)"
"ネズミでも出たのか！？
すぐに退治するから、ちょっと待ってろ！","","You've got a rat in the house!
I'll exterminate them right away, just hang on!","","Did a rat come out!?
I'll exterminate 'em right away, just you wait a minute!"
"えっ……ああ、いや、ネズミは出ていないけれど……
急にどうしたんだい？","","What? ...... Oh, no, there are no rats out there, but ......
What's up with you all of a sudden?","","Huh? Oh, no. There aren't any rats...
What's this all of a sudden?"
"えっ……ああ、いや、すまん早とちりを……
なんだか咲耶の様子が気になって……","","Eh ...... oh, no, sorry for the premature ......
I'm kind of curious about Sakuya's condition: ......","","Huh...? Oh, sorry. I was jumping to conclusions there-
I'm a little worried about how Sakuya is doing..."
"……体調でも悪いのか？
無理しないで、座っていてくれ","","...... Are you in bad shape?
Take it easy. Just sit back.","","...Are you not feeling well?
Don't push yourself, just sit down."
"おや……すまない、心配をかけてしまったかな。
この通り私は元気だよ","","Aw, ...... sorry, I guess I've caused you some concern.
As you can see I'm fine.","","Oh... Sorry, did I worry you?
As you can see, I'm fine."
"そうか？　それならいいんだが……","","Really? Well, that's fine then. ......","","Really? That's good to hear..."
"……確かに、少しだけ調子が狂ったのかもしれない。
事務所があんまりにも静かだったからね","","...... Sure, maybe I'm a little out of tune.
The office was too quiet.","",".. Certainly, I may have gone a little off-kilter than usual...
The office was so quiet."
"なるほどな……
それは俺もわかる気がするよ","","I see what you mean: ......
I think I know that one too.","","I see...
I think i'd understand that too."
"フフ……いつもがとても賑やかなだけにね。
……心配してくれてありがとう、プロデューサー","","Huff...... just because it's always so lively.
...... Thanks for your concern, producer!","","Haha... It's just always so lively.
...Thanks for worrying about me, producer."
"（うん、仕事も無事に終わったな。
少し休憩するか……）","","(Yeah, you got the job done.
Let's take a short break (......)","","(Yep, the job's done without incident.
Let's take a break...)"
"プロデューサー、今時間はあるかな？
少し、話があるのだけれど……","","Producers, do you have time now?
I'd like to talk to you about a few things: ......","","Do you have time now, producer?
There's something I want to talk about..."
"かまわないよ、どうしたんだ？","","I don't care. What's going on?","","I don't mind. What is it?"
"聞いてみたいことがあってね。プロデューサーは、
これからのアイドルに必要なものは、なんだと思う？","","I'd like to ask you something, producer,
What do you think is necessary for the future of idols?","","There's something I want to ask you. What does
Producer think an idol needs from now on?"
"真摯な質問だな。
これからのアイドルに必要なものは……","","That's a sincere question.
What the idols of the future need is ......","","That's a sincere question.
What the future idol needs is..."
"仲間","","group","","Comrade"
"教養","","education","","Liberalization"
"ギャグ","","gag","","A gag."
"仲間かな。仲間が増えることで可能性が広がる。
アイドル同士、お互いを高めあうからな","","Friends, I guess...more friends means more possibilities.
Idols are always trying to improve each other.","","I wonder if they're friends. The more people we have, the greater our chances of finding them will be...
We're both idols, so we can help each other improve."
"なるほど、流石プロデューサーだね。
フフ、それは私の理想とするところでもあるよ","","I see, you are a quintessential producer.
Huh, that's my ideal, too.","","I see. That's our producer for you!
Hehe, that's part of my ideal."
"教養、かな……？
人と理解し合う為に、大切だと思うんだ","","Cultivation, or ......?
I think it's important for people to understand each other.","","Is it cultured...?
I think it's important to understand each other."
"なるほど……教養か。
確かに、相手と心を通わせるためにも必要だね","","I see. ...... culture.
Sure, you need to be able to communicate with them.","","I see... So she's well-educated.
▁Indeed, it's necessary in order to communicate with the other person as well."
"ギャグかな。笑いは人の心をほぐして、
仲良くなれる武器だと思うんだ！","","Gag, I guess...Laughter can relax people's hearts and minds,
I think it's a weapon with which we can get along!","","I think it's a joke. Laughing is one of those
things that makes people feel at ease!"
"っ！　ギャグ……！　その発想はなかったよ。
なるほど、仲良くなれる武器か。いいね……","","Gag ......! I hadn't thought of that idea.
I see, a weapon you can get along with...nice. ......","","Gah! I didn't think of that.
I see. A weapon that lets you get along well, huh? That's nice..."
"まあ咲耶だったら、いろいろなことに挑戦できると
思うから、積極的に活動しような","","Well, if it's Sakuya, she can try many things.
I think, so let's be proactive.","","Well, I'm sure Sakuya will be able to take on a lot of challenges if she tries
her hand at it. So you should try taking an active role in the future as well"
"フフッ……アドバイスありがとう。
やっぱりプロデューサーは頼りになるね","","Hmph. ...... Thanks for the advice.
I knew I could count on my producer.","","Haha... Thanks for the advice.
I knew we could count on Producer."
"自分でよければ力になるから、
なにか挑戦したいことがあれば、相談してくれ","","I can help you if you want me to,
If you want to try something, talk to me.","","If you're okay with it, I can help out. If there is anything that strikes
your fancy please feel free to ask me for advice on the matter at hand"
"（休憩中の咲耶がいるな……。
声をかけてみるか……）","","(You've got Sakuya on a break. ......
(You can try to reach out to him at ......)","","(Sakuya's still on break...
Guess I'll try talking to her...)"
"咲耶、最近のプロジェクトルミナスはどうだ？
慣れてきたか？","","Sakuya, how is Project Luminous these days?
Are you getting used to it?","","Sakuya, how's Project Luminous these days?
Are you getting used to it?"
"ああ！　ルミナスのメンバーには、
いつもドキドキさせられて、とても楽しいよ","","Ah! For the members of Luminous,
It's always a thrill for me, and I'm having a great time.","","Ahh! The members of Luminous are always making
my heart race, and it's really fun."
"そうか、楽しんでるんだな。
それは良かった","","Oh yeah, you're having fun.
That's good to know.","","I see, so she's enjoying herself.
That's good to hear."
"ところで相談なんだが、逆にみんなにドキドキして
喜んでもらうには、どうしたらいいかな？","","By the way, I'd like to discuss this, but on the other hand, I'm thrilled for you guys.
What can we do to make them happy?","","By the way, what should I
do to make everyone happy?"
"ドキドキか……。
そうだな、咲耶だったら……","","Dokidoki or .......
Yes, if it were Sakuya, it would be ......","","My heart's pounding...
Right, if it's Sakuya..."
"手作りお菓子","","homemade sweets","","Handmade sweets"
"王子様のコスプレ","","Prince Costume Play","","Princes' cosplay"
"笑顔かな。
咲耶の笑顔には、みんなドキッとすると思うぞ","","Maybe a smile.
I think we'd all be thrilled to see Sakuya's smile.","","A smile, I guess.
I think everyone's heart will skip a beat when they see Sakuya smile."
"おや、それなら簡単だ。
ルミナスのみんなといれば、自然と笑顔になるからね","","Aw, that's easy then.
When I'm with everyone at Luminous, I naturally smile.","","Oh, that's easy.
When I'm with everyone in Luminous, it makes me smile naturally."
"手作りお菓子とか、どうかな？
気持ちが伝わるだろう","","How about some homemade sweets?
You can tell how I feel.","","How about some homemade sweets?
I'm sure you can understand how he feels."
"なるほど、それは喜んでもらえそうだ。
お菓子作りなら……春香に聞いてみよう。ありがとう","","I see, that would be a pleasure.
I'll ask Haruka at ...... if you want to make pastries, thanks.","","I see. That sounds like something she'd be happy about, at least...
If you're going to make sweets, then let me ask Haruka about it. Thanks for the heads-up"
"王子様のコスプレとか……？
いやむしろ、刺激が強すぎて危険かもしれない！","","Prince cosplay or ......?
Or rather, it may be too stimulating and dangerous!","","Like cosplaying as a prince...?
In fact, it might be too dangerous!"
"そうなのかい……？　それなら先にプロデューサーで
試させてもらえないだろうか……？　なんてね","","Is that right ......? Then I'll be a producer first.
Would you be willing to let me try it ......? What a surprise.","","Is that so...? Then why don't you
let me try it out as a producer first."
"咲耶は今以上に、
みんなを喜ばせようとしているんだな","","Sakuya is more than just now,
You're trying to please everyone.","","Sakuya's trying to make everyone
even happier than they already are."
"フフッ。私がいつも楽しませてもらっているように、
みんなにもドキドキして、楽しんでもらいたいからね","","Just as I am always entertained,
I want everyone to be thrilled and have fun, too.","","Heheh. Just like how I'm always having fun, it makes my heart
race and allows everyone to enjoy themselves as well"
"（そう言って笑った咲耶の笑顔は、
ドキッとするほど、綺麗だった）","","(The smile on Sakuya's face when she said that,
(Thrilled, it was beautiful.)","","(Sakuya's smile is so beautiful
it makes my heart skip a beat.)"
"（咲耶との仕事帰り。
気分転換に街を歩いている……）","","(After work with Sakuya.
(I'm walking around town for a change: ......)","","(I'm on my way home from work with Sakuya.
We're walking around town for a change of pace...)"
"咲耶、最近仕事が忙しいけど、調子はどうだ？","","Sakuya, you've been busy at work lately, how are you doing?","","Sakuya, you've been busy with work lately. How are things going?"
"ああ、なんともない……って言いたいところだけれど
そろそろリフレッシュしようと思っているよ","","Oh, I'd like to say it's nothing. ......
I think it's time I freshened up.","","Yeah, it's nothing. Or at least that was what I wanted to say... But now is about the time
for a break from all of this craziness and stress-freeden funk you just had in your life"
"咲耶はいつでも全力だからな。休みの日は、
気持ちを切り替えてゆっくりしてくれ","","Sakuya always goes all out on her days off,
You need to change your mind and slow down.","","You're always ready to give it your all, Sakuya. So on days off you should take a break and relax instead
of worrying too much about stuff like that or whatever else I call 'scuse me for being late in the day!'"
"フフッ……そうだね。ああ、プロデューサー、
気持ちを切り替える、いい方法はあるかな？","","Hmph. ...... Yeah, yeah, producer,
Is there a better way to change my mind?","","Heheh... You're right. Oh, producer! Do
you have a good way to change your mind?"
"咲耶の気分転換に向いてそうなのは……","","A good one for a change of pace for Sakuya is ......","","The only one suited for a change of pace is..."
"海へ行く","","go to the sea","","I'm going to the beach."
"たくさん食べる","","eat a lot","","Eat a lot"
"部屋でゆっくり","","Relax in your room.","","Take it easy in your room."
"海へ行くとかどうだ？
好きな場所だと気分転換になるんじゃないか？","","How about going to the beach?
I think it's a nice change of pace if it's a place you like.","","How about going to the beach?
Isn't it a nice change of pace in your favorite place?"
"プロデューサーは、私をよく見てくれているんだね。
海は、いつだって私の心をリフレッシュしてくれるよ","","I know my producer is watching me very closely.
The ocean always refreshes me.","","I'm surprised that Producer has such a good eye for me.
The ocean always refreshes my heart."
"たくさん食べるとか……。
食べ放題とかも楽しいらしいぞ","","You could eat a lot of food or go to .......
I hear it's fun, all-you-can-eat and all that.","","Like eating a lot...
I heard that allyoucaneat stuff is fun too."
"確かに美味しいものは心も癒されそうだ。
アナタも一緒なら、なおさらにね？","","Certainly good food seems to soothe the soul as well.
And if you're with me, even better, right?","","It's true that delicious food will soothe the soul.
Even more so if you're with us, right?"
"部屋でゆっくりとか……。
ひとりで休むのも、いいんじゃないか？","","Relax in your room or visit .......
Resting alone is a good thing, isn't it?","","Slowly in my room, huh...
Why don't you rest on your own?"
"そうだね……ゆっくりして……
普段はできない家事をするのも贅沢な時間の使い方だ","","Yes ...... take your time ......
It's a luxurious way to spend your time, doing chores you wouldn't normally be able to do.","","You're right... Take your time.
Doing the housework that you normally can't do is a luxurious way to spend your time."
"まあ……参考までに言ってはみたけど、
仕事だけじゃなく、オフも大切にしてくれ","","Well, I did say that for ...... reference,
You've got to take care of yourself off the job as well as on it.","","Well... I've told you this for reference,
but please take care of your day off as well."
"ありがとう、プロデューサー。
アナタのその優しさが、一番嬉しいよ","","Thanks, producer.
Your kindness is the best thing that's ever happened to me.","","Thank you, producer.
Your kindness makes me happiest."
"（仕事が長引いて昼ごはんを食べ損ねたため、
咲耶と仕事帰りにファミレスに来た）","","(Because I was working long hours and missed lunch,
(Sakuya and I came to a family restaurant after work)","","(I missed lunch because of work, so Sakuya and me came
to a family restaurant on our way home from working.)"
"この店には、メンバーとも来たことがないな……。
プロデューサーのおすすめは、あるかい？","","I don't think I've ever been to this restaurant with any of my members. ......
Do you have any producer recommendations?","","I've never been to this store before...
Do you have any recommendations from Producer?"
"そうだな……昼ごはんも食べれず、少し疲れたから、
こんなときは……","","Yes, because I didn't have ...... lunch and I'm a little tired,
When this happens: ......","","Yeah... I'm a little tired from not being able to eat
lunch, so at times like this it would be hard for me—"
"ご飯もの","","meal","","Rice dishes"
"ハンバーグ","","Hamburg steak","","Hamburger"
"パフェ","","parfait","","Parfait"
"ご飯ものなんかどうかな？　お腹も空いただろうし、
丼ものとかも種類がたくさんあるぞ！","","How about something with rice? You must be hungry,
There's a lot of different kinds of rice bowls and stuff!","","What about rice? You must be hungry,
so there's a lot of different kinds!"
"フフ、今の私には最適なメニューだね。
それじゃあお腹いっぱい食べようかな","","Huh, now that's the perfect menu for me.
I'll have a full meal then.","","Haha, it's the perfect menu for me right now.
Well then, I guess i'll eat my fill."
"（よし！　すごく喜んでくれているな……！）","","(Okay! You're making me very happy. ......!)","","(All right! She's really happy about it...)"
"ハンバーグはどうかな？　疲れには肉、
ここはファミレス王道メニューでどうだ！","","How about hamburgers? Meat for fatigue,
How about a family restaurant royal menu here?","","How about a hamburger? Meat for fatigue.
Here's the classic family restaurant menu!"
"ハンバーグか。プロデューサーにオススメされると、
食べてみたくなってきたよ","","Hamburgers...if Producer recommends them,
I'm tempted to try it.","","Hamburg steak, huh? Producer
recommended it to me."
"（ふう、少しは喜んでくれたみたいだ）","","(winds up a little pleased with me)","","(Phew, looks like she's enjoying herself a little bit more than I thought.)"
"パフェはどうかな？
疲れた時には、糖分補給が欠かせないだろ？","","How about a parfait?
When you're tired, you need a sugar rush, right?","","How about parfaits?
When you're tired, sugar supplies are essential."
"その提案……いいね……ときめいてしまったよ……！
食事の後にいただこうか","","I like that suggestion ...... and I've been flirting with it ......!
I'll have it after dinner.","","That's a good idea... I like it. It made my heart race!
I'll have some after dinner."
"（確かに、先に食事を選ばないとな……）","","(Sure, we'll have to pick a meal first. ......)","","(Yeah, I'll have to choose my meal first...)"
"（咲耶の仕事終わり、気分転換を兼ねて
ゲームセンターに来た）","","(After work at Sakuya, for a change of pace.
(In the arcade)","","(After Sakuya's work, I came to the
arcade for a change of pace.)"
"面白いものがたくさんありそうだね。
プロデューサーと一緒に楽しめるのは、どれかな？","","Sounds like a lot of interesting stuff.
Which one would you enjoy with your producer?","","Looks like there are a lot of interesting things here.
Which one do you think I should enjoy with Producer?"
"そうだな。
咲耶と一緒にやるとしたら……","","
If you want to work with Sakuya, you can do so at ......","","That's right.
If I'm going to do it with Sakuya..."
"写真を撮るゲーム","","Photography Games","","Photographing video games"
"リズムゲーム","","rhythm game","","Rhythm game"
"カプセルトイ","","capsule toy","","Capsule toy"
"写真を撮るゲームはどうだろう？
最近のは、機能の進化がすごいらしいぞ！","","How about a game of take a picture?
I hear the latest ones have evolved a lot in terms of features!","","How about a game of photography?
I've heard that the latest one has advanced a lot in functionality!"
"おや、アナタから提案してくれるなんて嬉しいね。
どうやって誘おうかと思っていたのに","","Oh, I'm so glad you suggested it.
I was wondering how I was going to ask you out.","","Oh, I'm glad you made the suggestion.
I was trying to figure out how we could ask her."
"リズムゲームはどうかな？
リズムにあわせて太鼓を叩くんだ、一緒に遊べるぞ","","How about a rhythm game?
Beat the drums to the rhythm. We can play together.","","How about a rhythm game?
Play along with the rhythm. We can play together!"
"うん、レッスンの成果が活かせそうだ。
プロデューサー、一緒にクリアを目指そう","","Yeah, I think I can make use of the lessons.
Producers, let's work together to clear the area.","","Yeah, I think we can put the results of our lessons to good use.
Let's clear this together, producer."
"（ふう、どうやら喜んでくれたみたいだ）","","(Phew, apparently he's pleased.)","","(Phew, looks like she's happy to hear that. I can tell by the look on her face it was a pleasure doing business with you all this time )"
"カプセルトイはどうかな？　
当たりはずれがあるんだが","","How about capsule toys?
It's hit or miss.","","How about a capsule toy?
There's a mismatch."
"カプセルトイか。
プロデューサーは何か欲しいものがあるのかい？","","Capsule toys, huh?
What does Producer want?","","A capsule toy, huh?
Is there something you want, producer?"
"（一緒に楽しむものとは少し違ったか……）","","(A little different from what we enjoy together? ......)","","(I guess it's a little different from what we enjoy together...)"
"（咲耶と次の仕事のイベント会場の下見中。
咲耶が壁のほうを見ているけど……）","","(Sakuya and I are previewing the event venue for our next job.
(Sakuya is looking at the wall, but ......)","","(Sakuya and I are looking over the venue for our next job.
Sakuya's looking at the wall...)"
"咲耶、……どうしたんだ？
何か気になるのか？","","Sakuya, what's up with ......?
What's bothering you?","","Sakuya... What's wrong?
What's bothering you?"
"ああ、写真の展示を見ていたんだ。
プロデューサーが心惹かれる景色はあるかい？","","Yeah, I was looking at the photo exhibit.
Do you have a view that attracts you as a producer?","","Yeah, I was looking at a photo exhibition.
Is there a view that Producer is attracted to?"
"おお……きれいだな……
俺が好きなのは……","","Oh ...... beautiful ......
I like ......","","Wow... It's so pretty.
What I like is..."
"海辺","","beach","","Umibe"
"カフェ","","cafe","","Café"
"動物園","","zoo","","Zoo"
"海辺の写真かな。海と空の広がりは、
無限の可能性を感じさせてくれるよな","","I wonder if it's a seaside photo...the expanse of sea and sky,
You know, it gives you a sense of endless possibilities.","","It's a picture of the seashore. The ocean
and sky have infinite potential, right?"
"フフ、まったく同感だよ。海には、様々な可能性を
感じるからね、その全ての表情を眺めていたいよ","","I totally agree with you, the ocean has so many possibilities.
I feel you, and I want to watch every expression on your face.","","Heheh, I completely agree. There are so many possibilities in the ocean that it makes
me want to look at all of them with a different expression on my face than before"
"（咲耶も、これが一番気に入っているようだ……！）","","(Sakuya also seems to like this best: ......!)","","(Sakuya seems to like it the most too...!)"
"カフェかな。ほら、ここの椅子に腰掛けてさ……
小鳥の歌を聞きつつワッフルが焼けるのを待って……","","Maybe a cafe...see, I'm sitting in a chair here: ......
Listening to the birds sing and waiting for the waffles to bake: ......","","It's a cafe. Here, sit down on one of these chairs...
Listening to Kotori sing, I wait for the waffles..."
"うん……こんなカフェで過ごす時間はきっと素敵だ。
それと、写真から想像の翼を広げるアナタの視点も","","Yeah ...... must be nice to spend time in a cafe like this.
And your point of view to spread the wings of your imagination from the photo.","","Yeah... I'm sure the time we spend in a cafe like this will be wonderful.
And your perspective, which spreads the wings of imagination out from these photos."
"（……褒められてしまった、照れるな）","","(...... I've been complimented, don't be shy)","","(...That's a compliment. You make me blush...)"
"動物園の写真はどうかな？","","How about a picture of the zoo?","","How about a picture of the zoo?"
"ん……？　動物園というより……このゴリラが
食べているバナナに視線が釘付けのようだけれど？","","Hmm ......? It's more like a zoo ...... this gorilla.
What is it about the banana you are eating that seems to have your eyes glued to it?","","Hm...? Rather than a zoo, it looks more like you're
staring at the banana this gorilla is eating."
"（うっ、あまりにも美味しそうでつい……）","","(Ugh, it looks so good I just had to ......)","","(Ugh, it looks so good that I just...)"
"（咲耶の仕事終わり、
気分転換を兼ねて出かけることにした……）","","(Sakuya's end of work,
I decided to go out for a change (......)","","(After Sakuya's work, I decide to
go out for a change of pace...)"
"（もうこんな時間か……。
咲耶も楽しんでくれたようだな）","","(Is it that time already? .......
(Sakuya seems to have enjoyed it.)","","(It's already this late...
Looks like Sakuya enjoyed it too.)"
"今日は有意義な時間を過ごせたよ。
ありがとう、プロデューサー","","I had a meaningful time today.
Thank you, producer.","","I had a good time today.
Thank you, producer."
"フフ、さすがはプロデューサーだね。
見事なエスコートに魅入られてしまったよ","","Huh, you are indeed a producer.
I was mesmerized by your stunning escort.","","Haha, as expected of a producer.
I've been charmed by your magnificent escort."
"あのシルエット……スタイルのよさは……。
咲耶、おはよう！　どうしたんだ、立ち止まって","","That silhouette ...... style is .......
Sakuya, good morning! What's wrong, stop!","","Her silhouette... her figure is really good.
Good morning, Sakuya! What's wrong? Why are you standing still like that."
"ああ、おはよう、プロデューサー。
澄んだ空気で、深呼吸していたところだよ","","Oh, good morning, producer.
I was just taking a deep breath of fresh, clean air.","","Good morning, producer.
I was just taking a deep breath in the clear air."
"さすが咲耶、余裕だな。
その感じなら、ルミナスの活動も順調そうだな","","As expected of Sakuya, he has plenty of time to spare.
If that's the way you feel, it looks like Luminous is doing just fine.","","That's Sakuya for you.
Sounds like Luminous' activities are going well."
"そう見えたのなら嬉しいけれど……
私だって精一杯さ","","I'm glad you saw it that way, but ......
I'm doing the best I can.","","I'm glad it looked that way, but...
It's all I can do."
"お……、そうだったのか……","","Oh ......, I didn't know that. ......","","Oh... I see."
"クス、すまない……魅力的な子たちに囲まれて……
驚きやきらめきを楽しむことに精一杯ってことさ","","Kus, I'm sorry. ...... surrounded by attractive children. ......
I mean, I'm all about surprises and sparkles.","","Hehe, sorry... I'm surrounded by attractive girls.
I mean, it's all we can do to enjoy the surprises and sparkles."
"えっ、ああそういう……良かった、安心したよ。
それじゃあ、このまま事務所に行こうか","","Eh, oh such ...... good, that's a relief.
Well then, let's keep going to the office.","","Huh? Oh, I see... That's a relief.
Well then, let's go to the office."
"ああ、行こう！　今日はどんな
きらめきに出会えるか楽しみだよ……！","","Oh, let's go! What kind of today
I'm looking forward to seeing you sparkle. ......","","Yeah, let's go! I can hardly wait to
see what sparkles we get today..."
"おや、プロデューサーじゃないか。
アナタと偶然に会えるなんて嬉しいよ","","Oh, it's Producer, isn't it?
I'm so glad I ran into you.","","Oh, if it isn't Producer.
I'm glad to see you by chance."
"おはよう、咲耶。
ルミナスの活動は順調か？","","Good morning, Sakuya.
How is Luminous doing?","","Good morning, Sakuya.
How's Luminous doing?"
"ああ！　アナタと話がしたいと思っていたんだ。
あとで一緒にお茶でもどうかな？","","Oh! I've been wanting to talk to you.
Maybe we can have tea together later?","","Ah! I've been meaning to speak with you.
Would you like to have some tea with me later?"
"それはぜひ……あっ、でも今日は予定が……
ん？　どうだったかな……？","","I'd love to ...... but I'm on a schedule today ......
Hmm? How was it ......?","","I'd love to... Oh, but we have plans today.
Hm? I don't know..."
"フフ、いつでも構わない。
私はアナタの時間に合わせるよ","","Hmph, anytime is fine.
I'll be on your time.","","Haha. Any time is fine with me!
I'll meet you on time."
"ああ、ありがとう。
咲耶のおかげで仕事に張り合いが出るな","","
Thanks to Sakuya, I'll be able to work harder.","","Yeah, thanks.
Thanks to sakuya, I'm getting more fired up for work."
"私の方こそ、楽しみがまたひとつ増えたよ。
さあ、事務所に行こうか","","It's just one more thing for me to look forward to.
Come on, let's go to the office.","","I'm the one who should be looking forward to it.
Come on, let's go to the office."
"プロデューサー、少しいいかな？","","Producers, may I have a word?","","Hey, producer. Do you have a minute?"
"お、咲耶か。
真剣な顔をして……どうしたんだ？","","Oh, Sakuya.
Put on a serious face and ...... what's going on?","","Oh, it's you Sakuya.
You look so serious... What's wrong?"
"いつも私たちをプロデュースしてくれて、
本当に……ありがとう","","You always produced us,
Thank you so much ......","","Thank you for
always producing us."
"あ……ありがとう。急に顔を寄せてくるから……
……はは、心臓がドキドキしてる……","","Oh ...... thanks for the sudden facepalm. ......
...... ha, my heart is pounding ......","","Th-Thank you. You suddenly brought your face so close to mine...
...Haha, my heart's beating fast..."
"すまない、驚かせてしまったかな。でも……
それならアナタの心に届いたって解釈しても……？","","Sorry, I guess I startled you, but ......
Then I can interpret this as having reached your heart: ......?","","Sorry, I didn't mean to startle you. But...
In that case, can I interpret it as reaching your heart...?"
"あ、ああ……ありがとう……。ついでに、
咲耶にときめく女性の気持ちもわかったかもしれない","","Oh, oh thank you ....... ....... And by the way,
I think I may have figured out how women who have a crush on Sakuya feel.","","O-Oh, yeah. Thanks... And while we're at it I might be able to understand
how a woman feels when she gets excited over you as well"
"フフ……良かった。
これからもよろしく頼むよ、プロデューサー","","Huh ...... good.
Keep up the good work, producer.","","Haha... Thank goodness.
I'm looking forward to working with you, producer."
"ああ、もちろんだ。
こちらこそよろしく頼む！","","
I look forward to working with you as well!","","Yeah, of course.
I'm counting on you too!"
"プロデューサーじゃないか、おはよう。
今日は清々しい朝だね","","Isn't that Producer? Good morning.
It's a brisk morning today.","","Well, if it isn't Producer. Good morning!
What a refreshing morning."
