"改めまして……コホン。
はじめまして！　プロデューサーさん！","","Once again, ...... Kohon.
Nice to meet you, producer!","","Allow me to introduce myself... Ahem.
Nice to meet you, Mr. Producer!",""
"ハッ！　そ、そんなことはありません！
雰囲気だけじゃなくて、注文もして楽しみますっ！","","Ha! That's not true!
Not only will I enjoy the atmosphere, I will also enjoy ordering!","","Hah! Th-That's not true at all, Your Honor.
I'm not just looking forward to the atmosphere, but also ordering!",""
"悪い悪い、ほんの冗談だよ。
好きなものを注文していいからな","","Sorry, sorry, just kidding.
You can order whatever you want.","","Sorry, sorry. I was just kidding!
You can order whatever you want.",""
"ありがとうございますっ♪
プロデューサーさんは、もう決まっているんですか？","","Thank you very much..................
Have you decided on a producer yet?","","Thank you very much! Have
Producers decided yet?",""
"ああ、俺はコーヒーで","","Yeah, I'll take a coffee.","","Yeah, I'll have coffee.",""
"それだけでいいんですか？　コーヒーに合いそうな
メニューもたくさんあるみたいですよ？","","Is that all you want? It would be good with coffee.
They seem to have a lot on the menu?","","Are you sure that's enough? There seem to be a lot of
items on the menu which would go great with coffee.",""
"うーん、そうだな……。
菜々がそう言うのなら、他のも選んでみるか……","","Hmmm, yes. .......
If Nana says so, I'll pick another one: ......","","Hmm, let's see...
If Nana says so, then I'll pick another one...",""
"ショートケーキ","","shortcake","","Shortcake",""
"アイスクリーム","","ice cream","","Ice cream.",""
"ビックサイズ
コーヒー","","big size (e.g. large portion, etc.)","","Big size
coffee.",""
"よし、ショートケーキにしようかな","","Okay, I think I'll have a shortcake.","","Okay, maybe I'll have a shortcake.",""
"はぅ～。濃厚な生クリームに、
甘酸っぱいイチゴのアクセントがいいんですよね～♪","","Hah~ for the thick whipped cream,
I love the sweet and sour strawberry accents!","","Haaah, I like the rich cream
and sweet strawberry accent. ♪",""
"そこにブラックコーヒーの苦さが相まって……。
プロデューサーさん、ナイスチョイスですねっ！","","The bitterness of the black coffee combined with it. ......
Nice choice, producer!","","The bitterness of the black coffee combined with that...
Nice choice, Mr. Producer!",""
"えっと……。アイスクリームにしようかな","","Let's see, ....... I think I'll have ice cream.","","Um... Maybe I'll have ice cream.",""
"アイスクリーム、いいですよね～。
バニラもチョコも、どの味もおいしいですから！","","Ice cream, that's good!
Because every flavor is delicious, whether vanilla or chocolate!","","Ice cream is great, isn't it?
Vanilla and chocolate are both delicious!",""
"アイスの冷たさを楽しみつつ、ホットコーヒーの
温もりを感じる……。素晴らしい組み合わせですね！","","Enjoy the coldness of iced and hot coffee.
I feel the warmth of ....... It's a wonderful combination!","","While enjoying the coldness of your ice cream, you can
also feel its warmth... What a wonderful combination!",""
"おっ、ビックサイズコーヒーなんてあるのか。
これにしようかな","","Whoa, there's such a thing as big-size coffee?
I think I'll take this one.","","Oh, there's a big cup of coffee here?
Maybe I'll go with this one.",""
"それって、大盛りのコーヒーってことですよね？
コーヒーと同じメニューだと思いますけど……","","That means a large cup of coffee, right?
I think it's the same menu as coffee. ......","","That means it's a large cup of coffee, right?
I think it's on the same menu as coffee...",""
"あっ、いえ！　コーヒーが大好きでしたら、
たっぷり飲めるほうが幸せですよねっ！","","Oh, no! If you love coffee,
I'm happier when I can drink plenty!","","Ah, no! If you love coffee so much
then it's better to drink a lot.",""
"それじゃあ、俺は決まったけど、
菜々はなにを頼むんだ？","","Well, I'm set then,
What are you asking for, Nana?","","Okay, I've decided. What
are you going to do for me?",""
"ナナはキャロットケーキとココアにしますっ♪","","Nana will have carrot cake and cocoa.","","Nana will have carrot cake and cocoa~",""
"キャロットケーキにホイップクリームが
添えられていて、おいしそうだったんですよ～","","Carrot cake with whipped cream.
It was served with it and it looked delicious!","","There was whipped cream on the
carrot cake, and it looked delicious~",""
"疲れた身体に染み渡るスイーツの甘さ……！
想像しただけで至福の時間です♪","","The sweetness of sweets soaks into a tired body. ......
It's bliss just to imagine it... ♪","","The sweetness of sweets permeates my tired body...!
Just imagining it makes me blissful.",""
"最近、忙しかったからな。
菜々ぐらい若くても、やっぱり疲れは残るのか","","I've been busy lately.
Even if you are as young as Nana, you are still tired.","","I've been busy lately.
So even if you're as young, the fatigue will still linger in your body after all?",""
"はぅっ！？　そ、そうですね！
若くても、疲れは個人差がありますからっ！","","Huh! Yes, that's right!
Even if you are young, fatigue varies from person to person!","","Huh?! Y-Yeah, you're right.
Even if you're young, exhaustion depends on the individual!",""
"決してナナが若くないわけじゃありませんよっ！？
あ、そうだ！　注文をしないと！　すみませーん！","","It's not that Nana is not young!
Oh, that's right, I have to order!","","It's not that Nana is young!!
Oh, right! I have to order something. Excuse me?",""
"はぅ～。このキャロットケーキ、
最高に美味しいですぅ～♪","","Hah~ this carrot cake,
It's soooooooooooooooooooooooooooooooooooooooooooooooooooo good!","","Haaah... This carrot
cake is the best! ♪",""
"菜々が喜んでくれてなによりだよ","","I'm glad Nana is happy.","","I'm glad you like it.",""
"プロデューサーさんも、一口いかがですか？","","Would you like a bite, producer?","","Would you like a bite, too?",""
"ありがとう、気持ちだけで十分だ。
菜々が全部食べちゃってくれ","","Thanks, the feeling is enough.
Nana ate it all up.","","Thank you. I'm grateful for your kind words, though...
Nana, you eat all of it.",""
"そうですか？　それでは遠慮なく……。
はむはむ。う～ん、幸せですぅ～♪","","Is that so? Then feel free to contact me at .......
Hm-hm...mmmm...I'm so happy!","","Is that so? Then I won't hold back...
*munch* Mmm, I'm so happy~",""
"いらっしゃいませ。
３名様でよろしかったですか？","","Welcome.
Is three people all right?","","Welcome.
Are you sure it's all right for three?",""
"…………","............","","","…………",""
"どうしたんだ、菜々？　足りないんだったら、
他のも注文してもいいんだぞ？","","What's wrong, Nana? If it's not enough,
You know what else you can order?","","What's the matter, Nana? If you
need anything else I can order.",""
"えっ……？　あ、いえ、違うんです！
ちょっとだけ、昔のことを思い出していて……","","What, ......? Oh, no, no!
I'm just reminiscing a bit about the old days: ......","","Huh...? Oh, no! That's not it.
I'm just remembering something from the past...",""
"昔のこと？","","The old days?","","A long time ago?",""
"す、少し昔のことです！
ナナも喫茶店で働いていたときがあったので……","","It was a long time ago!
Nana also worked in a coffee shop at one time, so ......","","Th-That was a long time ago!
Nana used to work at a coffee shop too, so...",""
"当時からアイドルになりたくて、
働きながらナナなりに頑張っていました","","I wanted to be an idol since then,
I was working and doing my best in my nana's way.","","Even back then, I wanted to become an
idol and worked hard in my own way.",""
"それが今では、こうしてアイドルの仕事帰りに、
プロデューサーさんとカフェに寄って……","","Now it is like this, on the way home from work at Idol,
Stop by the cafe with Producer: ......","","But now, on my way home from work as an idol
I stop by a cafe with Producer...",""
"プロジェクトルミナスにも参加できて、
ウサミンワールドのお仕事もあって……","","I was also able to participate in Project Luminous,
I also have a job at Usamin World: ......","","I was able to participate in Project
Luminous, and had work at Usamin World...",""
"なんてナナは幸せ者なんだろうって、
改めて感じました！","","How lucky Nana is!
I felt it again!","","What a happy person
Nana is!",""
"そうか……。きっと、その頃の気持ちが、
菜々のアイドル活動の根底にあるんだろうな","","Well ....... I'm sure that's how I felt at the time,
I guess that's the basis of Nana's idol activity.","","I see. I'm sure those feelings must have been the
foundation of your idol activities back then, Nana......",""
"はいっ、ウサミンパワーの源です！","","Yes, it is the source of Usamin power!","","Yes, it's the source of Usamin power!",""
"プロデューサーさん。今日はカフェに
連れてきてくれて、ありがとうございましたっ！","","Producer, I'll be at the cafe today.
Thank you very much for bringing me here!","","Thank you so much for bringing
me to the cafe today, producer!",""
"ここのカフェのスイーツが、
そんなに気に入ったのか？","","The sweets in the cafe here,
You like it that much?","","Did you really like the sweets
at this cafe that much?",""
"そ、それもありますけど……！
もっと大切なことを思い出せたので！","","Well, there's that, too, but you can find it at ......!
I was able to remember more important things!","","Th-That's part of it!
Because I remembered something more important!",""
"もっともっと活動を頑張って、
アイドルを楽しみたいなって！　キャハッ☆","","Keep up the good work and more activities,
I want to enjoy being an idol!","","I want to work even harder
and enjoy being an idol! Kyaha☆",""
"（菜々にレッスンスタジオに、
来て欲しいと頼まれたのだが……）","","(Nani to the lesson studio,
I was asked to come (......)","","(Nana asked me to
come with her...)",""
"あっ、プロデューサーさん！","","Ah, Mr. Producer!","","Oh, it's Producer!",""
"ウサミンキュンキュン、ピカピカリ～ン☆
これであなたもウサミン星の住人で～す♪","","Usamin kyun kyun, pikapikari~n☆
You are now a resident of the planet Usamin~♪","","Usamin-kyun, pikkaliiing☆ Now you're
a resident of the planet Usamin too♪",""
"え、えーっと……。いろいろ聞きたいんだけど、
とりあえずそのステッキはステージ衣装か？","","Well, um, ....... I have a lot of questions,
Anyway, is that stick a stage costume?","","U-Um... There's a lot I want to ask you.
Is that wand your stage costume?",""
"これは、ウサミンワールドに遊びに来たみなさんに、
魔法をかけてあげようと、ナナが用意したんです！","","This is for everyone who came to visit Usamin World,
Nana prepared it for him to work his magic!","","Nana prepared this for everyone who
came to play in Usamin World!",""
"ウサミンワールドでは、
み～んながウサミン星人になれちゃうんですよっ♪","","In Usamin World,
Everyone can become a Usamin star!","","In the world of Usamin,
everyone can become an alien. ♪",""
"よりウサミンワールドのテーマに没頭できる……。
なるほど、素晴らしいアイディアだな","","You can become more immersed in the Usamin World theme at .......
Okay, that's a great idea.","","I can devote myself to the theme of Usamin World more...
Well, that's a great idea.",""
